account_id,citizen_id,bank_name,account_number,ifsc
ACC000047,CID000062,Union Bank,785437058484,SBIN675097
ACC000048,CID000064,ICICI Bank,759667116856,SBIN198951
ACC000049,CID000065,Axis Bank,816418176305,SBIN255257
ACC000050,CID000066,Bank of Baroda,786775058486,SBIN497865
ACC000051,CID000068,SBI,436810379620,SBIN698264
ACC000052,CID000069,SBI,417562588645,SBIN259105
ACC000053,CID000070,ICICI Bank,172203537828,SBIN485268
ACC000054,CID000071,Union Bank,584090575007,SBIN577908
ACC000055,CID000072,ICICI Bank,522713838664,SBIN211070
ACC000056,CID000073,HDFC Bank,332729660928,SBIN986211
ACC000057,CID000075,HDFC Bank,727181746701,SBIN564163
ACC000058,CID000076,Canara Bank,399387442669,SBIN551357
ACC000059,CID000078,ICICI Bank,111989880404,SBIN430928
ACC000060,CID000079,SBI,700468305130,SBIN311157
ACC000061,CID000080,Axis Bank,520391909821,SBIN765683
ACC000062,CID000081,SBI,959473819107,SBIN412150
ACC000063,CID000082,SBI,866543246262,SBIN655533
ACC000064,CID000084,ICICI Bank,800898200487,SBIN355188
ACC000065,CID000085,Canara Bank,398858246630,SBIN422373
ACC000066,CID000086,ICICI Bank,570283241544,SBIN525352
ACC000067,CID000087,HDFC Bank,707245863062,SBIN233234
ACC000068,CID000088,SBI,402829816959,SBIN711482
ACC000069,CID000089,Union Bank,115708140442,SBIN106056
ACC000070,CID000090,ICICI Bank,744279808122,SBIN589086
ACC000071,CID000091,SBI,397467554579,SBIN909303
ACC000072,CID000092,Axis Bank,153372894562,SBIN629105
ACC000073,CID000093,Bank of Baroda,292800175255,SBIN724786
ACC000074,CID000094,HDFC Bank,710266063510,SBIN338016
ACC000075,CID000095,SBI,246162632241,SBIN184630
ACC000076,CID000096,SBI,775786848410,SBIN518825
ACC000077,CID000097,Union Bank,747231469125,SBIN352312
ACC000078,CID000098,Axis Bank,976351600248,SBIN559375
ACC000079,CID000099,Union Bank,347266614540,SBIN219760
ACC000080,CID000102,SBI,993136825048,SBIN547510
ACC000081,CID000103,Canara Bank,590760087709,SBIN415747
ACC000082,CID000104,Union Bank,184330467795,SBIN251419
ACC000083,CID000105,Axis Bank,297797537888,SBIN586630
ACC000084,CID000106,ICICI Bank,216064733392,SBIN657260
ACC000085,CID000107,Canara Bank,151971819422,SBIN976984
ACC000086,CID000108,Union Bank,997792508848,SBIN360619
ACC000087,CID000109,Axis Bank,475680352771,SBIN227550
ACC000088,CID000110,Axis Bank,287609979642,SBIN932356
ACC000089,CID000111,ICICI Bank,390357604792,SBIN271815
ACC000090,CID000112,SBI,250611144302,SBIN268948
ACC000091,CID000113,ICICI Bank,594976125676,SBIN300216
ACC000092,CID000114,Union Bank,737895240016,SBIN464578
ACC000093,CID000115,Bank of Baroda,396162528816,SBIN508292
ACC000094,CID000116,HDFC Bank,734424592817,SBIN170914
ACC000095,CID000117,Bank of Baroda,197015441384,SBIN137778
ACC000096,CID000118,SBI,188479790400,SBIN114709
ACC000097,CID000119,Union Bank,251927294417,SBIN581131
ACC000098,CID000120,Canara Bank,219928687956,SBIN168892
ACC000099,CID000123,Canara Bank,887438556634,SBIN919508
ACC000100,CID000125,Canara Bank,996268470632,SBIN572613
ACC000101,CID000126,SBI,863000945373,SBIN399874
ACC000102,CID000127,Axis Bank,288105781185,SBIN145058
ACC000103,CID000128,SBI,746794658308,SBIN143778
ACC000104,CID000129,Canara Bank,917793106059,SBIN755034
ACC000105,CID000130,SBI,800695133698,SBIN739051
ACC000106,CID000131,Canara Bank,944959137414,SBIN918297
ACC000107,CID000132,Union Bank,290598040584,SBIN635335
ACC000108,CID000134,Union Bank,965194106489,SBIN603757
ACC000109,CID000135,Bank of Baroda,929742819274,SBIN111443
ACC000110,CID000136,HDFC Bank,771835895291,SBIN218430
ACC000111,CID000137,Axis Bank,756350103362,SBIN177097
ACC000112,CID000138,Canara Bank,789546594965,SBIN166287
ACC000113,CID000139,Canara Bank,562702000968,SBIN398466
ACC000114,CID000140,Bank of Baroda,210487010601,SBIN951550
ACC000115,CID000141,HDFC Bank,590130620607,SBIN704289
ACC000116,CID000142,HDFC Bank,137182688517,SBIN226063
ACC000117,CID000143,Bank of Baroda,235207177098,SBIN998589
ACC000118,CID000144,SBI,825898970257,SBIN824506
ACC000119,CID000145,Axis Bank,233777674479,SBIN603613
ACC000120,CID000146,Axis Bank,878272820968,SBIN320174
ACC000121,CID000147,SBI,904432937498,SBIN328613
ACC000122,CID000148,ICICI Bank,843655262649,SBIN470638
ACC000123,CID000150,Canara Bank,196625564068,SBIN823847
ACC000124,CID000151,Axis Bank,772932640752,SBIN974578
ACC000125,CID000152,Union Bank,714251171616,SBIN589597
ACC000126,CID000153,HDFC Bank,232951944488,SBIN275461
ACC000127,CID000154,Bank of Baroda,981844374051,SBIN903174
ACC000128,CID000155,Bank of Baroda,647336458214,SBIN390304
ACC000129,CID000156,SBI,363981418615,SBIN193144
ACC000130,CID000158,Union Bank,974482911474,SBIN856419
ACC000131,CID000159,SBI,815967159178,SBIN402714
ACC000132,CID000160,Bank of Baroda,743021879390,SBIN108288
ACC000133,CID000161,HDFC Bank,579387671994,SBIN494082
ACC000134,CID000163,Union Bank,872567766020,SBIN351435
ACC000135,CID000165,HDFC Bank,915994206149,SBIN687954
ACC000136,CID000166,HDFC Bank,402306804472,SBIN406939
ACC000137,CID000167,Bank of Baroda,664872652821,SBIN359168
ACC000138,CID000169,Canara Bank,133562525964,SBIN777736
ACC000139,CID000170,Bank of Baroda,425416367939,SBIN655915
ACC000140,CID000171,SBI,650569133654,SBIN626388
ACC000141,CID000173,Canara Bank,274626186003,SBIN781265
ACC000142,CID000174,Canara Bank,366886771942,SBIN456000
ACC000143,CID000177,Canara Bank,363736013491,SBIN887978
ACC000144,CID000178,Axis Bank,827123031041,SBIN389993
ACC000145,CID000179,SBI,996361960804,SBIN432402
ACC000146,CID000180,Union Bank,257934209452,SBIN417664
ACC000147,CID000181,Axis Bank,991952482635,SBIN339181
ACC000148,CID000182,Union Bank,367137424575,SBIN577774
ACC000149,CID000183,ICICI Bank,524377396195,SBIN257131
ACC000150,CID000184,Union Bank,612128590636,SBIN564532
ACC000151,CID000185,Canara Bank,749717747169,SBIN572323
ACC000152,CID000186,HDFC Bank,350792198084,SBIN505393
ACC000153,CID000187,Union Bank,961698852850,SBIN718957
ACC000154,CID000188,ICICI Bank,952369437210,SBIN654843
ACC000155,CID000189,Axis Bank,191005025402,SBIN949609
ACC000156,CID000191,Union Bank,943553986540,SBIN178490
ACC000157,CID000192,Canara Bank,510204796638,SBIN615450
ACC000158,CID000193,Axis Bank,528641192903,SBIN532582
ACC000159,CID000194,Canara Bank,625934649011,SBIN884811
ACC000160,CID000195,Axis Bank,104303556179,SBIN663538
ACC000161,CID000196,Axis Bank,884385943014,SBIN198788
ACC000162,CID000197,Canara Bank,576239313839,SBIN543455
ACC000163,CID000198,Union Bank,359447719792,SBIN458119
ACC000164,CID000199,Canara Bank,277585924614,SBIN953300
ACC000165,CID000200,Canara Bank,849531382027,SBIN981345
ACC000166,CID000201,Bank of Baroda,989007442491,SBIN377848
ACC000167,CID000202,SBI,709751928791,SBIN400459
ACC000168,CID000203,HDFC Bank,920549321914,SBIN799634
ACC000169,CID000205,ICICI Bank,752236042325,SBIN607422
ACC000170,CID000206,ICICI Bank,708975383402,SBIN869732
ACC000171,CID000207,Canara Bank,545617251555,SBIN821754
ACC000172,CID000208,Union Bank,949681065840,SBIN905800
ACC000173,CID000209,Union Bank,555660765884,SBIN915449
ACC000174,CID000211,Union Bank,922920656737,SBIN264589
ACC000175,CID000212,Bank of Baroda,883526267834,SBIN617880
ACC000176,CID000213,Bank of Baroda,564616139783,SBIN577611
ACC000177,CID000215,SBI,145340775740,SBIN969258
ACC000178,CID000216,ICICI Bank,197728442621,SBIN229173
ACC000179,CID000217,Bank of Baroda,895827501893,SBIN786961
ACC000180,CID000218,Canara Bank,711419019660,SBIN604521
ACC000181,CID000219,SBI,357978724285,SBIN773390
ACC000182,CID000220,SBI,604408872674,SBIN372795
ACC000183,CID000221,Canara Bank,318088415810,SBIN396927
ACC000184,CID000223,Axis Bank,675045703040,SBIN800989
ACC000185,CID000224,Axis Bank,146061458207,SBIN663500
ACC000186,CID000225,HDFC Bank,910466339743,SBIN636374
ACC000187,CID000226,Axis Bank,383390947192,SBIN198194
ACC000188,CID000227,Bank of Baroda,553327419475,SBIN196960
ACC000189,CID000228,HDFC Bank,759525803101,SBIN741706
ACC000190,CID000229,Union Bank,526575241664,SBIN498536
ACC000191,CID000230,SBI,201801794689,SBIN973723
ACC000192,CID000232,ICICI Bank,938192935209,SBIN258892
ACC000193,CID000233,Canara Bank,943540264735,SBIN390376
ACC000194,CID000234,Bank of Baroda,676879316489,SBIN706173
ACC000195,CID000235,Union Bank,326750129634,SBIN813150
ACC000196,CID000236,SBI,217342306143,SBIN955118
ACC000197,CID000237,Union Bank,260262223833,SBIN668188
ACC000198,CID000238,Canara Bank,900484792105,SBIN790034
ACC000199,CID000239,Axis Bank,320615996342,SBIN610700
ACC000200,CID000240,HDFC Bank,864183892691,SBIN832374
ACC000201,CID000241,Canara Bank,683310754502,SBIN444076
ACC000202,CID000242,Axis Bank,899716554319,SBIN462473
ACC000203,CID000243,SBI,691692959117,SBIN334835
ACC000204,CID000244,SBI,242102885017,SBIN554584
ACC000205,CID000245,SBI,961562009742,SBIN598099
ACC000206,CID000246,Canara Bank,135643203570,SBIN849317
ACC000207,CID000247,ICICI Bank,810661927466,SBIN877220
ACC000208,CID000248,ICICI Bank,196375565135,SBIN536998
ACC000209,CID000249,Axis Bank,137125122608,SBIN408758
ACC000210,CID000250,Axis Bank,345287852100,SBIN779746
ACC000211,CID000251,Bank of Baroda,148800491991,SBIN826629
ACC000212,CID000252,Canara Bank,889436161885,SBIN658332
ACC000213,CID000253,HDFC Bank,435931441182,SBIN599552
ACC000214,CID000254,HDFC Bank,239618703019,SBIN753733
ACC000215,CID000256,Axis Bank,806294811853,SBIN474954
ACC000216,CID000257,Axis Bank,553366746410,SBIN403985
ACC000217,CID000258,Canara Bank,134828370245,SBIN760912
ACC000218,CID000259,HDFC Bank,763308939799,SBIN698009
ACC000219,CID000261,Canara Bank,786050755828,SBIN113173
ACC000220,CID000262,Axis Bank,551739951366,SBIN386354
ACC000221,CID000264,SBI,501828098148,SBIN601895
ACC000222,CID000266,Union Bank,981399808651,SBIN801868
ACC000223,CID000270,Bank of Baroda,813044877077,SBIN108100
ACC000224,CID000271,Union Bank,693008654256,SBIN989601
ACC000225,CID000272,SBI,774714686861,SBIN344142
ACC000226,CID000273,Axis Bank,907166325333,SBIN173519
ACC000227,CID000274,Canara Bank,947690290059,SBIN472004
ACC000228,CID000275,HDFC Bank,669860781692,SBIN782509
ACC000229,CID000276,SBI,881959264486,SBIN678586
ACC000230,CID000277,Axis Bank,545401198263,SBIN467221
ACC000231,CID000278,HDFC Bank,301359966636,SBIN823052
ACC000232,CID000279,Union Bank,830068556051,SBIN347034
ACC000233,CID000280,Axis Bank,542352413513,SBIN155090
ACC000234,CID000281,Axis Bank,604105007565,SBIN707249
ACC000235,CID000282,Union Bank,165915236592,SBIN420775
ACC000236,CID000283,SBI,740045479406,SBIN518684
ACC000237,CID000285,SBI,802698933055,SBIN985331
ACC000238,CID000286,HDFC Bank,337416395561,SBIN843493
ACC000239,CID000287,Axis Bank,473698369202,SBIN958092
ACC000240,CID000288,Bank of Baroda,172594081420,SBIN935905
ACC000241,CID000289,ICICI Bank,455024714045,SBIN999227
ACC000242,CID000290,HDFC Bank,466059406216,SBIN290832
ACC000243,CID000291,SBI,952852787816,SBIN940118
ACC000244,CID000292,Axis Bank,734187270302,SBIN884587
ACC000245,CID000293,Union Bank,385564952322,SBIN500545
ACC000246,CID000294,Canara Bank,850878031538,SBIN933955
ACC000247,CID000295,Bank of Baroda,296298705304,SBIN758123
ACC000248,CID000296,Axis Bank,997003090643,SBIN469316
ACC000249,CID000297,Axis Bank,520636067622,SBIN217317
ACC000250,CID000298,Bank of Baroda,579472787747,SBIN185517
ACC000251,CID000299,Union Bank,343460469720,SBIN434252
ACC000252,CID000300,HDFC Bank,713229640917,SBIN275839
ACC000253,CID000301,HDFC Bank,747743368172,SBIN206164
ACC000254,CID000302,HDFC Bank,758174755456,SBIN732892
ACC000255,CID000303,Axis Bank,316312784952,SBIN942052
ACC000256,CID000304,HDFC Bank,314562564753,SBIN304072
ACC000257,CID000305,SBI,663673904484,SBIN390256
ACC000258,CID000306,HDFC Bank,796567564449,SBIN799428
ACC000259,CID000307,Union Bank,936391549002,SBIN575573
ACC000260,CID000308,Bank of Baroda,759750801910,SBIN643327
ACC000261,CID000309,Union Bank,127457072337,SBIN190665
ACC000262,CID000310,ICICI Bank,115850253001,SBIN755231
ACC000263,CID000311,Union Bank,259727741002,SBIN523436
ACC000264,CID000312,HDFC Bank,739008230367,SBIN589187
ACC000265,CID000313,Axis Bank,532063453991,SBIN582060
ACC000266,CID000314,SBI,393897185344,SBIN816099
ACC000267,CID000316,Canara Bank,172189302735,SBIN883272
ACC000268,CID000317,Axis Bank,310746858654,SBIN892279
ACC000269,CID000318,Axis Bank,919024196171,SBIN406526
ACC000270,CID000319,ICICI Bank,425162286433,SBIN517455
ACC000271,CID000320,Bank of Baroda,124287038632,SBIN434841
ACC000272,CID000321,HDFC Bank,946210748999,SBIN520478
ACC000273,CID000322,Canara Bank,834942099363,SBIN712942
ACC000274,CID000324,Axis Bank,430631387663,SBIN502651
ACC000275,CID000325,ICICI Bank,191894189606,SBIN295164
ACC000276,CID000326,HDFC Bank,769374692236,SBIN113991
ACC000277,CID000327,Union Bank,377212262472,SBIN945696
ACC000278,CID000328,Bank of Baroda,518580379266,SBIN554578
ACC000279,CID000329,Canara Bank,726606997520,SBIN104060
ACC000280,CID000330,Axis Bank,181767783228,SBIN271028
ACC000281,CID000332,Bank of Baroda,627248337079,SBIN882568
ACC000282,CID000333,Union Bank,235143074263,SBIN311717
ACC000283,CID000334,ICICI Bank,715965900797,SBIN847640
ACC000284,CID000335,Union Bank,862755049889,SBIN529913
ACC000285,CID000336,ICICI Bank,322559592664,SBIN310413
ACC000286,CID000337,Union Bank,657607073040,SBIN971250
ACC000287,CID000338,Axis Bank,380430536902,SBIN604361
ACC000288,CID000339,Bank of Baroda,461536970739,SBIN421109
ACC000289,CID000340,Union Bank,474630512432,SBIN935644
ACC000290,CID000341,SBI,448174582424,SBIN344337
ACC000291,CID000342,ICICI Bank,820339622196,SBIN412703
ACC000292,CID000343,Bank of Baroda,121368985518,SBIN786096
ACC000293,CID000344,SBI,818055812669,SBIN690560
ACC000294,CID000345,HDFC Bank,571426482567,SBIN747001
ACC000295,CID000346,Union Bank,890350786306,SBIN882912
ACC000296,CID000347,HDFC Bank,316086599934,SBIN207050
ACC000297,CID000348,HDFC Bank,369038421046,SBIN956215
ACC000298,CID000349,Axis Bank,590930464687,SBIN592016
ACC000299,CID000350,ICICI Bank,945251632919,SBIN506129
ACC000300,CID000351,Union Bank,107978570911,SBIN498515
ACC000301,CID000352,ICICI Bank,192527358242,SBIN822179
ACC000302,CID000353,Bank of Baroda,916404472480,SBIN953099
ACC000303,CID000354,Canara Bank,726098874122,SBIN888584
ACC000304,CID000356,Bank of Baroda,918079800387,SBIN109498
ACC000305,CID000357,ICICI Bank,738906721317,SBIN444460
ACC000306,CID000358,Union Bank,335657166720,SBIN201362
ACC000307,CID000359,Axis Bank,208066239077,SBIN903136
ACC000308,CID000360,HDFC Bank,402877148847,SBIN629837
ACC000309,CID000361,Canara Bank,261081481097,SBIN795942
ACC000310,CID000362,HDFC Bank,468252403319,SBIN335561
ACC000311,CID000363,Canara Bank,446341611566,SBIN176857
ACC000312,CID000364,ICICI Bank,388353837877,SBIN762102
ACC000313,CID000365,ICICI Bank,854885974037,SBIN122663
ACC000314,CID000366,SBI,556474094303,SBIN908909
ACC000315,CID000367,Canara Bank,344515522375,SBIN525482
ACC000316,CID000368,Bank of Baroda,431082553137,SBIN683595
ACC000317,CID000369,Canara Bank,976526653276,SBIN864064
ACC000318,CID000370,SBI,184309263526,SBIN811696
ACC000319,CID000372,Bank of Baroda,814557927966,SBIN286815
ACC000320,CID000373,Canara Bank,589900654797,SBIN811211
ACC000321,CID000374,Axis Bank,967055955468,SBIN332705
ACC000322,CID000375,Canara Bank,453718793645,SBIN252502
ACC000323,CID000376,Bank of Baroda,862519783663,SBIN398495
ACC000324,CID000377,ICICI Bank,361409757693,SBIN142712
ACC000325,CID000378,SBI,441175648935,SBIN573948
ACC000326,CID000379,ICICI Bank,394039425080,SBIN995995
ACC000327,CID000381,SBI,176612914674,SBIN885307
ACC000328,CID000382,Bank of Baroda,490781913444,SBIN999352
ACC000329,CID000383,Axis Bank,826506394684,SBIN122361
ACC000330,CID000384,Union Bank,566329493994,SBIN210855
ACC000331,CID000385,Axis Bank,160399973300,SBIN630987
ACC000332,CID000386,HDFC Bank,794948397909,SBIN766982
ACC000333,CID000387,Union Bank,931743921334,SBIN480477
ACC000334,CID000388,Bank of Baroda,461508166649,SBIN691397
ACC000335,CID000389,Bank of Baroda,413756979490,SBIN813517
ACC000336,CID000390,Union Bank,350203771186,SBIN325645
ACC000337,CID000391,Union Bank,769007238987,SBIN506253
ACC000338,CID000392,HDFC Bank,338326569514,SBIN276357
ACC000339,CID000393,Union Bank,656810382572,SBIN903488
ACC000340,CID000396,Canara Bank,390860345672,SBIN790080
ACC000341,CID000397,SBI,785288504396,SBIN586100
ACC000342,CID000398,Axis Bank,887404693530,SBIN662118
ACC000343,CID000399,ICICI Bank,106523859544,SBIN806291
ACC000344,CID000400,HDFC Bank,436407122737,SBIN304456
ACC000345,CID000401,Axis Bank,264938565554,SBIN599798
ACC000346,CID000402,HDFC Bank,473190857021,SBIN231258
ACC000347,CID000403,HDFC Bank,720513831182,SBIN239245
ACC000348,CID000406,Axis Bank,161842553311,SBIN204497
ACC000349,CID000407,SBI,914664501079,SBIN608456
ACC000350,CID000408,Union Bank,252847496891,SBIN361027
ACC000351,CID000409,Canara Bank,101033953973,SBIN942500
ACC000352,CID000410,HDFC Bank,661793919194,SBIN147695
ACC000353,CID000412,SBI,929021213616,SBIN486223
ACC000354,CID000414,Bank of Baroda,705753524225,SBIN143965
ACC000355,CID000416,Canara Bank,753193179667,SBIN610172
ACC000356,CID000417,SBI,241687283288,SBIN727688
ACC000357,CID000418,SBI,372283264791,SBIN250562
ACC000358,CID000420,Union Bank,299265665772,SBIN948727
ACC000359,CID000422,Canara Bank,213031822179,SBIN967897
ACC000360,CID000423,Axis Bank,536128059147,SBIN837403
ACC000361,CID000424,Axis Bank,840068065860,SBIN380061
ACC000362,CID000426,Union Bank,172878934760,SBIN570102
ACC000363,CID000428,Union Bank,121515387659,SBIN240018
ACC000364,CID000430,Bank of Baroda,660641607805,SBIN110110
ACC000365,CID000431,Union Bank,721299941101,SBIN930023
ACC000366,CID000432,Bank of Baroda,892889236934,SBIN940731
ACC000367,CID000433,Union Bank,659322809076,SBIN769778
ACC000368,CID000434,Axis Bank,979753372614,SBIN174498
ACC000369,CID000435,Bank of Baroda,610379930711,SBIN336963
ACC000370,CID000436,Union Bank,867028009403,SBIN433302
ACC000371,CID000437,SBI,619361257377,SBIN736573
ACC000372,CID000438,Bank of Baroda,523212336877,SBIN263456
ACC000373,CID000439,HDFC Bank,274473615387,SBIN244620
ACC000374,CID000440,Union Bank,471870164303,SBIN406054
ACC000375,CID000441,Axis Bank,469779306507,SBIN135280
ACC000376,CID000442,HDFC Bank,990967438178,SBIN753757
ACC000377,CID000444,HDFC Bank,671553061739,SBIN970521
ACC000378,CID000445,Union Bank,543378400624,SBIN301463
ACC000379,CID000448,Axis Bank,609493921577,SBIN950318
ACC000380,CID000450,Bank of Baroda,117089071662,SBIN579290
ACC000381,CID000451,Canara Bank,736612942142,SBIN208457
ACC000382,CID000452,Union Bank,266322361231,SBIN968542
ACC000383,CID000456,Union Bank,187191149348,SBIN375513
ACC000384,CID000457,Axis Bank,758183792647,SBIN469168
ACC000385,CID000458,Bank of Baroda,156743974901,SBIN246192
ACC000386,CID000459,ICICI Bank,115473824057,SBIN796714
ACC000387,CID000460,Bank of Baroda,411977190314,SBIN902586
ACC000388,CID000461,Bank of Baroda,875203815457,SBIN778874
ACC000389,CID000462,Bank of Baroda,661174398851,SBIN726918
ACC000390,CID000463,Union Bank,526404993830,SBIN627876
ACC000391,CID000464,Axis Bank,868369004743,SBIN778762
ACC000392,CID000465,SBI,992721596315,SBIN509246
ACC000393,CID000466,ICICI Bank,490428410379,SBIN565701
ACC000394,CID000467,ICICI Bank,712759003941,SBIN351593
ACC000395,CID000468,HDFC Bank,610825151690,SBIN502859
ACC000396,CID000469,Axis Bank,463515689893,SBIN126357
ACC000397,CID000470,Canara Bank,204786710647,SBIN607975
ACC000398,CID000471,Canara Bank,899518398793,SBIN835786
ACC000399,CID000472,SBI,645001347356,SBIN590327
ACC000400,CID000473,Union Bank,154810344310,SBIN381581
ACC000401,CID000475,Union Bank,718555029149,SBIN660911
ACC000402,CID000476,Bank of Baroda,678269475476,SBIN918975
ACC000403,CID000477,Axis Bank,762919465332,SBIN273465
ACC000404,CID000478,HDFC Bank,773648813526,SBIN397181
ACC000405,CID000479,Canara Bank,861160278029,SBIN212597
ACC000406,CID000480,SBI,356081466564,SBIN928406
ACC000407,CID000481,Union Bank,879973926155,SBIN839865
ACC000408,CID000482,Union Bank,223341581045,SBIN459409
ACC000409,CID000484,Canara Bank,964457821242,SBIN554852
ACC000410,CID000487,ICICI Bank,518305093939,SBIN669560
ACC000411,CID000488,HDFC Bank,903801240626,SBIN294245
ACC000412,CID000489,Canara Bank,522575533500,SBIN929142
ACC000413,CID000491,ICICI Bank,951667726993,SBIN211838
ACC000414,CID000492,Union Bank,812719918354,SBIN387934
ACC000415,CID000493,Union Bank,228732772484,SBIN721217
ACC000416,CID000494,Canara Bank,606761711799,SBIN449563
ACC000417,CID000496,SBI,826303278887,SBIN913834
ACC000418,CID000497,Axis Bank,750751968064,SBIN693843
ACC000419,CID000498,SBI,181569087931,SBIN509978
ACC000420,CID000499,SBI,302866458773,SBIN848008
ACC000421,CID000500,HDFC Bank,445282449443,SBIN945786
ACC000422,CID000501,SBI,358464929481,SBIN622194
ACC000423,CID000502,Axis Bank,147528500326,SBIN827454
ACC000424,CID000504,Union Bank,868728138762,SBIN374820
ACC000425,CID000505,ICICI Bank,883280003625,SBIN203317
ACC000426,CID000506,Bank of Baroda,688417024125,SBIN399101
ACC000427,CID000507,SBI,194752207039,SBIN316850
ACC000428,CID000508,Union Bank,464693267109,SBIN531416
ACC000429,CID000509,HDFC Bank,627108966294,SBIN820647
ACC000430,CID000510,Bank of Baroda,907099792518,SBIN449738
ACC000431,CID000511,Axis Bank,190582240782,SBIN442557
ACC000432,CID000513,HDFC Bank,211121291543,SBIN880989
ACC000433,CID000514,Bank of Baroda,518635512666,SBIN985673
ACC000434,CID000515,Axis Bank,657240158049,SBIN734366
ACC000435,CID000516,HDFC Bank,709754170723,SBIN913443
ACC000436,CID000517,SBI,791689039113,SBIN454819
ACC000437,CID000518,Axis Bank,368741870044,SBIN246196
ACC000438,CID000520,HDFC Bank,742606660462,SBIN949382
ACC000439,CID000521,Union Bank,136329122777,SBIN773705
ACC000440,CID000522,SBI,757544675321,SBIN969641
ACC000441,CID000523,HDFC Bank,380603263435,SBIN812444
ACC000442,CID000525,Bank of Baroda,248049558318,SBIN610995
ACC000443,CID000526,SBI,100709918540,SBIN671791
ACC000444,CID000527,Canara Bank,897890929925,SBIN186274
ACC000445,CID000528,Canara Bank,304956254007,SBIN439251
ACC000446,CID000529,Bank of Baroda,786681317479,SBIN711523
ACC000447,CID000530,ICICI Bank,607388435644,SBIN171253
ACC000448,CID000531,HDFC Bank,754772907597,SBIN978325
ACC000449,CID000533,Axis Bank,268971489265,SBIN916397
ACC000450,CID000534,Bank of Baroda,351954574134,SBIN102546
ACC000451,CID000535,ICICI Bank,881831712039,SBIN826805
ACC000452,CID000536,Union Bank,913758392063,SBIN619497
ACC000453,CID000537,Bank of Baroda,990918715668,SBIN521586
ACC000454,CID000538,HDFC Bank,577905977053,SBIN893841
ACC000455,CID000539,SBI,133633715738,SBIN193862
ACC000456,CID000540,Bank of Baroda,144217315900,SBIN601187
ACC000457,CID000541,HDFC Bank,809540401960,SBIN890423
ACC000458,CID000542,Union Bank,971552957439,SBIN527995
ACC000459,CID000543,Union Bank,854724100010,SBIN448371
ACC000460,CID000544,Union Bank,563249653355,SBIN160992
ACC000461,CID000545,HDFC Bank,801013382096,SBIN106957
ACC000462,CID000546,SBI,850154771875,SBIN481665
ACC000463,CID000547,Bank of Baroda,129774876596,SBIN781381
ACC000464,CID000548,Canara Bank,880717712705,SBIN228855
ACC000465,CID000549,SBI,628970406370,SBIN595013
ACC000466,CID000550,Canara Bank,257496515672,SBIN304048
