search_id,entity_type,entity_value,case_id
SRCH000158,Bank,757108405831,CASE006718
SRCH000159,Phone,9330106576,CASE009577
SRCH000160,Phone,9960995683,CASE003040
SRCH000161,Bank,759205358842,CASE000662
SRCH000162,Officer,OFF00132,CASE001910
SRCH000163,Vehicle,KA94AB1649,CASE004316
SRCH000164,Bank,785690464474,CASE005111
SRCH000165,Vehicle,KA45AB6315,CASE004614
SRCH000166,Bank,137038885669,CASE000019
SRCH000167,Bank,226692038195,CASE004617
SRCH000168,Officer,OFF00112,CASE004434
SRCH000169,Vehicle,KA92AB8783,CASE004554
SRCH000170,Citizen,CID008885,CASE008631
SRCH000171,Citizen,CID008469,CASE008629
SRCH000172,Case,CASE001874,CASE009760
SRCH000173,Case,CASE003865,CASE002892
SRCH000174,Bank,933184097683,CASE002214
SRCH000175,Case,CASE007504,CASE009806
SRCH000176,Citizen,CID009044,CASE007812
SRCH000177,Bank,686790378829,CASE005239
SRCH000178,Vehicle,KA90AB3097,CASE000736
SRCH000179,Bank,295701942526,CASE006243
SRCH000180,Officer,OFF00293,CASE003217
SRCH000181,Case,CASE006751,CASE005983
SRCH000182,Vehicle,KA44AB4071,CASE000289
SRCH000183,Case,CASE009128,CASE005711
SRCH000184,Bank,151334227010,CASE008871
SRCH000185,Officer,OFF00138,CASE006163
SRCH000186,Citizen,CID005503,CASE005792
SRCH000187,Bank,459843780869,CASE009554
SRCH000188,Bank,964712205682,CASE005512
SRCH000189,Vehicle,KA30AB7515,CASE006902
SRCH000190,Citizen,CID003228,CASE005248
SRCH000191,Phone,9654665940,CASE007863
SRCH000192,Case,CASE000690,CASE009009
SRCH000193,Phone,9196269904,CASE007441
SRCH000194,Vehicle,KA35AB9375,CASE006570
SRCH000195,Citizen,CID003897,CASE007987
SRCH000196,Officer,OFF00376,CASE000773
SRCH000197,Phone,9012208315,CASE006925
SRCH000198,Phone,9408135323,CASE006479
SRCH000199,Citizen,CID001463,CASE006973
SRCH000200,Phone,9879633263,CASE004395
SRCH000201,Vehicle,KA13AB9913,CASE003434
SRCH000202,Bank,584410001162,CASE000353
SRCH000203,Officer,OFF00177,CASE003040
SRCH000204,Citizen,CID005508,CASE006427
SRCH000205,Phone,9661750641,CASE002367
SRCH000206,Bank,383847695434,CASE003446
SRCH000207,Case,CASE004333,CASE002865
SRCH000208,Phone,9297466689,CASE005677
SRCH000209,Case,CASE004154,CASE007308
SRCH000210,Vehicle,KA97AB7484,CASE004386
SRCH000211,Citizen,CID001140,CASE006145
SRCH000212,Officer,OFF00073,CASE000347
SRCH000213,Bank,955651577545,CASE006526
SRCH000214,Case,CASE008795,CASE006725
SRCH000215,Citizen,CID002071,CASE008024
SRCH000216,Vehicle,KA28AB2437,CASE000821
SRCH000217,Case,CASE004267,CASE003428
SRCH000218,Case,CASE009872,CASE006021
SRCH000219,Citizen,CID007387,CASE006375
SRCH000220,Bank,181549491812,CASE007353
SRCH000221,Bank,573153317822,CASE003787
SRCH000222,Vehicle,KA08AB7786,CASE003306
SRCH000223,Officer,OFF00476,CASE002193
SRCH000224,Phone,9575268242,CASE006058
SRCH000225,Phone,9701178063,CASE001162
SRCH000226,Officer,OFF00035,CASE002683
SRCH000227,Phone,9500977342,CASE002282
SRCH000228,Case,CASE009625,CASE003341
SRCH000229,Phone,9935631409,CASE007611
SRCH000230,Officer,OFF00332,CASE004462
SRCH000231,Phone,9315466866,CASE005978
SRCH000232,Vehicle,KA55AB5509,CASE004338
SRCH000233,Citizen,CID008109,CASE002975
SRCH000234,Case,CASE007811,CASE004326
SRCH000235,Citizen,CID007238,CASE008109
SRCH000236,Citizen,CID004459,CASE008115
SRCH000237,Case,CASE000499,CASE006918
SRCH000238,Phone,9097132196,CASE003214
SRCH000239,Bank,884035350978,CASE000357
SRCH000240,Vehicle,KA45AB9905,CASE000311
SRCH000241,Case,CASE006217,CASE008861
SRCH000242,Officer,OFF00387,CASE002095
SRCH000243,Phone,9218565498,CASE001941
SRCH000244,Vehicle,KA26AB2793,CASE005055
SRCH000245,Officer,OFF00168,CASE007963
SRCH000246,Citizen,CID005846,CASE007499
SRCH000247,Phone,9259754444,CASE001410
SRCH000248,Phone,9765523708,CASE006402
SRCH000249,Case,CASE007007,CASE008863
SRCH000250,Case,CASE007436,CASE003048
SRCH000251,Case,CASE006947,CASE001782
SRCH000252,Officer,OFF00208,CASE001623
SRCH000253,Vehicle,KA05AB3526,CASE000150
SRCH000254,Case,CASE000319,CASE005754
SRCH000255,Phone,9002955575,CASE009435
SRCH000256,Phone,9528592877,CASE003301
SRCH000257,Phone,9404838485,CASE004339
SRCH000258,Citizen,CID001447,CASE007744
SRCH000259,Bank,948168570489,CASE003095
SRCH000260,Vehicle,KA47AB4162,CASE000488
SRCH000261,Citizen,CID006742,CASE002749
SRCH000262,Bank,698208518509,CASE000600
SRCH000263,Vehicle,KA98AB2916,CASE002001
SRCH000264,Bank,911128246154,CASE002903
SRCH000265,Bank,238779771042,CASE004548
SRCH000266,Citizen,CID002217,CASE001121
SRCH000267,Officer,OFF00466,CASE001866
SRCH000268,Vehicle,KA10AB6691,CASE009032
SRCH000269,Vehicle,KA15AB6527,CASE007230
SRCH000270,Officer,OFF00083,CASE007721
SRCH000271,Bank,794848342700,CASE008695
SRCH000272,Citizen,CID000445,CASE000032
SRCH000273,Case,CASE003984,CASE006514
SRCH000274,Citizen,CID007808,CASE000713
SRCH000275,Citizen,CID006774,CASE003403
SRCH000276,Phone,9271170905,CASE001926
SRCH000277,Citizen,CID007292,CASE001607
SRCH000278,Phone,9891198215,CASE003904
SRCH000279,Bank,107722030308,CASE002574
SRCH000280,Phone,9017120499,CASE000762
SRCH000281,Bank,563985008854,CASE008551
SRCH000282,Officer,OFF00388,CASE009422
SRCH000283,Officer,OFF00182,CASE003111
SRCH000284,Citizen,CID007117,CASE008736
SRCH000285,Phone,9265731033,CASE002265
SRCH000286,Citizen,CID008295,CASE003150
SRCH000287,Citizen,CID008453,CASE007022
SRCH000288,Phone,9630328934,CASE001398
SRCH000289,Citizen,CID005702,CASE006302
SRCH000290,Vehicle,KA84AB7319,CASE006262
SRCH000291,Vehicle,KA60AB5629,CASE009876
SRCH000292,Bank,211483468742,CASE007001
SRCH000293,Bank,106449061076,CASE006463
SRCH000294,Officer,OFF00071,CASE008194
SRCH000295,Phone,9717853375,CASE005847
SRCH000296,Vehicle,KA19AB9607,CASE008297
SRCH000297,Citizen,CID006319,CASE004887
SRCH000298,Officer,OFF00337,CASE001177
SRCH000299,Vehicle,KA08AB4103,CASE008110
SRCH000300,Officer,OFF00016,CASE007492
SRCH000301,Bank,873892296767,CASE009524
SRCH000302,Citizen,CID006856,CASE001240
SRCH000303,Bank,174136528657,CASE001391
SRCH000304,Phone,9260888998,CASE009431
SRCH000305,Vehicle,KA23AB9461,CASE002497
SRCH000306,Citizen,CID006138,CASE008328
SRCH000307,Case,CASE002749,CASE008017
SRCH000308,Citizen,CID001331,CASE009639
SRCH000309,Case,CASE004988,CASE005725
SRCH000310,Officer,OFF00411,CASE003261
SRCH000311,Case,CASE002332,CASE005158
SRCH000312,Citizen,CID006125,CASE001041
SRCH000313,Vehicle,KA03AB1391,CASE009121
SRCH000314,Bank,218898284468,CASE000152
SRCH000315,Bank,540421030625,CASE007189
SRCH000316,Officer,OFF00108,CASE002560
SRCH000317,Case,CASE001166,CASE007341
SRCH000318,Officer,OFF00377,CASE001501
SRCH000319,Vehicle,KA80AB6029,CASE008743
SRCH000320,Phone,9453455325,CASE006404
SRCH000321,Bank,250126344286,CASE006846
SRCH000322,Bank,730471181373,CASE003253
SRCH000323,Phone,9775443520,CASE000903
SRCH000324,Bank,801478646069,CASE001271
SRCH000325,Phone,9097790171,CASE001564
SRCH000326,Phone,9965960889,CASE003989
SRCH000327,Vehicle,KA49AB9409,CASE006517
SRCH000328,Vehicle,KA11AB1804,CASE005156
SRCH000329,Bank,930788878113,CASE001409
SRCH000330,Officer,OFF00136,CASE006767
SRCH000331,Vehicle,KA01AB4541,CASE002343
SRCH000332,Phone,9785250259,CASE002398
SRCH000333,Case,CASE005336,CASE009890
SRCH000334,Case,CASE006312,CASE004105
SRCH000335,Phone,9334700607,CASE001605
SRCH000336,Officer,OFF00115,CASE007791
SRCH000337,Bank,504739781400,CASE002759
SRCH000338,Citizen,CID004485,CASE004371
SRCH000339,Case,CASE003561,CASE007519
SRCH000340,Phone,9179618814,CASE004292
SRCH000341,Officer,OFF00257,CASE003004
SRCH000342,Officer,OFF00199,CASE006863
SRCH000343,Bank,314410608333,CASE007210
SRCH000344,Officer,OFF00308,CASE008115
SRCH000345,Bank,942302474080,CASE009966
SRCH000346,Phone,9196273681,CASE001425
SRCH000347,Citizen,CID000261,CASE008379
SRCH000348,Phone,9648953225,CASE008073
SRCH000349,Bank,652043310177,CASE001995
SRCH000350,Citizen,CID002128,CASE006867
SRCH000351,Phone,9599596100,CASE000903
SRCH000352,Case,CASE000844,CASE006768
SRCH000353,Case,CASE004110,CASE004604
SRCH000354,Vehicle,KA83AB4207,CASE007739
SRCH000355,Bank,307712422235,CASE007789
SRCH000356,Officer,OFF00026,CASE009173
SRCH000357,Citizen,CID004634,CASE002706
SRCH000358,Officer,OFF00249,CASE004864
SRCH000359,Vehicle,KA62AB6621,CASE009835
SRCH000360,Bank,475514754583,CASE005382
SRCH000361,Vehicle,KA34AB3081,CASE005934
SRCH000362,Citizen,CID009747,CASE001479
SRCH000363,Bank,123866263422,CASE008569
SRCH000364,Vehicle,KA22AB8332,CASE002754
SRCH000365,Vehicle,KA85AB8081,CASE000104
SRCH000366,Phone,9621020499,CASE007269
SRCH000367,Officer,OFF00243,CASE004369
SRCH000368,Officer,OFF00313,CASE002628
SRCH000369,Phone,9518873302,CASE005943
SRCH000370,Bank,906706955950,CASE008619
SRCH000371,Vehicle,KA95AB1173,CASE007713
SRCH000372,Officer,OFF00454,CASE006868
SRCH000373,Officer,OFF00207,CASE002391
SRCH000374,Citizen,CID003396,CASE006345
SRCH000375,Bank,669472947841,CASE009702
SRCH000376,Case,CASE003264,CASE006974
SRCH000377,Case,CASE001943,CASE007483
SRCH000378,Case,CASE000694,CASE002056
SRCH000379,Phone,9863620195,CASE007057
SRCH000380,Case,CASE000304,CASE004282
SRCH000381,Bank,301079223099,CASE009093
SRCH000382,Citizen,CID005977,CASE001391
SRCH000383,Phone,9807265214,CASE002080
SRCH000384,Bank,659274369707,CASE000500
SRCH000385,Citizen,CID004565,CASE009514
SRCH000386,Officer,OFF00447,CASE000192
SRCH000387,Officer,OFF00237,CASE001740
SRCH000388,Officer,OFF00037,CASE002980
SRCH000389,Case,CASE003992,CASE007800
SRCH000390,Case,CASE001139,CASE002349
SRCH000391,Citizen,CID009826,CASE002552
SRCH000392,Phone,9686644978,CASE009553
SRCH000393,Vehicle,KA02AB5570,CASE009744
SRCH000394,Officer,OFF00144,CASE000327
SRCH000395,Citizen,CID009536,CASE001202
SRCH000396,Phone,9515823860,CASE002659
SRCH000397,Bank,720640967751,CASE006404
SRCH000398,Vehicle,KA17AB1288,CASE002897
SRCH000399,Bank,552501128360,CASE009042
SRCH000400,Case,CASE001624,CASE001612
SRCH000401,Officer,OFF00074,CASE005480
SRCH000402,Bank,114291332115,CASE003112
SRCH000403,Officer,OFF00477,CASE000743
SRCH000404,Officer,OFF00453,CASE007893
SRCH000405,Case,CASE009891,CASE000107
SRCH000406,Phone,9148756344,CASE008662
SRCH000407,Phone,9319425220,CASE002134
SRCH000408,Case,CASE004946,CASE008092
SRCH000409,Bank,618714872313,CASE001470
SRCH000410,Officer,OFF00107,CASE000919
SRCH000411,Citizen,CID009255,CASE008578
SRCH000412,Case,CASE007945,CASE006298
SRCH000413,Vehicle,KA67AB9827,CASE000332
SRCH000414,Phone,9460273600,CASE008690
SRCH000415,Citizen,CID005744,CASE005996
SRCH000416,Citizen,CID007669,CASE005335
SRCH000417,Citizen,CID004346,CASE008503
SRCH000418,Citizen,CID005023,CASE005945
SRCH000419,Citizen,CID005804,CASE001332
SRCH000420,Vehicle,KA40AB2521,CASE005051
SRCH000421,Bank,192053878428,CASE005761
SRCH000422,Vehicle,KA42AB9679,CASE006919
SRCH000423,Citizen,CID008171,CASE004760
SRCH000424,Officer,OFF00124,CASE008065
SRCH000425,Officer,OFF00408,CASE001495
SRCH000426,Phone,9086910071,CASE009259
SRCH000427,Citizen,CID005039,CASE000672
SRCH000428,Bank,942557733052,CASE006324
SRCH000429,Bank,176725195916,CASE001726
SRCH000430,Phone,9548933985,CASE005995
SRCH000431,Officer,OFF00239,CASE008805
SRCH000432,Officer,OFF00276,CASE007085
SRCH000433,Phone,9166469141,CASE005608
SRCH000434,Bank,693204854222,CASE004516
SRCH000435,Officer,OFF00348,CASE006708
SRCH000436,Phone,9682094771,CASE003034
SRCH000437,Bank,705327563264,CASE008081
SRCH000438,Bank,281861376847,CASE008247
SRCH000439,Bank,699606977464,CASE005617
SRCH000440,Case,CASE008390,CASE003374
SRCH000441,Officer,OFF00082,CASE001708
SRCH000442,Citizen,CID001888,CASE004860
SRCH000443,Case,CASE000439,CASE001430
SRCH000444,Officer,OFF00163,CASE000824
SRCH000445,Vehicle,KA98AB3035,CASE003438
SRCH000446,Officer,OFF00479,CASE008487
SRCH000447,Vehicle,KA36AB4852,CASE004810
SRCH000448,Officer,OFF00070,CASE003350
SRCH000449,Vehicle,KA64AB4032,CASE002930
SRCH000450,Bank,324439817856,CASE009071
SRCH000451,Bank,287321269754,CASE004384
SRCH000452,Case,CASE007720,CASE002143
SRCH000453,Phone,9047298906,CASE005312
SRCH000454,Citizen,CID003365,CASE004372
SRCH000455,Case,CASE004860,CASE006136
SRCH000456,Bank,316684272854,CASE008623
SRCH000457,Officer,OFF00083,CASE001443
SRCH000458,Officer,OFF00170,CASE006153
SRCH000459,Case,CASE008397,CASE001667
SRCH000460,Officer,OFF00017,CASE001358
SRCH000461,Bank,563291024464,CASE000891
SRCH000462,Bank,156542649547,CASE002744
SRCH000463,Citizen,CID004560,CASE000810
SRCH000464,Officer,OFF00010,CASE009236
SRCH000465,Bank,722537314542,CASE004388
SRCH000466,Bank,794682561705,CASE008392
SRCH000467,Citizen,CID001561,CASE009636
SRCH000468,Citizen,CID009680,CASE009305
SRCH000469,Vehicle,KA31AB5722,CASE000321
SRCH000470,Phone,9785748916,CASE003645
SRCH000471,Citizen,CID009883,CASE004387
SRCH000472,Vehicle,KA75AB9610,CASE009827
SRCH000473,Citizen,CID004877,CASE004005
SRCH000474,Phone,9454864551,CASE000621
SRCH000475,Case,CASE006211,CASE004189
SRCH000476,Vehicle,KA76AB6516,CASE000977
SRCH000477,Vehicle,KA21AB9141,CASE007542
SRCH000478,Bank,327980972949,CASE008648
SRCH000479,Citizen,CID009554,CASE007213
SRCH000480,Officer,OFF00061,CASE002195
SRCH000481,Case,CASE004064,CASE003177
SRCH000482,Bank,997113215911,CASE004257
SRCH000483,Case,CASE007559,CASE008307
SRCH000484,Phone,9085466612,CASE001907
SRCH000485,Bank,683306475395,CASE006315
SRCH000486,Citizen,CID004462,CASE000949
SRCH000487,Officer,OFF00183,CASE002051
SRCH000488,Citizen,CID004216,CASE005805
SRCH000489,Bank,397712541922,CASE000925
SRCH000490,Citizen,CID005456,CASE005623
SRCH000491,Citizen,CID001106,CASE005361
SRCH000492,Officer,OFF00163,CASE008489
SRCH000493,Phone,9729223809,CASE003094
SRCH000494,Officer,OFF00357,CASE001638
SRCH000495,Officer,OFF00399,CASE000418
SRCH000496,Officer,OFF00191,CASE009429
SRCH000497,Vehicle,KA22AB5341,CASE006270
SRCH000498,Officer,OFF00200,CASE007239
SRCH000499,Phone,9004149528,CASE005735
SRCH000500,Case,CASE001184,CASE001510
SRCH000501,Vehicle,KA48AB7696,CASE007997
SRCH000502,Officer,OFF00414,CASE005867
SRCH000503,Vehicle,KA06AB6235,CASE004179
SRCH000504,Bank,396448457668,CASE006323
SRCH000505,Case,CASE007327,CASE000573
SRCH000506,Case,CASE003025,CASE003785
SRCH000507,Bank,676151537425,CASE004073
SRCH000508,Vehicle,KA56AB2860,CASE007980
SRCH000509,Citizen,CID005686,CASE005602
SRCH000510,Citizen,CID007370,CASE006165
SRCH000511,Phone,9435847484,CASE008239
SRCH000512,Bank,605562124187,CASE004643
SRCH000513,Vehicle,KA56AB5256,CASE002300
SRCH000514,Officer,OFF00037,CASE005864
SRCH000515,Case,CASE002749,CASE004172
SRCH000516,Case,CASE007736,CASE008930
SRCH000517,Officer,OFF00460,CASE000076
SRCH000518,Citizen,CID001905,CASE000458
SRCH000519,Officer,OFF00046,CASE001399
SRCH000520,Officer,OFF00167,CASE000208
SRCH000521,Case,CASE009077,CASE002914
SRCH000522,Officer,OFF00045,CASE001359
SRCH000523,Case,CASE001296,CASE007074
SRCH000524,Vehicle,KA24AB4893,CASE004269
SRCH000525,Citizen,CID005424,CASE000751
SRCH000526,Phone,9881471991,CASE004914
SRCH000527,Bank,543603756878,CASE009684
SRCH000528,Case,CASE005839,CASE000278
SRCH000529,Officer,OFF00151,CASE002175
SRCH000530,Phone,9039214642,CASE007452
SRCH000531,Bank,689016695452,CASE001506
SRCH000532,Citizen,CID003449,CASE009315
SRCH000533,Vehicle,KA25AB4130,CASE004038
SRCH000534,Vehicle,KA18AB6473,CASE003088
SRCH000535,Case,CASE003928,CASE005664
SRCH000536,Case,CASE002446,CASE005045
SRCH000537,Vehicle,KA19AB6017,CASE007212
SRCH000538,Phone,9780984115,CASE002238
SRCH000539,Officer,OFF00328,CASE006027
SRCH000540,Phone,9780876734,CASE005668
SRCH000541,Bank,800922884159,CASE008756
SRCH000542,Officer,OFF00392,CASE008984
SRCH000543,Officer,OFF00029,CASE003489
SRCH000544,Phone,9764652971,CASE009569
SRCH000545,Bank,245976736817,CASE008464
SRCH000546,Vehicle,KA89AB4842,CASE002843
SRCH000547,Phone,9836005331,CASE002289
SRCH000548,Citizen,CID008793,CASE002945
SRCH000549,Case,CASE003564,CASE004098
SRCH000550,Bank,589475542631,CASE007372
SRCH000551,Case,CASE001706,CASE007878
SRCH000552,Citizen,CID001226,CASE003135
SRCH000553,Citizen,CID009702,CASE009080
SRCH000554,Citizen,CID004005,CASE006439
SRCH000555,Vehicle,KA19AB9839,CASE005729
SRCH000556,Vehicle,KA99AB6900,CASE006211
SRCH000557,Citizen,CID001246,CASE009875
SRCH000558,Officer,OFF00415,CASE001064
SRCH000559,Officer,OFF00018,CASE007983
SRCH000560,Citizen,CID007359,CASE009850
SRCH000561,Officer,OFF00421,CASE001771
SRCH000562,Bank,850678826477,CASE003119
SRCH000563,Vehicle,KA41AB3668,CASE000851
SRCH000564,Case,CASE009205,CASE008581
SRCH000565,Case,CASE004503,CASE008400
SRCH000566,Bank,407596516456,CASE002537
SRCH000567,Bank,707928085927,CASE006059
SRCH000568,Citizen,CID007793,CASE005498
SRCH000569,Vehicle,KA91AB3207,CASE008245
SRCH000570,Vehicle,KA59AB1992,CASE008884
SRCH000571,Case,CASE007401,CASE008281
SRCH000572,Bank,185060485822,CASE004757
SRCH000573,Case,CASE004433,CASE004405
SRCH000574,Bank,121910758572,CASE003963
SRCH000575,Phone,9656655344,CASE008071
SRCH000576,Citizen,CID006275,CASE008337
SRCH000577,Bank,482140865595,CASE009988
SRCH000578,Citizen,CID006438,CASE002632
SRCH000579,Case,CASE005770,CASE000727
SRCH000580,Bank,404286961215,CASE002892
SRCH000581,Citizen,CID000075,CASE002379
SRCH000582,Bank,616223970332,CASE003910
SRCH000583,Phone,9474567140,CASE007774
SRCH000584,Case,CASE000864,CASE001589
SRCH000585,Officer,OFF00208,CASE008619
SRCH000586,Bank,823202599806,CASE004572
SRCH000587,Vehicle,KA25AB4367,CASE003703
SRCH000588,Vehicle,KA24AB5328,CASE008393
SRCH000589,Officer,OFF00347,CASE009233
SRCH000590,Bank,819404613857,CASE006981
SRCH000591,Phone,9658029870,CASE008121
SRCH000592,Citizen,CID008222,CASE009860
SRCH000593,Case,CASE008063,CASE009697
SRCH000594,Vehicle,KA95AB5034,CASE000265
SRCH000595,Officer,OFF00088,CASE008291
SRCH000596,Case,CASE009625,CASE002490
SRCH000597,Officer,OFF00335,CASE000065
SRCH000598,Phone,9612386008,CASE002638
SRCH000599,Case,CASE007282,CASE008715
SRCH000600,Phone,9337705511,CASE001401
SRCH000601,Vehicle,KA59AB6234,CASE002931
SRCH000602,Officer,OFF00024,CASE008374
SRCH000603,Case,CASE008872,CASE000921
SRCH000604,Case,CASE000326,CASE000625
