victim_master_id,case_master_id,victim_name,age_year,gender_id,victim_police
208,173,Reyansh Nagi,73,T,False
209,175,Dev Bath,38,F,False
210,175,Ishita Thakkar,52,M,False
211,176,Chanchal Prakash,58,F,False
212,176,Lohit Dasgupta,34,M,False
213,177,Siddharth Sachar,19,F,False
214,177,Naveen Gour,15,T,False
215,178,Zashil Chaudhari,43,M,False
216,179,Vedika Seshadri,15,M,False
217,180,Dalaja Sur,12,M,False
218,182,Mekhala Patla,12,F,False
219,184,Chakradhar Baral,36,F,False
220,186,Hemani Sur,16,T,False
221,187,Janaki Dani,25,M,False
222,187,Oeshi Narayanan,22,T,False
223,188,Daksh Ganesan,35,F,False
224,189,Luke Gopal,22,M,False
225,192,Veer Subramaniam,42,T,False
226,193,Abhimanyu Virk,60,T,False
227,195,Samar Sachdev,60,F,False
228,195,Praneel Prabhakar,19,M,False
229,196,Tanish Trivedi,24,T,False
230,197,Devansh Lall,58,F,False
231,198,Robert Bandi,17,T,False
232,199,Megha Ravi,10,T,False
233,202,Aarna Bir,84,F,False
234,203,Adya Kothari,80,F,False
235,204,Ryan Keer,3,F,True
236,205,Hredhaan Dar,57,T,False
237,206,Mitali Kapadia,14,T,False
238,208,Urishilla Oza,52,T,False
239,210,Patrick Sama,66,M,False
240,211,Gaurika Lad,29,T,False
241,212,Bhavani Pant,38,M,False
242,213,Anika Saxena,47,T,False
243,215,Frado Ramakrishnan,14,F,False
244,215,Veer Kota,4,F,False
245,216,Anita Saxena,63,T,False
246,217,Hemangini Mangat,18,M,False
247,217,Abhiram Swamy,61,M,False
248,218,Rajeshri Rana,23,F,False
249,219,Bhavani Wali,49,F,False
250,220,Vyanjana Guha,43,M,False
251,221,Teerth Oommen,41,T,False
252,223,Ekantika Dutt,42,F,False
253,224,Oliver Majumdar,73,M,False
254,224,Meghana Kibe,43,M,False
255,224,Brijesh Soman,40,M,False
256,225,Jeremiah Sura,55,T,False
257,225,Edhitha Palan,10,F,False
258,228,Ekani Bhatnagar,68,T,False
259,229,Ekanta Choudhry,56,F,False
260,229,Ekalinga Bassi,24,F,False
261,230,Azad Rama,2,F,False
262,230,Aahana Bawa,45,F,False
263,231,Faras Kalita,47,T,False
264,233,Ekiya Khosla,8,F,False
265,234,Tanish Murty,73,F,False
266,234,Anya Vaidya,40,T,False
267,235,Mugdha Kalla,49,M,False
268,236,Lakshmi Brar,69,T,False
269,238,Michael Bedi,41,T,False
270,239,Fitan Soni,35,M,False
271,239,Mohini Lala,61,F,False
272,241,Jasmit Pall,38,T,False
273,242,Kashvi Dugal,60,T,False
274,243,Urishilla Bajaj,24,M,False
275,244,Aadhya Garde,78,F,False
276,244,Bhanumati Iyer,41,F,False
277,244,Chatresh Shroff,12,T,False
278,245,Yashoda Chaudhary,23,T,False
279,246,Gauri Suri,70,F,False
280,247,Ati Kar,2,T,False
281,248,Samaksh Devi,46,T,False
282,249,Nisha Mitter,72,T,False
283,250,Qarin Ram,33,M,False
284,251,Tristan Jain,63,T,False
285,251,Dominic Goel,73,F,False
286,251,Vrishti Nair,49,M,False
287,252,Brijesh Korpal,32,F,False
288,252,Balveer Ram,7,F,False
289,252,Ranveer Manne,82,F,False
290,253,Xiti Chowdhury,10,M,False
291,254,Nihal Dasgupta,67,T,False
292,255,Gautami Doctor,19,M,False
293,256,Karan Jain,77,M,False
294,258,Qasim Divan,76,T,False
295,259,Chandran Chopra,18,F,False
296,261,Prisha Nadig,37,F,False
297,262,Aarav Dani,33,M,False
298,262,Udyati Dalal,26,T,False
299,263,Ekansh Morar,61,T,False
300,263,Yashawini Naik,37,T,False
301,264,Varenya Som,60,F,False
302,264,Laban Subramaniam,52,M,False
303,264,Triveni Yadav,27,M,False
304,265,Dominic Dixit,26,M,False
305,267,Yashawini Bakshi,15,T,False
306,267,Xiti Dube,82,F,False
307,268,Aayush Mukhopadhyay,17,F,False
308,269,Bhavini Malhotra,12,M,False
309,270,Anika Dhaliwal,9,M,False
310,270,Yash Garg,45,T,False
311,271,Ishani Muni,81,M,False
312,272,Udyati Singhal,54,F,False
313,272,Udarsh Dhawan,40,T,False
314,273,Ijaya Datta,80,F,False
315,273,Nidra Chhabra,63,F,False
316,274,Warinder Ghose,72,M,False
317,275,Warda Bhat,31,M,False
318,276,Yashvi Raval,66,M,False
319,276,Chaitaly Bhatia,20,T,True
320,277,Radhika Kakar,24,F,False
321,279,Upkaar Grewal,25,M,False
322,279,Abhimanyu Tara,1,T,False
323,279,Yachana Luthra,73,F,False
324,282,Chaitaly Mann,80,T,False
325,283,Yashasvi Bose,76,T,False
326,284,Maanav Dube,36,F,False
327,287,Gunbir Wali,61,T,False
328,287,Rachana Mahajan,76,T,False
329,288,Abhiram Bir,82,F,False
330,289,Teerth Dara,55,M,False
331,289,Gabriel De,85,T,False
332,290,Ekiya Kurian,1,M,False
333,291,Ridhi Boase,61,M,False
334,292,Elijah Bobal,12,T,False
335,293,Vanya Sarin,15,T,False
336,294,Christopher Chana,18,T,False
337,294,Harini Buch,51,M,False
338,295,Reyansh Bakshi,67,T,False
339,296,Daksh Nazareth,5,F,False
340,297,Chakradev Kibe,20,M,False
341,299,Oscar Nayak,37,M,False
342,299,Jai Mahal,78,F,False
343,300,Faris Ahuja,51,M,False
344,301,Nisha Khare,2,T,False
345,302,Janaki Zacharia,1,T,False
346,303,Nathaniel Bassi,38,T,False
347,304,Patrick Dugar,3,T,False
348,304,Vedhika Varma,12,M,False
349,304,Ekavir Keer,44,M,False
350,305,Vedhika Bhagat,71,T,False
351,307,Gabriel Sabharwal,79,T,False
352,309,Niharika Kamdar,62,M,False
353,310,Nidra Goyal,55,F,False
354,311,Sarthak Buch,71,F,False
355,312,Jeevika Gill,72,T,False
356,312,Samarth Devi,13,T,False
357,313,Kashish Pai,55,M,False
358,313,Vedika Thaker,57,F,False
359,313,Upma Wali,78,M,False
360,314,Anya Choudhury,12,T,False
361,315,Sachi Bail,65,T,False
362,315,Ranbir Bhatnagar,38,F,False
363,316,Tanvi Modi,73,M,False
364,317,Bhavani Shah,34,T,False
365,318,Hemangini Divan,3,T,False
366,319,Ekaja Dugal,16,F,False
367,320,Thomas Sehgal,4,T,False
368,320,George Narain,54,M,False
369,321,Jalsa Rao,36,F,False
370,322,Indali Morar,78,M,False
371,323,Chavvi Soman,48,T,False
372,324,Oeshi Gill,75,F,False
373,324,Laksh Iyengar,73,M,False
374,325,Adweta Mital,29,F,False
375,328,Girindra Ganesh,63,T,False
376,328,Diya Mitra,61,F,False
377,330,Ayush Dani,76,T,False
378,330,Kabir Dhar,55,F,False
379,332,Yashasvi Bir,80,T,False
380,333,Jeevika Goyal,23,T,False
381,333,Hredhaan Golla,48,F,False
382,335,Priya Gulati,23,F,False
383,336,Jagdish Dhar,1,F,False
384,336,Nandini Chaudry,31,T,False
385,337,Vedhika Vaidya,6,M,False
386,337,Manan Sha,48,T,False
387,338,Lavanya Narain,20,T,True
388,339,Yamini Lal,52,T,False
389,339,Andrew Balay,59,M,False
390,340,Devika Ramachandran,85,T,False
391,340,Imaran Swaminathan,39,M,False
392,341,Ekani Bhat,43,M,False
393,342,Daksh Konda,51,M,False
394,343,Madhavi Naidu,59,F,False
395,345,Neelima Kara,13,M,False
396,345,Girish Nayar,16,M,False
397,346,Rachita Zacharia,68,T,False
398,346,Ryan Sachdeva,14,F,False
399,347,Matthew Mital,55,T,False
400,348,Naveen Kunda,26,M,False
401,350,Mekhala Dey,27,T,False
402,351,Madhavi Keer,79,T,False
403,352,Vritti Walla,70,M,False
404,352,Isaiah Nadig,4,F,False
405,352,Vaishnavi Koshy,54,F,False
406,353,Jairaj Warrior,71,T,False
407,353,Saanvi Rama,49,F,False
408,354,Yashawini Bhatti,20,T,False
409,355,Fitan Choudhry,36,M,False
410,356,Falak Manda,71,F,False
411,357,Gaurav Shere,32,F,False
412,358,Sudiksha Talwar,40,F,False
413,358,Udarsh Jani,25,T,False
414,359,Omya Gole,41,T,False
415,360,Kala Shanker,46,F,False
416,361,Irya Bath,55,F,False
417,362,Omkaar Thakur,72,T,False
418,362,Harinakshi Sidhu,22,M,False
419,363,Avni Patel,9,F,False
420,364,Ria Bera,68,T,False
421,364,Manthan Bhagat,77,M,False
422,364,Qadim Banik,41,F,False
423,365,Tanvi Tailor,23,T,False
424,366,Bhavani Dara,13,M,True
425,366,Kashvi Cherian,3,F,False
426,367,Sneha Nair,76,F,False
427,368,Pranav Khatri,31,M,False
428,370,Sanaya Rama,19,M,False
429,370,Amrita Sampath,47,F,False
430,372,Yuvraj Virk,83,M,False
431,373,Zehaan Pant,72,T,False
432,374,Omaja Mishra,81,F,False
433,374,Suhani Sengupta,18,T,False
434,375,Abdul Rana,65,F,False
435,376,Shaurya Srivastava,17,F,False
436,377,Manbir Som,79,M,False
437,378,Warhi Mannan,45,M,False
438,379,Pahal Mutti,15,M,False
439,379,Amrita Sahni,57,M,False
440,381,Oscar Iyengar,49,T,False
441,382,Advika Parikh,17,T,False
442,383,Utkarsh Dara,8,F,False
443,383,Vidhi Kuruvilla,77,M,False
444,383,Isha Batra,57,F,False
445,384,Yashica Cheema,48,F,False
446,385,Ojasvi Ahuja,33,M,False
447,385,Urvi Om,18,T,False
448,385,Yashasvi Garg,84,T,False
449,386,Odika Rout,31,M,False
450,386,Zaitra Pathak,47,T,False
451,387,Radha Bhat,2,T,False
452,388,Riya Pai,3,M,False
453,390,Darpan Pradhan,74,T,False
454,391,Inaya Mistry,29,F,False
455,392,Manan Sandal,57,F,False
456,393,Neha Venkataraman,63,F,False
457,394,Vedhika Shankar,35,M,False
458,394,Yochana Wadhwa,44,F,False
459,394,Simon Shah,3,T,False
460,396,Qadim Suresh,37,T,False
461,397,Lakshit Thaman,48,T,False
462,398,Viraj Rana,40,T,False
463,399,Jatin Chada,14,M,False
464,400,Sachi Chad,46,M,False
465,400,Neelima Bath,15,M,False
466,401,Bhavika Dhawan,59,F,False
467,402,Dalbir Misra,21,M,False
468,402,Hardik Nagarajan,79,F,False
469,402,Nitara Naik,44,M,False
470,403,Ishwar Luthra,83,F,False
471,404,Vivaan Bahl,53,F,False
472,404,Harrison Koshy,70,F,False
473,406,Yashvi Manda,15,F,False
474,407,Shivansh Thaman,3,F,False
475,407,Hema Lal,67,F,False
476,408,Oscar Sachdev,15,M,False
477,411,Onkar Hari,21,T,False
478,411,Dhruv Dave,70,F,False
479,411,Joshua Lad,13,M,False
480,412,Charles Naidu,62,F,False
481,413,Udarsh Batta,3,F,False
482,414,Upkaar Sampath,22,T,False
483,415,William Oak,74,F,False
484,416,Jeet Chada,5,M,False
485,416,Bahadurjit Purohit,59,M,False
486,418,Zansi Narasimhan,72,F,False
487,418,Hritik Chauhan,48,M,False
488,418,Ekansh Hari,5,F,False
489,420,Dakshesh Khanna,58,M,False
490,421,Nicholas Cheema,23,T,False
491,422,Samesh Ratta,18,T,False
492,422,Abeer Patil,33,F,False
493,423,Ayushman Issac,57,M,False
494,424,Indrajit Nigam,27,T,False
495,425,Pushti Konda,69,M,False
496,425,Ranbir Wason,61,F,False
497,425,Manthan Narang,41,F,False
498,426,Wishi Venkataraman,81,F,False
499,427,Naksh Prasad,42,T,False
500,427,Frado Desai,43,T,False
501,427,Chakrika Saxena,82,F,False
502,428,Nilima Pillai,69,F,False
503,429,Fitan Menon,29,T,False
504,429,Aradhana Kari,52,F,False
505,429,Jagat Bora,58,M,False
506,430,Chasmum Maharaj,36,M,False
507,431,Vedant Karan,83,T,False
508,431,Urvi Kaur,54,M,False
509,435,Libni Mander,17,M,False
510,435,Viraj Manne,6,M,False
511,436,Vanya Biswas,1,M,False
512,436,Samuel De,71,T,False
513,437,Devansh Rastogi,11,T,False
514,439,Faraj Cheema,54,M,False
515,440,Mohini Hayer,29,T,False
516,440,Baljiwan Anne,34,F,False
517,441,Fitan Kibe,41,M,False
518,442,Mahika Ganguly,17,M,False
519,442,Advay Mahajan,35,M,False
520,442,Ridhi Parmar,40,T,False
521,443,Saksham Krish,13,M,False
522,443,William Iyengar,21,F,False
523,444,Yauvani Chokshi,14,T,False
524,444,Ekantika Gupta,20,F,False
525,445,Lopa Kala,76,T,False
526,448,Warjas Sangha,16,F,False
527,449,Baljiwan Khanna,38,F,False
528,450,Lakshmi Verma,24,T,False
529,450,Qadim Sathe,39,M,False
530,451,Samarth Keer,48,M,False
531,452,Bhavika Sen,52,T,False
532,453,Yashasvi Sant,14,F,False
533,454,Parth Kurian,26,M,False
534,455,Vyanjana Ravel,43,M,False
535,456,Aadhya Pall,5,T,False
536,457,Neel Arora,8,F,False
537,457,George Rajagopalan,77,F,False
538,461,Aradhana Bhatt,12,F,False
539,461,Ayushman Keer,23,T,False
540,462,Gunbir Kakar,60,M,False
541,463,Mohini Radhakrishnan,85,M,False
542,463,Ishani Narayanan,15,M,False
543,464,Anay Parsa,35,M,False
544,465,Lekha Memon,81,F,False
545,465,Luke Venkatesh,35,M,False
546,466,Gaurav Cherian,9,F,False
547,467,Hemal Purohit,83,F,False
548,467,Rajeshri Kaul,79,M,False
549,468,Joshua Munshi,27,M,False
550,469,Triveni Mutti,21,M,False
551,471,Anthony Ramanathan,20,T,False
552,472,Riya Subramanian,49,T,False
553,472,Maanav Kadakia,83,F,False
554,473,Ishani Som,38,M,False
555,473,Charles Dalal,18,T,False
556,474,Ubika Raja,73,F,False
557,475,Veda Saraf,77,M,False
558,475,Jeremiah Chaudhary,17,F,True
559,475,Devansh Yogi,1,M,False
560,476,Pranit Ahluwalia,2,F,False
561,477,Januja Garg,16,T,False
562,478,Indira Yohannan,58,F,False
563,479,Chandani Kale,76,F,False
564,479,Tarak Parmer,46,F,False
565,481,Oni Dube,54,M,False
566,482,Advaith Chaudhari,77,F,False
567,484,Vansha Datta,31,T,False
568,484,Aditya Varghese,47,M,False
569,485,Reva Pandya,29,T,False
570,485,Yadavi Mangat,72,M,False
571,488,Saumya Ganguly,56,F,False
572,490,Meera Kalla,51,F,False
573,492,Jatin Sura,2,F,False
574,492,Nachiket Krishna,85,M,False
575,493,Reva Edwin,65,T,False
576,495,Karan Choudhary,46,F,False
577,496,Bimala Manda,75,M,False
578,497,Urvi Chauhan,56,M,False
579,498,Gavin Behl,17,T,False
580,499,Indali Sahota,54,T,False
581,500,Januja Natt,42,F,False
582,501,Leena Chahal,1,F,False
583,501,Kalpit Dara,77,M,False
584,503,Ekansh Subramanian,26,F,False
585,503,Yahvi Bains,57,M,False
586,504,Madhavi Rattan,62,M,False
587,505,Chavvi Kannan,4,F,False
588,505,Amrita Dani,39,F,False
589,506,Ekta Chacko,17,T,False
590,507,Amruta Jani,27,T,False
591,507,Nachiket Sehgal,55,T,False
592,508,Ranbir Swaminathan,46,T,False
593,510,Agastya Andra,7,F,False
594,510,Hamsini Chada,84,M,False
595,512,Harshil Vaidya,33,T,False
596,512,Lucky Agarwal,29,T,False
597,513,Vyanjana Gara,74,T,False
598,514,Matthew Gokhale,51,F,False
599,514,Gaurika Golla,30,F,False
600,515,Ekaja Divan,4,F,False
601,516,Joshua Gopal,71,T,False
602,516,Ira Nagar,18,F,False
603,517,Oviya Vyas,71,M,False
604,519,Oviya Kibe,78,M,False
605,519,Udarsh Bhalla,19,M,False
606,520,Yash Bose,10,T,False
607,520,Omaja Doctor,56,F,False
608,520,Upma Dey,48,F,False
609,521,Suhani Kuruvilla,9,T,False
610,524,Hemang Brahmbhatt,41,M,False
611,524,Gautami Bala,57,M,False
612,526,Divya Raman,7,T,False
613,527,Farhan Chander,23,M,False
614,527,Tanveer Dhaliwal,1,M,False
615,528,Lila Khare,69,M,False
616,529,Suhani Murthy,17,F,False
617,530,Bhavini Rattan,28,M,False
618,530,Kai Sastry,11,F,False
619,531,Yash Anand,80,M,False
620,532,Upadhriti Warrior,10,M,False
621,532,Ikbal Chada,56,F,False
622,534,Urvashi Kala,54,T,False
623,535,Siya Saini,83,T,False
624,536,Naveen Sarkar,64,T,False
625,537,Akshay Dora,38,F,False
626,537,Manbir Tata,45,T,False
627,538,Shaurya Halder,41,F,False
628,539,Nirja Pandey,42,M,False
629,539,Pooja Virk,69,M,False
630,542,Indali Shetty,53,F,False
631,542,Meghana Amble,79,T,False
632,543,Bachittar Aurora,82,T,False
633,544,Rajeshri Kashyap,85,F,False
634,545,Atharv Sarkar,84,M,False
635,545,Michael Bala,26,M,False
636,546,Tristan Mishra,55,M,False
637,547,Tripti Das,80,T,False
638,548,Harrison Swaminathan,23,T,False
639,548,Odika Borah,55,F,False
640,549,Pranav Balay,48,T,False
641,549,Hemal Palan,41,M,False
642,550,Jonathan Loyal,51,T,False
643,551,Reyansh Krishna,42,F,False
644,551,Rudra Mand,12,T,False
645,551,Harshil Muni,40,F,False
646,552,Mitali Balan,78,F,False
647,552,Pranit Naidu,84,F,False
648,553,Falguni Kala,43,T,False
649,554,Oviya Saran,74,M,False
650,555,Ansh Mane,32,F,False
651,556,Geetika Babu,31,T,False
652,556,Upma Chandran,10,F,False
653,557,Advaith Dewan,9,M,False
654,558,Caleb Choudhry,21,T,False
655,559,Jagdish Date,7,M,False
656,561,Tarak Sidhu,24,M,False
657,562,Yamini Cherian,50,M,False
658,563,Arunima Sampath,51,F,False
659,564,Amara Balakrishnan,30,M,False
660,566,Chandran Raja,41,F,False
661,568,Amaira Khare,31,T,False
662,569,Idika Mani,72,F,False
663,570,Divya Boase,12,F,False
664,571,Gaurika Bail,56,F,False
665,572,Vrinda Kota,36,M,False
666,573,Vritti Panchal,69,F,False
667,574,Isaiah Madan,79,F,False
668,575,Samuel Chakraborty,42,T,False
669,576,Zinal Oza,58,M,False
670,576,Rachita Sha,62,F,False
671,578,Zayan Devi,49,T,False
672,579,Advika Mittal,50,M,False
673,579,Oscar Sarin,57,T,False
674,580,Dalaja Chada,34,M,False
675,581,Oviya Chakrabarti,47,F,False
676,582,Chatura Chad,80,M,False
677,583,Samarth Varty,17,M,False
678,583,Warhi Deshpande,78,F,False
679,584,Ekalinga Acharya,26,F,False
680,585,Jatin Sankaran,17,T,False
681,586,Pavani Divan,39,M,False
682,587,Tara Malhotra,82,F,False
683,588,Logan Mallick,38,F,False
684,590,Devansh Bhatia,16,T,False
685,591,Raksha Mangal,85,T,False
686,592,Abdul Parsa,82,M,False
687,593,Lakshit Bhavsar,56,F,False
688,593,Prisha Puri,79,F,False
689,594,Zayan Ramakrishnan,39,T,True
690,595,Bachittar Nigam,71,M,False
691,595,Advika Iyer,21,F,False
692,596,Ekavir Saha,57,F,False
693,597,Vedant Bail,85,F,False
694,597,Atharv Hayre,62,M,False
695,598,Vincent Chanda,32,F,False
696,599,Pranit Mandal,13,F,False
697,600,Zashil Jha,10,F,False
698,601,Hiral Roy,34,T,False
699,601,Ati Brar,9,M,False
700,602,Anamika Mall,3,T,False
701,603,Lavanya Rajagopalan,66,F,False
702,604,Atharv Nayar,52,F,False
703,606,Anusha Chada,62,F,False
704,606,Chakrika Nazareth,33,F,False
705,607,Anay Sarraf,81,T,False
706,607,Unnati Bansal,27,M,False
707,609,Yashawini Sarraf,35,T,False
708,611,Barkha Dhar,18,T,False
709,612,Chaitanya Mannan,55,T,False
710,613,Urmi Vohra,6,M,False
711,614,Divya D’Alia,74,F,False
712,615,Saumya Sahota,35,T,False
713,616,Jacob Bumb,76,M,False
714,617,Elijah Deo,26,T,False
715,618,Rajata Mann,77,M,False
716,619,Gunbir Kata,54,T,False
717,620,Eiravati Gokhale,32,M,False
718,621,Jagat Mani,30,F,False
719,621,Vidhi Sarna,81,T,False
720,621,Omkaar Mani,24,M,False
721,623,Jagdish Saxena,16,F,False
722,624,Eta Dugar,28,T,False
723,625,Harish Verma,61,T,False
724,625,Ranveer Banik,46,M,False
725,625,Yatan Devan,46,F,False
726,626,Rushil Chakrabarti,29,T,False
727,627,Pranit Mital,12,T,False
728,628,Eshana Kota,38,T,False
729,628,Jack Goda,65,T,False
