accused_master_id,case_master_id,accused_name,age_year,gender_id,person_id
279,183,Dev Lalla,36,M,A1
280,184,Harshil Verma,54,M,A1
281,186,Abeer Thaker,58,M,A1
282,186,Ria Gandhi,33,M,A2
283,187,Vasatika Srinivas,57,M,A1
284,187,Shivansh Edwin,45,F,A2
285,187,Anthony Kohli,63,M,A3
286,188,Pranit Varughese,38,M,A1
287,188,Anirudh Mander,61,M,A2
288,190,Lekha Deo,60,F,A1
289,190,Amol Jain,39,M,A2
290,191,Girik Subramaniam,43,M,A1
291,192,Inaya Chaudhari,32,M,A1
292,192,Krish Kumar,51,M,A2
293,194,Hredhaan Dubey,23,M,A1
294,195,Zehaan Mohanty,40,M,A1
295,196,Hamsini Ben,58,M,A1
296,197,Kamala Buch,51,M,A1
297,197,Leena Rattan,32,M,A2
298,198,Omkaar Banik,30,M,A1
299,199,Zarna Aurora,64,M,A1
300,199,Gautam Mane,38,F,A2
301,200,Advika Gill,51,M,A1
302,200,Yashawini Chhabra,44,M,A2
303,201,Saanvi Purohit,58,M,A1
304,203,Girik Rastogi,63,M,A1
305,203,Faqid Gokhale,67,M,A2
306,205,Waida Ahuja,30,M,A1
307,205,Vasatika Prabhu,61,T,A2
308,206,Chatura Vora,61,M,A1
309,207,Diya Anand,20,F,A1
310,207,Shivansh Raghavan,57,M,A2
311,208,Qarin Tara,23,M,A1
312,208,Shivansh Saini,68,F,A2
313,209,Harish Madan,49,M,A1
314,210,Krish Varughese,50,M,A1
315,210,Vidhi Mital,28,M,A2
316,210,Champak Rao,69,M,A3
317,211,Jagvi Kurian,47,M,A1
318,212,Yashvi Sura,64,M,A1
319,212,Farhan Raj,42,F,A2
320,212,Ubika Dhillon,36,M,A3
321,212,Geetika Sama,43,M,A4
322,213,Shravya Sachdev,50,M,A1
323,214,Ojas Ranganathan,64,M,A1
324,214,Girish Bhatt,17,M,A2
325,215,Saanvi Date,46,M,A1
326,216,Peter Shan,31,M,A1
327,216,Dayita Palan,61,M,A2
328,216,Utkarsh Chakraborty,51,F,A3
329,216,Darika Pau,62,M,A4
330,217,Chandani Andra,46,M,A1
331,218,Nihal Ramakrishnan,49,M,A1
332,219,Nitara Guha,69,M,A1
333,220,Anirudh Doshi,48,F,A1
334,220,Anthony Grewal,54,M,A2
335,220,Baghyawati Luthra,57,M,A3
336,221,Devika Tara,62,F,A1
337,221,Ubika Balay,49,M,A2
338,221,Faris Dhingra,58,M,A3
339,221,Amaira Ramanathan,69,M,A4
340,222,Yuvraj Rajan,27,M,A1
341,222,Yug Bandi,52,M,A2
342,223,Jason Kulkarni,18,M,A1
343,223,Chanchal Issac,22,M,A2
344,224,Kamya Chakraborty,26,M,A1
345,225,Reyansh Bail,53,M,A1
346,225,Ishita Desai,54,M,A2
347,226,Ijaya Naik,59,M,A1
348,227,Adya Peri,39,M,A1
349,230,Timothy Bobal,47,M,A1
350,230,Sathvik Swamy,60,M,A2
351,230,Upadhriti Bhat,40,M,A3
352,231,Harrison Kashyap,56,M,A1
353,231,Ranveer Hans,36,M,A2
354,231,Praneel Sagar,50,M,A3
355,233,Keya Kumar,62,M,A1
356,233,Sneha Sem,39,M,A2
357,233,Aadi Banerjee,48,M,A3
358,234,Girindra Barad,46,M,A1
359,234,Ishani Dugal,59,M,A2
360,237,Lavanya Bhagat,44,M,A1
361,238,Sanaya Thaman,20,M,A1
362,239,Mohini Thaker,62,M,A1
363,240,Yatin Kibe,36,M,A1
364,241,Ekani Padmanabhan,20,F,A1
365,241,Dalaja Gara,60,M,A2
366,242,Isaiah Bhagat,20,M,A1
367,243,Shaurya Yogi,70,M,A1
368,243,Samar Virk,24,M,A2
369,244,Ekalinga Rama,23,F,A1
370,245,Vedhika Wali,67,M,A1
371,245,Quincy Issac,39,F,A2
372,246,Naksh Badami,22,M,A1
373,246,Indira Pant,63,M,A2
374,247,Harita Ramaswamy,28,M,A1
375,247,Gagan Raja,68,F,A2
376,247,Omisha Khosla,41,M,A3
377,248,Krishna Sani,49,M,A1
378,249,Anusha Doshi,55,M,A1
379,249,Hredhaan Deep,20,M,A2
380,249,Atharv Loke,42,M,A3
381,249,Vincent Kashyap,46,M,A4
382,250,Urvi Devan,26,F,A1
383,251,Yatin Sane,66,M,A1
384,251,Benjamin Rai,22,M,A2
385,252,Mitali Modi,51,M,A1
386,253,Krishna Ramaswamy,58,M,A1
387,253,Ekiya Seshadri,32,M,A2
388,254,Ishaan Sengupta,40,M,A1
389,254,Frederick Viswanathan,61,M,A2
390,257,Wazir Kalla,51,M,A1
391,257,Sudiksha Rout,39,M,A2
392,259,Pranav Edwin,56,M,A1
393,260,Jyoti Raghavan,30,M,A1
394,260,Prisha Bhattacharyya,20,M,A2
395,260,Urishilla Desai,47,M,A3
396,260,Anvi Narayan,56,M,A4
397,261,Irya Dayal,64,M,A1
398,262,Oeshi Sachdev,34,M,A1
399,263,Ishaan Nath,63,M,A1
400,264,Turvi Sachdev,28,F,A1
401,265,Azaan Nori,63,M,A1
402,266,Gabriel Taneja,42,M,A1
403,266,Kamya Seth,51,M,A2
404,266,Tarak Vohra,60,F,A3
405,267,Harini Sule,66,M,A1
406,267,Falak Dhar,54,F,A2
407,268,Gagan Nath,47,M,A1
408,268,Chakradhar Chauhan,21,F,A2
409,269,Ridhi Dalal,29,M,A1
410,269,Manthan Dugar,21,M,A2
411,270,Deepa Nigam,43,M,A1
412,270,Chandresh De,64,F,A2
413,272,Januja Ramanathan,59,M,A1
414,272,Ganga Nair,55,M,A2
415,273,Ekavir Mittal,62,M,A1
416,273,Nandini Sachdev,44,M,A2
417,273,Yagnesh Dutt,28,M,A3
418,274,Vidhi Contractor,22,F,A1
419,274,Eshana Chatterjee,45,M,A2
420,275,Teerth Dewan,37,M,A1
421,275,Manan Dixit,37,M,A2
422,275,Bishakha Ramakrishnan,47,M,A3
423,275,Rohan Jha,19,M,A4
424,276,Chatresh Acharya,55,M,A1
425,276,Imaran Manda,51,M,A2
426,277,Vaishnavi Dewan,40,M,A1
427,277,Leena Parsa,45,F,A2
428,277,Mitesh Mani,54,M,A3
429,277,Krish Apte,47,M,A4
430,279,Jeevika Bandi,66,M,A1
431,279,Vasudha Pillay,70,M,A2
432,280,Gaurang Korpal,23,T,A1
433,282,Balendra Modi,53,M,A1
434,282,Darsh Solanki,47,F,A2
435,283,Zayyan Deo,44,M,A1
436,283,Anvi Kurian,27,M,A2
437,283,Isaac Ghosh,60,M,A3
438,283,Sanya Pingle,67,F,A4
439,284,Nitara Rajagopal,20,M,A1
440,285,Charles Ganesh,23,M,A1
441,285,Mohini Soni,33,M,A2
442,286,Maanav Wali,41,M,A1
443,287,Anamika Loke,54,M,A1
444,287,Aadhya Raman,52,M,A2
445,288,Nisha Chaudhari,47,M,A1
446,288,Sanaya Panchal,41,M,A2
447,289,Qasim Choudhry,55,M,A1
448,290,Ethan Malhotra,54,M,A1
449,291,Sai Ramaswamy,57,M,A1
450,291,Vyanjana Chopra,44,M,A2
451,292,Sanaya Bahl,66,F,A1
452,292,Manthan Acharya,63,M,A2
453,293,Ekaraj Zachariah,64,M,A1
454,293,Aarush Rajagopalan,40,M,A2
455,294,Bimala Jain,44,M,A1
456,294,Balveer Rajagopalan,41,M,A2
457,294,Chandani Ramakrishnan,45,M,A3
458,295,Vrinda Ramachandran,47,M,A1
459,296,Nidra Dani,30,M,A1
460,296,Tara Yadav,26,F,A2
461,297,Akshay Gera,42,M,A1
462,298,Widisha Kannan,25,M,A1
463,298,Samaksh Sandhu,47,F,A2
464,299,Ojasvi Ganguly,48,M,A1
465,299,Nitesh Sarna,54,M,A2
466,301,Baljiwan Gole,55,M,A1
467,302,Ucchal Joshi,68,M,A1
468,303,Januja Mane,43,M,A1
469,304,Eshana Saini,28,M,A1
470,304,Eshana Karpe,64,M,A2
471,305,Maanav Kalita,55,M,A1
472,306,Anamika Jain,65,M,A1
473,306,Joshua Balay,23,M,A2
474,306,Avni Deshpande,29,M,A3
475,306,Udyati Shanker,21,M,A4
476,307,Tarak Solanki,34,M,A1
477,307,Arya Atwal,41,F,A2
478,307,Yatin Kota,42,F,A3
479,308,Banjeet Singhal,66,M,A1
480,308,Pavani Wali,39,M,A2
481,309,Jagrati Merchant,65,M,A1
482,310,Ucchal Agarwal,28,M,A1
483,311,Christopher Varma,29,M,A1
484,312,William Zacharia,28,M,A1
485,312,Vanya Kadakia,26,M,A2
486,313,Siya Pillai,69,M,A1
487,313,Raghav Shankar,41,M,A2
488,314,Watika Dora,43,M,A1
489,315,Vincent Venkatesh,25,M,A1
490,316,Damini Garg,33,M,A1
491,317,Naveen Wason,47,F,A1
492,317,Qabil Gill,31,M,A2
493,317,Neel Khanna,40,M,A3
494,317,Benjamin Nadig,28,M,A4
495,318,Saumya Zacharia,42,M,A1
496,319,Yashica Narula,67,M,A1
497,319,Urvi Mann,22,M,A2
498,319,Riya Nigam,45,M,A3
499,320,Robert Vyas,49,F,A1
500,320,Arunima Hayre,31,M,A2
501,320,Fiyaz Yohannan,37,M,A3
502,322,Gagan Kale,40,M,A1
503,322,Ojasvi Savant,45,M,A2
504,324,Lakshmi Mann,34,M,A1
505,324,Brijesh Mittal,48,F,A2
506,325,Jeet Mani,39,M,A1
507,325,Praneel Swamy,49,M,A2
508,326,Rajata Kuruvilla,43,M,A1
509,327,Madhav Nagarajan,40,M,A1
510,327,Krishna Parikh,20,M,A2
511,327,Chatresh Mahajan,28,M,A3
512,327,Oni Parekh,37,M,A4
513,328,Janani Char,52,M,A1
514,328,Maanas Arya,54,M,A2
515,328,Zarna Manda,65,M,A3
516,328,Vedhika Sabharwal,41,F,A4
517,329,Ishaan Sahni,43,M,A1
518,329,Faraj Dada,19,M,A2
519,329,Anay Srinivasan,29,M,A3
520,330,Damyanti Dass,45,M,A1
521,330,Kalpit Brar,19,M,A2
522,330,Isaac Brahmbhatt,47,M,A3
523,330,Veda Sankar,41,M,A4
524,331,Advaith Char,70,M,A1
525,331,Samesh Iyengar,18,F,A2
526,331,Indali Balakrishnan,60,M,A3
527,332,Akshay Wadhwa,61,M,A1
528,333,Ladli Samra,41,M,A1
529,333,Yoshita Kari,41,M,A2
530,333,Isaiah Murthy,38,M,A3
531,333,Unnati Choudhary,55,M,A4
532,334,Wakeeta D’Alia,47,M,A1
533,335,Vamakshi Pillai,42,M,A1
534,336,Dhruv Patla,38,M,A1
535,336,Hamsini Iyer,24,F,A2
536,336,Jason Kaul,51,M,A3
537,337,Jason Krishna,30,M,A1
538,337,Widisha Kashyap,31,M,A2
539,338,Chavvi Char,48,F,A1
540,339,Jagat Rajagopal,46,M,A1
541,339,Divya Puri,32,M,A2
542,339,Tripti Banik,39,M,A3
543,340,Vamakshi Dugar,26,M,A1
544,341,Chakradev Dave,64,M,A1
545,341,Ikshita Bala,47,M,A2
546,342,Wahab Muni,66,T,A1
547,342,Dominic Mody,65,M,A2
548,342,Geetika Gara,17,M,A3
549,342,Eshana Barad,35,M,A4
550,343,Vrinda Chaudhry,19,M,A1
551,343,Gayathri Taneja,65,M,A2
552,345,Ekalinga Wali,38,M,A1
553,346,Zayan Varma,26,M,A1
554,346,Pranit Bahl,59,M,A2
555,346,Xalak Kala,16,M,A3
556,346,Amrita Walia,61,F,A4
557,348,Nidra Khare,38,M,A1
558,349,Rajata Sami,56,M,A1
559,349,Saksham Dutta,64,M,A2
560,349,Laban Balakrishnan,23,M,A3
561,349,Arunima Goda,53,M,A4
562,350,Isaac Tella,53,M,A1
563,351,Tejas Dhawan,65,M,A1
564,352,Maanav Patil,69,M,A1
565,352,Jhalak Morar,69,M,A2
566,353,Maya Kumer,53,M,A1
567,353,Gautam Keer,67,M,A2
568,353,Shivansh Dyal,57,M,A3
569,353,Edhitha Ray,34,M,A4
570,354,Osha Narain,43,M,A1
571,354,Ayaan Ben,69,M,A2
572,355,Zaid Varty,70,M,A1
573,356,Frado Sachdeva,52,M,A1
574,357,Adweta Ganguly,22,M,A1
575,357,Nandini Sanghvi,32,M,A2
576,360,Advaith Singh,67,M,A1
577,360,Ekiya Rao,24,T,A2
578,360,Leela Sampath,42,M,A3
579,361,Zehaan Thaman,57,M,A1
580,362,Gaurav Nadig,16,M,A1
581,363,Barkha Lall,32,M,A1
582,364,Abha Gade,46,M,A1
583,365,Manbir Dasgupta,61,M,A1
584,365,Girik Jani,29,M,A2
585,365,Pranit Ganguly,23,M,A3
586,365,Simon Agrawal,23,M,A4
587,366,Mitesh Balakrishnan,27,M,A1
588,367,Siddharth Bava,49,M,A1
589,369,Mitesh Dara,69,M,A1
590,369,Vritti Sankaran,25,M,A2
591,370,Pahal Pillay,17,F,A1
592,370,Radha Sandhu,19,M,A2
593,371,Fiyaz Mannan,16,M,A1
594,372,Chakrika Batta,42,M,A1
595,373,Finn Thakur,27,M,A1
596,374,Harita Grover,44,M,A1
597,375,Agastya Garg,17,M,A1
598,375,Triveni Ravel,67,M,A2
599,375,Chavvi Patel,44,M,A3
600,375,Chasmum Chahal,19,M,A4
601,377,Anthony Dada,37,F,A1
602,377,Michael Saxena,55,F,A2
603,377,Urishilla Bahri,50,M,A3
604,377,Xavier Jaggi,64,M,A4
605,378,Vinaya Ratta,40,M,A1
606,379,Jackson Talwar,16,M,A1
607,379,Saumya Sarin,59,M,A2
608,380,Yashica Kanda,69,M,A1
609,380,Upadhriti Deep,61,M,A2
610,380,Madhavi Saha,16,M,A3
611,381,Vyanjana Chaudhuri,53,M,A1
612,383,Matthew Varma,53,M,A1
613,384,Jacob Jha,45,F,A1
614,384,Naksh Master,18,M,A2
615,384,Yashawini Tara,60,M,A3
616,385,Amaira Pradhan,25,M,A1
617,386,Saanvi Dhingra,39,F,A1
618,387,Balhaar Dora,55,F,A1
619,387,Zinal Merchant,35,M,A2
620,387,Neelima Modi,68,M,A3
621,388,Rudra Mitra,23,M,A1
622,388,Balhaar Yogi,49,M,A2
623,389,Harini Dutta,59,M,A1
624,390,Yashica Pandya,29,M,A1
625,390,Champak Dash,49,M,A2
626,391,Logan Purohit,43,M,A1
627,392,Finn Chanda,29,F,A1
628,393,Aishani Tara,47,M,A1
629,395,Kala Mann,46,M,A1
630,395,Michael Dalal,26,M,A2
631,395,Dalaja Prasad,46,M,A3
632,395,Chaitaly Sunder,67,M,A4
633,396,Jason Palla,34,M,A1
634,396,Chaitanya Sahni,61,M,A2
635,399,Chatresh Vig,44,M,A1
636,399,Vamakshi Thakkar,60,M,A2
637,400,Arin Oak,70,M,A1
638,401,Aadhya Chakraborty,57,M,A1
639,402,Keya Dara,64,F,A1
640,404,Daksha Ray,69,F,A1
641,404,Fiyaz Tella,57,M,A2
642,404,Lucky Prakash,47,M,A3
643,404,Yatan Yogi,32,M,A4
644,406,Neel Walla,47,F,A1
645,407,Anjali Korpal,37,M,A1
646,407,Harita Kade,45,M,A2
647,408,Maya Yohannan,65,M,A1
648,408,Faras Yohannan,18,M,A2
649,408,Sai Dasgupta,36,M,A3
650,409,Turvi Prabhakar,66,M,A1
651,409,Sai Andra,63,M,A2
652,409,Anmol Mand,58,F,A3
653,410,Balhaar Mand,35,M,A1
654,413,Osha Walia,40,M,A1
655,414,Zaid Hegde,22,M,A1
656,414,Forum Mukhopadhyay,44,M,A2
657,416,Dhruv Datta,54,F,A1
658,417,Charles Menon,65,M,A1
659,417,Neelima Char,57,M,A2
660,417,Viraj Anne,38,M,A3
661,418,Yashodhara Kunda,23,M,A1
662,418,Oviya Srivastava,38,M,A2
663,419,Rajata Varghese,54,M,A1
664,419,Deepa Dhingra,63,M,A2
665,420,Pahal Padmanabhan,49,F,A1
666,420,Sai Jaggi,19,M,A2
667,420,Harita Gulati,54,M,A3
668,421,Brijesh Tandon,46,M,A1
669,421,Aarush Kapoor,28,M,A2
670,422,Ethan Parmar,37,M,A1
671,423,Bhanumati Ghosh,68,M,A1
672,423,Adweta Ghosh,47,M,A2
673,423,Yatan Gokhale,61,M,A3
674,424,Dalaja Shan,70,M,A1
675,424,Kala Pradhan,65,M,A2
676,425,Chatresh Mammen,18,M,A1
677,425,Yashoda Suresh,60,M,A2
678,426,Praneel Nagy,64,M,A1
679,426,Vasudha Talwar,43,M,A2
680,426,Amrita Rattan,56,F,A3
681,426,Sarthak Kanda,44,M,A4
682,427,Victor Barman,39,F,A1
683,428,Edhitha Mahajan,64,M,A1
684,430,Lakshit Lal,47,M,A1
685,430,Chandani Manda,69,M,A2
686,431,Triya Oak,19,M,A1
687,431,Dhriti Guha,35,M,A2
688,431,Omisha Kadakia,43,M,A3
689,432,Aditya Tata,40,M,A1
690,433,Eshana Bajaj,68,M,A1
691,433,Liam Dube,35,M,A2
692,433,Mahika Raj,66,F,A3
