phone_id,citizen_id,phone_number,provider
PH000091,CID000075,9884975150,Airtel
PH000092,CID000076,9491720697,BSNL
PH000093,CID000077,9664304147,Jio
PH000094,CID000078,9069611296,Vi
PH000095,CID000079,9789982193,Jio
PH000096,CID000080,9824297142,Airtel
PH000097,CID000081,9955221196,Airtel
PH000098,CID000081,9733304359,Airtel
PH000099,CID000082,9159977567,Airtel
PH000100,CID000083,9378176201,Airtel
PH000101,CID000084,9986162127,Airtel
PH000102,CID000085,9615285485,Vi
PH000103,CID000085,9103344194,Airtel
PH000104,CID000086,9181078920,Airtel
PH000105,CID000087,9953563085,Airtel
PH000106,CID000088,9261883076,BSNL
PH000107,CID000089,9690417643,Jio
PH000108,CID000090,9152380746,Airtel
PH000109,CID000091,9181211227,Airtel
PH000110,CID000092,9403533029,Vi
PH000111,CID000093,9541696494,Vi
PH000112,CID000093,9406434994,Jio
PH000113,CID000094,9851181281,Vi
PH000114,CID000095,9209705786,Jio
PH000115,CID000096,9527838340,Vi
PH000116,CID000097,9098882234,Airtel
PH000117,CID000098,9483537562,Vi
PH000118,CID000099,9849430712,Airtel
PH000119,CID000100,9606427564,Vi
PH000120,CID000101,9089726678,Jio
PH000121,CID000102,9047025566,Jio
PH000122,CID000103,9707183861,BSNL
PH000123,CID000104,9598391757,BSNL
PH000124,CID000105,9365176877,BSNL
PH000125,CID000106,9508824263,Jio
PH000126,CID000107,9990517007,Airtel
PH000127,CID000108,9376178474,Jio
PH000128,CID000109,9159013825,Vi
PH000129,CID000110,9133019911,Jio
PH000130,CID000111,9902504128,BSNL
PH000131,CID000111,9624344896,Vi
PH000132,CID000112,9724618082,Jio
PH000133,CID000113,9541049638,Vi
PH000134,CID000113,9541341992,Jio
PH000135,CID000114,9883638954,BSNL
PH000136,CID000115,9017682425,BSNL
PH000137,CID000115,9384267968,Vi
PH000138,CID000116,9725022548,Airtel
PH000139,CID000117,9132547409,Vi
PH000140,CID000118,9755081818,Jio
PH000141,CID000119,9916228634,Vi
PH000142,CID000120,9460502749,Jio
PH000143,CID000121,9628464186,Vi
PH000144,CID000122,9799125020,BSNL
PH000145,CID000123,9445060994,BSNL
PH000146,CID000124,9870437463,Jio
PH000147,CID000125,9965688989,Airtel
PH000148,CID000126,9867495122,Airtel
PH000149,CID000127,9123842017,Airtel
PH000150,CID000128,9978648941,BSNL
PH000151,CID000129,9154972816,Airtel
PH000152,CID000130,9428786593,Airtel
PH000153,CID000131,9673538180,BSNL
PH000154,CID000132,9485298040,Vi
PH000155,CID000133,9064907236,Jio
PH000156,CID000134,9333927896,Airtel
PH000157,CID000135,9557660102,Vi
PH000158,CID000136,9988275543,Vi
PH000159,CID000136,9115596217,Jio
PH000160,CID000137,9659968746,BSNL
PH000161,CID000138,9088364486,BSNL
PH000162,CID000138,9864355616,Vi
PH000163,CID000139,9170908058,BSNL
PH000164,CID000140,9876365832,Vi
PH000165,CID000141,9605457857,Jio
PH000166,CID000142,9971297363,Vi
PH000167,CID000143,9915263418,Vi
PH000168,CID000144,9238346131,Vi
PH000169,CID000144,9725568453,Jio
PH000170,CID000145,9197616599,Airtel
PH000171,CID000146,9436150598,Jio
PH000172,CID000147,9173806362,Airtel
PH000173,CID000148,9656963951,Jio
PH000174,CID000148,9592836052,Jio
PH000175,CID000149,9213930327,BSNL
PH000176,CID000150,9856013966,Jio
PH000177,CID000151,9480192480,Jio
PH000178,CID000151,9471411251,Airtel
PH000179,CID000152,9244390535,Vi
PH000180,CID000152,9785356327,Jio
PH000181,CID000153,9829439687,Vi
PH000182,CID000154,9416382760,Vi
PH000183,CID000155,9795307632,Airtel
PH000184,CID000156,9541402759,BSNL
PH000185,CID000157,9750628700,Airtel
PH000186,CID000158,9486120502,BSNL
PH000187,CID000159,9970575640,Vi
PH000188,CID000160,9174714023,BSNL
PH000189,CID000161,9809972627,Jio
PH000190,CID000161,9192394530,Airtel
PH000191,CID000162,9811587190,Jio
PH000192,CID000163,9821041043,Airtel
PH000193,CID000164,9114599554,Jio
PH000194,CID000165,9857548117,Vi
PH000195,CID000165,9139909102,Jio
PH000196,CID000166,9791212918,Vi
PH000197,CID000167,9184891736,Airtel
PH000198,CID000168,9623720256,Jio
PH000199,CID000169,9826043390,Vi
PH000200,CID000170,9668741961,Vi
PH000201,CID000170,9241723308,Airtel
PH000202,CID000171,9001121061,Vi
PH000203,CID000171,9215517873,Vi
PH000204,CID000172,9512407110,BSNL
PH000205,CID000172,9096475040,Jio
PH000206,CID000173,9676910150,Vi
PH000207,CID000174,9991672366,Airtel
PH000208,CID000175,9031017146,Jio
PH000209,CID000176,9545376549,Airtel
PH000210,CID000176,9612556182,Jio
PH000211,CID000177,9721118660,Vi
PH000212,CID000177,9747618824,Jio
PH000213,CID000178,9739177927,BSNL
PH000214,CID000178,9173506711,Jio
PH000215,CID000179,9759849295,Airtel
PH000216,CID000180,9897264940,BSNL
PH000217,CID000180,9407546787,Airtel
PH000218,CID000181,9548621226,Jio
PH000219,CID000182,9163731744,Vi
PH000220,CID000183,9134352471,Jio
PH000221,CID000183,9610870801,Jio
PH000222,CID000184,9719329969,BSNL
PH000223,CID000185,9672639973,Vi
PH000224,CID000186,9513184051,Jio
PH000225,CID000186,9586868171,Airtel
PH000226,CID000187,9724656762,BSNL
PH000227,CID000188,9560489234,Vi
PH000228,CID000189,9465421517,BSNL
PH000229,CID000189,9291641811,Vi
PH000230,CID000190,9591449322,Airtel
PH000231,CID000191,9697173293,Jio
PH000232,CID000192,9291864958,Vi
PH000233,CID000193,9497029486,Vi
PH000234,CID000194,9580837434,Jio
PH000235,CID000194,9618397013,Vi
PH000236,CID000195,9187009247,Jio
PH000237,CID000196,9290691031,Jio
PH000238,CID000197,9999411458,Airtel
PH000239,CID000198,9098119614,Airtel
PH000240,CID000198,9169642328,BSNL
PH000241,CID000199,9502383712,Jio
PH000242,CID000199,9149381151,Vi
PH000243,CID000200,9655966302,Vi
PH000244,CID000201,9191782218,Jio
PH000245,CID000202,9411807142,Vi
PH000246,CID000203,9551290919,Vi
PH000247,CID000204,9464049324,Jio
PH000248,CID000205,9871424956,BSNL
PH000249,CID000206,9603313349,Airtel
PH000250,CID000207,9049535428,Airtel
PH000251,CID000208,9726152995,Jio
PH000252,CID000209,9696315521,BSNL
PH000253,CID000210,9585411391,Jio
PH000254,CID000210,9366523979,Vi
PH000255,CID000211,9088671149,Airtel
PH000256,CID000212,9225727902,Airtel
PH000257,CID000213,9781124235,Airtel
PH000258,CID000214,9328986560,Jio
PH000259,CID000215,9951999731,Vi
PH000260,CID000216,9543988504,BSNL
PH000261,CID000216,9427299168,Vi
PH000262,CID000217,9345690496,Vi
PH000263,CID000218,9733671485,Airtel
PH000264,CID000219,9580342496,BSNL
PH000265,CID000220,9372625527,Airtel
PH000266,CID000220,9692769058,Jio
PH000267,CID000221,9860312714,Airtel
PH000268,CID000222,9042348723,Vi
PH000269,CID000223,9577698532,Vi
PH000270,CID000224,9370261762,Vi
PH000271,CID000225,9194654928,BSNL
PH000272,CID000225,9791943095,Jio
PH000273,CID000226,9896217415,BSNL
PH000274,CID000227,9742165135,Vi
PH000275,CID000228,9781079561,Vi
PH000276,CID000229,9980437914,Airtel
PH000277,CID000230,9763354649,Jio
PH000278,CID000231,9369175741,BSNL
PH000279,CID000232,9448583124,Jio
PH000280,CID000233,9593561185,Jio
PH000281,CID000234,9081453893,BSNL
PH000282,CID000234,9449010456,Vi
PH000283,CID000235,9492673483,Airtel
PH000284,CID000236,9238007255,Jio
PH000285,CID000237,9296005349,Airtel
PH000286,CID000238,9908702773,Airtel
PH000287,CID000239,9827309612,Jio
PH000288,CID000240,9792637754,Vi
PH000289,CID000241,9839486565,Airtel
PH000290,CID000242,9725481848,Airtel
PH000291,CID000243,9496798859,Jio
PH000292,CID000243,9640820300,BSNL
PH000293,CID000244,9572079194,Airtel
PH000294,CID000244,9000145368,Jio
PH000295,CID000245,9096468071,Airtel
PH000296,CID000246,9971852557,BSNL
PH000297,CID000247,9571650464,BSNL
PH000298,CID000247,9880665059,Jio
PH000299,CID000248,9579496738,Jio
PH000300,CID000249,9099413442,BSNL
PH000301,CID000250,9818379709,BSNL
PH000302,CID000251,9633752938,Jio
PH000303,CID000252,9803094369,BSNL
PH000304,CID000253,9252758501,Airtel
PH000305,CID000253,9564271829,BSNL
PH000306,CID000254,9816650953,BSNL
PH000307,CID000255,9268532920,Jio
PH000308,CID000255,9024042742,BSNL
PH000309,CID000256,9587329905,Jio
PH000310,CID000256,9341268474,Airtel
PH000311,CID000257,9264097086,Jio
PH000312,CID000258,9557281024,Airtel
PH000313,CID000259,9686312657,Airtel
PH000314,CID000260,9901850526,Vi
PH000315,CID000261,9566710852,Airtel
PH000316,CID000262,9089273938,Jio
PH000317,CID000263,9860345189,Jio
PH000318,CID000264,9399607413,Jio
PH000319,CID000265,9738210247,Jio
PH000320,CID000265,9608249546,Vi
PH000321,CID000266,9523416118,Airtel
PH000322,CID000267,9053605012,BSNL
PH000323,CID000267,9287372297,Airtel
PH000324,CID000268,9079570215,Vi
PH000325,CID000269,9456377343,Vi
PH000326,CID000270,9325426708,Vi
PH000327,CID000270,9626168264,Airtel
PH000328,CID000271,9287172499,Jio
PH000329,CID000272,9537663212,Airtel
PH000330,CID000273,9769979340,BSNL
PH000331,CID000274,9612016662,Airtel
PH000332,CID000275,9656854868,Airtel
PH000333,CID000276,9960703028,Vi
PH000334,CID000276,9721280916,Airtel
PH000335,CID000277,9226522935,BSNL
PH000336,CID000278,9650042453,Airtel
PH000337,CID000278,9065664001,Vi
PH000338,CID000279,9998083902,Vi
PH000339,CID000280,9101091817,Jio
PH000340,CID000281,9212683280,Jio
PH000341,CID000282,9909229665,Airtel
PH000342,CID000283,9146934017,Jio
PH000343,CID000284,9118902574,Vi
PH000344,CID000284,9018882987,BSNL
PH000345,CID000285,9992669291,Airtel
PH000346,CID000286,9855644573,Vi
PH000347,CID000287,9828980776,Jio
PH000348,CID000288,9230093308,BSNL
PH000349,CID000288,9868787375,BSNL
PH000350,CID000289,9580350489,Airtel
PH000351,CID000290,9147071775,Airtel
PH000352,CID000290,9880259301,Vi
PH000353,CID000291,9816834544,Airtel
PH000354,CID000292,9072201649,Airtel
PH000355,CID000293,9346022306,Jio
PH000356,CID000294,9834401243,BSNL
PH000357,CID000295,9769637567,BSNL
PH000358,CID000295,9811284700,BSNL
PH000359,CID000296,9975562210,Vi
PH000360,CID000297,9650219880,BSNL
PH000361,CID000298,9115311449,Jio
PH000362,CID000299,9616049124,Jio
PH000363,CID000300,9025348841,Airtel
PH000364,CID000301,9585125556,Airtel
PH000365,CID000302,9896636354,Airtel
PH000366,CID000303,9638053471,BSNL
PH000367,CID000303,9631040916,Vi
PH000368,CID000304,9657224588,Jio
PH000369,CID000305,9511849737,Jio
PH000370,CID000305,9046170244,Jio
PH000371,CID000306,9725893881,BSNL
PH000372,CID000306,9104786312,Vi
PH000373,CID000307,9702400312,Jio
PH000374,CID000308,9373502478,Airtel
PH000375,CID000309,9817956605,Vi
PH000376,CID000309,9163225133,Jio
PH000377,CID000310,9386822922,Airtel
PH000378,CID000310,9112801024,BSNL
PH000379,CID000311,9358286272,Jio
PH000380,CID000311,9576287941,BSNL
PH000381,CID000312,9518862806,BSNL
PH000382,CID000312,9002974652,BSNL
PH000383,CID000313,9550154029,BSNL
PH000384,CID000314,9485430795,BSNL
PH000385,CID000315,9204139707,Jio
PH000386,CID000315,9602985962,Jio
PH000387,CID000316,9645367284,Vi
PH000388,CID000317,9711287707,Airtel
PH000389,CID000318,9989943952,Airtel
PH000390,CID000319,9315112719,Jio
PH000391,CID000320,9970483436,BSNL
PH000392,CID000321,9804890938,Vi
PH000393,CID000322,9193516555,Airtel
PH000394,CID000323,9077983709,Jio
PH000395,CID000324,9087116787,Airtel
PH000396,CID000325,9605012961,BSNL
PH000397,CID000326,9486191124,Vi
PH000398,CID000327,9684770317,BSNL
PH000399,CID000327,9793520990,Jio
PH000400,CID000328,9311166925,Jio
PH000401,CID000329,9646518595,Vi
PH000402,CID000330,9524646105,Vi
PH000403,CID000331,9924709533,Jio
PH000404,CID000331,9071476863,Jio
PH000405,CID000332,9203717157,Airtel
PH000406,CID000333,9107745305,Vi
PH000407,CID000334,9779264749,BSNL
PH000408,CID000335,9390843170,BSNL
PH000409,CID000336,9427449728,BSNL
PH000410,CID000336,9759788041,Jio
PH000411,CID000337,9368231560,Vi
PH000412,CID000337,9486978261,Jio
PH000413,CID000338,9459376368,Airtel
PH000414,CID000339,9894517957,Airtel
PH000415,CID000339,9915407245,Jio
PH000416,CID000340,9914257419,Airtel
PH000417,CID000341,9983992152,Vi
PH000418,CID000342,9123559055,Jio
PH000419,CID000343,9615957264,Jio
PH000420,CID000343,9116571119,Vi
PH000421,CID000344,9265655524,Airtel
PH000422,CID000345,9755764404,Airtel
PH000423,CID000346,9226218808,Jio
PH000424,CID000347,9200872521,Jio
PH000425,CID000348,9248348300,Airtel
PH000426,CID000349,9481393562,BSNL
PH000427,CID000350,9065139812,BSNL
PH000428,CID000350,9096723212,Vi
PH000429,CID000351,9776207306,Vi
PH000430,CID000352,9575296514,BSNL
PH000431,CID000353,9886259704,Jio
PH000432,CID000354,9740667258,Airtel
PH000433,CID000355,9953286621,Vi
PH000434,CID000356,9712967207,Vi
PH000435,CID000357,9880911664,Airtel
PH000436,CID000358,9090697867,BSNL
PH000437,CID000359,9371590378,Vi
PH000438,CID000360,9065792901,Jio
PH000439,CID000361,9733142817,BSNL
PH000440,CID000361,9169974191,Vi
PH000441,CID000362,9970392374,Vi
PH000442,CID000362,9103404014,Vi
PH000443,CID000363,9149595241,Jio
PH000444,CID000364,9246276015,Airtel
PH000445,CID000364,9743860507,BSNL
PH000446,CID000365,9031338493,BSNL
PH000447,CID000366,9280566948,Airtel
PH000448,CID000367,9461311061,BSNL
PH000449,CID000368,9730782717,Vi
PH000450,CID000369,9769815437,BSNL
PH000451,CID000370,9247363410,Vi
PH000452,CID000371,9559062513,Airtel
PH000453,CID000372,9632738144,Jio
PH000454,CID000373,9581082716,Jio
PH000455,CID000374,9984088295,BSNL
PH000456,CID000375,9236444082,BSNL
PH000457,CID000376,9182952687,BSNL
PH000458,CID000376,9620460857,Jio
PH000459,CID000377,9973257270,Vi
PH000460,CID000378,9050282909,BSNL
PH000461,CID000379,9289603272,Jio
PH000462,CID000380,9357129013,Jio
PH000463,CID000380,9110151422,Jio
PH000464,CID000381,9246612999,BSNL
PH000465,CID000382,9178982319,BSNL
PH000466,CID000383,9529151576,Airtel
PH000467,CID000384,9155555645,Airtel
PH000468,CID000385,9788361644,Vi
PH000469,CID000386,9446853637,Jio
PH000470,CID000387,9810495162,Airtel
PH000471,CID000388,9937937581,Airtel
PH000472,CID000389,9904834120,BSNL
PH000473,CID000390,9105770008,Jio
PH000474,CID000390,9567650186,Airtel
PH000475,CID000391,9670212153,Airtel
PH000476,CID000392,9165227108,Airtel
PH000477,CID000393,9268819573,Jio
PH000478,CID000393,9337541508,Airtel
PH000479,CID000394,9223327189,BSNL
PH000480,CID000395,9023118978,Jio
PH000481,CID000395,9713355118,BSNL
PH000482,CID000396,9824079664,Vi
PH000483,CID000397,9874409513,BSNL
PH000484,CID000398,9659996006,Vi
PH000485,CID000399,9701688264,Airtel
PH000486,CID000400,9755235140,BSNL
PH000487,CID000401,9640112139,Airtel
PH000488,CID000402,9431100115,BSNL
PH000489,CID000402,9744264848,Airtel
PH000490,CID000403,9254315609,Jio
PH000491,CID000403,9165118091,Jio
PH000492,CID000404,9242327012,Jio
PH000493,CID000405,9382014565,Jio
PH000494,CID000406,9179631399,Vi
PH000495,CID000406,9146801632,BSNL
PH000496,CID000407,9057204411,BSNL
PH000497,CID000407,9942709678,Vi
PH000498,CID000408,9675230351,Airtel
PH000499,CID000409,9391358680,Airtel
PH000500,CID000409,9373587967,Airtel
PH000501,CID000410,9708059566,Jio
PH000502,CID000411,9585357075,BSNL
PH000503,CID000411,9583026055,Vi
PH000504,CID000412,9045359540,Vi
PH000505,CID000413,9359807234,Jio
PH000506,CID000414,9856502145,Vi
PH000507,CID000415,9493991584,Jio
PH000508,CID000416,9815416116,Jio
PH000509,CID000417,9387763056,Airtel
PH000510,CID000417,9404191039,BSNL
PH000511,CID000418,9318841552,Jio
PH000512,CID000419,9749445881,BSNL
PH000513,CID000420,9216597211,Airtel
PH000514,CID000421,9081535087,Jio
PH000515,CID000422,9960177395,Vi
PH000516,CID000423,9051355646,Vi
PH000517,CID000424,9622902277,Vi
PH000518,CID000425,9907090296,Airtel
PH000519,CID000426,9952691009,Airtel
PH000520,CID000427,9268305037,BSNL
PH000521,CID000428,9918187471,BSNL
PH000522,CID000428,9626169831,Jio
PH000523,CID000429,9601947326,Jio
PH000524,CID000430,9033736998,Jio
PH000525,CID000431,9649462191,BSNL
PH000526,CID000432,9779597703,BSNL
PH000527,CID000433,9562801392,Vi
PH000528,CID000434,9204954819,Vi
PH000529,CID000435,9655733814,Airtel
PH000530,CID000436,9422835119,Vi
PH000531,CID000437,9791549240,Vi
PH000532,CID000438,9802156507,Vi
PH000533,CID000438,9338954604,Jio
PH000534,CID000439,9171936144,Vi
PH000535,CID000440,9712299542,Jio
PH000536,CID000441,9698144716,Vi
PH000537,CID000442,9155330095,Jio
PH000538,CID000443,9920291520,Jio
PH000539,CID000443,9044795699,Airtel
PH000540,CID000444,9101570340,BSNL
PH000541,CID000444,9422198799,Airtel
PH000542,CID000445,9751636708,Jio
PH000543,CID000446,9561440551,Jio
PH000544,CID000447,9251038790,Airtel
PH000545,CID000447,9467249530,Airtel
PH000546,CID000448,9780188843,Airtel
PH000547,CID000449,9449627627,Jio
PH000548,CID000450,9204258659,Vi
PH000549,CID000451,9052363983,BSNL
PH000550,CID000452,9736997250,Jio
PH000551,CID000453,9855886020,Jio
PH000552,CID000454,9596325648,BSNL
PH000553,CID000455,9533046686,BSNL
PH000554,CID000456,9763171012,Airtel
PH000555,CID000457,9374931266,Airtel
PH000556,CID000458,9251918017,Airtel
PH000557,CID000459,9183537758,BSNL
PH000558,CID000460,9853428413,BSNL
PH000559,CID000461,9965386491,Jio
PH000560,CID000462,9726919181,Jio
PH000561,CID000463,9738777343,Jio
PH000562,CID000464,9160378585,BSNL
PH000563,CID000464,9310095762,Airtel
PH000564,CID000465,9721635764,BSNL
PH000565,CID000465,9756061193,Airtel
PH000566,CID000466,9318552104,Vi
PH000567,CID000467,9789487281,BSNL
PH000568,CID000467,9501684001,Vi
PH000569,CID000468,9484553320,BSNL
PH000570,CID000468,9169053048,BSNL
PH000571,CID000469,9198535313,Vi
PH000572,CID000469,9656461567,Vi
PH000573,CID000470,9002464491,BSNL
PH000574,CID000471,9342460194,Jio
PH000575,CID000471,9441082910,BSNL
PH000576,CID000472,9828968862,Vi
PH000577,CID000473,9817733455,Vi
PH000578,CID000474,9642770164,Vi
PH000579,CID000475,9176690290,BSNL
PH000580,CID000476,9705371262,Jio
PH000581,CID000477,9751037085,Vi
PH000582,CID000478,9236557656,BSNL
PH000583,CID000479,9653014895,Jio
PH000584,CID000480,9479148876,Vi
PH000585,CID000481,9936876002,BSNL
PH000586,CID000482,9551339616,Airtel
PH000587,CID000483,9157897065,Airtel
PH000588,CID000484,9444808555,Airtel
PH000589,CID000485,9045863377,Vi
PH000590,CID000485,9672672738,Jio
PH000591,CID000486,9490510919,BSNL
PH000592,CID000487,9206230600,Jio
PH000593,CID000488,9477226437,Jio
PH000594,CID000489,9996061641,Airtel
PH000595,CID000489,9704155657,Jio
PH000596,CID000490,9711056534,Vi
PH000597,CID000491,9174117881,BSNL
PH000598,CID000491,9103308844,Jio
PH000599,CID000492,9730334711,Vi
PH000600,CID000493,9494419365,Vi
PH000601,CID000493,9627309060,BSNL
PH000602,CID000494,9016034294,Airtel
PH000603,CID000495,9061588841,BSNL
PH000604,CID000496,9353724629,Airtel
PH000605,CID000497,9300450528,BSNL
PH000606,CID000498,9286414284,Jio
PH000607,CID000499,9670358501,BSNL
PH000608,CID000500,9597908508,Airtel
PH000609,CID000501,9646165139,BSNL
PH000610,CID000502,9857886474,Airtel
PH000611,CID000502,9740188276,Vi
PH000612,CID000503,9807751950,BSNL
PH000613,CID000504,9282512822,Airtel
PH000614,CID000504,9818677242,Jio
PH000615,CID000505,9877633717,BSNL
PH000616,CID000506,9683545945,BSNL
PH000617,CID000507,9339937254,Jio
PH000618,CID000508,9546955946,Vi
PH000619,CID000509,9006074276,Jio
PH000620,CID000509,9394453346,Airtel
PH000621,CID000510,9224384236,Jio
PH000622,CID000511,9682574890,Vi
PH000623,CID000512,9091441981,Jio
PH000624,CID000513,9347172785,Airtel
PH000625,CID000513,9048091025,Airtel
PH000626,CID000514,9560053245,Airtel
PH000627,CID000514,9000136460,Airtel
PH000628,CID000515,9266320571,Jio
PH000629,CID000516,9833209159,Airtel
PH000630,CID000517,9616442996,Vi
PH000631,CID000517,9198208021,Vi
PH000632,CID000518,9861782361,Airtel
PH000633,CID000519,9109245996,Vi
PH000634,CID000520,9393434236,Jio
PH000635,CID000520,9576263889,Airtel
PH000636,CID000521,9787508415,BSNL
PH000637,CID000522,9082291574,Vi
PH000638,CID000523,9601223528,Airtel
PH000639,CID000524,9710416806,Jio
PH000640,CID000525,9466013723,Jio
PH000641,CID000526,9492728664,Vi
PH000642,CID000526,9482994269,Airtel
PH000643,CID000527,9768398156,Jio
PH000644,CID000528,9724731600,BSNL
PH000645,CID000529,9788433606,Jio
PH000646,CID000530,9488725606,Airtel
PH000647,CID000530,9838198128,Vi
PH000648,CID000531,9678566857,BSNL
PH000649,CID000531,9365823410,BSNL
PH000650,CID000532,9101894864,Vi
PH000651,CID000532,9029482232,Jio
PH000652,CID000533,9312493412,Jio
PH000653,CID000533,9327214799,Vi
PH000654,CID000534,9793449576,Jio
PH000655,CID000535,9433267187,Airtel
PH000656,CID000536,9449844579,BSNL
PH000657,CID000537,9511340703,BSNL
PH000658,CID000537,9454411751,Vi
PH000659,CID000538,9893329917,Vi
PH000660,CID000539,9381110837,Vi
PH000661,CID000540,9613795380,Jio
PH000662,CID000541,9534227348,Vi
PH000663,CID000541,9987849301,Jio
PH000664,CID000542,9708068429,Jio
PH000665,CID000543,9588961987,Airtel
PH000666,CID000544,9206484369,BSNL
PH000667,CID000545,9896146576,Vi
PH000668,CID000545,9097236197,BSNL
PH000669,CID000546,9929503059,Jio
PH000670,CID000547,9217775305,Jio
PH000671,CID000548,9324464246,BSNL
PH000672,CID000548,9951690578,Airtel
PH000673,CID000549,9989768075,Jio
PH000674,CID000550,9136068467,Jio
PH000675,CID000551,9719214726,Vi
PH000676,CID000552,9675588175,BSNL
PH000677,CID000552,9813510093,Vi
PH000678,CID000553,9316117856,Airtel
PH000679,CID000554,9109625081,BSNL
PH000680,CID000555,9019813034,Airtel
PH000681,CID000556,9799087487,Airtel
PH000682,CID000557,9216624631,Jio
PH000683,CID000558,9430073199,Jio
PH000684,CID000559,9037484924,Jio
PH000685,CID000560,9378268639,Jio
PH000686,CID000561,9660934309,Vi
PH000687,CID000562,9702666596,Vi
PH000688,CID000563,9376314056,Vi
PH000689,CID000564,9318118649,BSNL
PH000690,CID000564,9183829884,BSNL
PH000691,CID000565,9372883038,Jio
PH000692,CID000565,9261233052,Airtel
PH000693,CID000566,9513979022,Vi
PH000694,CID000567,9385022875,Airtel
PH000695,CID000568,9965214569,Airtel
PH000696,CID000568,9582267260,Airtel
PH000697,CID000569,9818574215,BSNL
PH000698,CID000570,9291597136,Vi
PH000699,CID000571,9222081263,Jio
PH000700,CID000572,9394402534,Vi
PH000701,CID000573,9108127218,BSNL
PH000702,CID000574,9614324172,Vi
PH000703,CID000575,9256655272,Airtel
PH000704,CID000576,9079595349,Jio
PH000705,CID000577,9827764891,BSNL
PH000706,CID000578,9333232624,BSNL
PH000707,CID000579,9250253479,Airtel
PH000708,CID000580,9182783972,Jio
PH000709,CID000581,9908550402,Vi
PH000710,CID000582,9192796888,Jio
PH000711,CID000583,9346577986,BSNL
PH000712,CID000584,9303255655,BSNL
PH000713,CID000585,9557910259,Vi
PH000714,CID000586,9336797175,Airtel
PH000715,CID000587,9780965858,BSNL
PH000716,CID000588,9327917654,Jio
