employee_id,district_id,unit_id,rank_id,designation_id,kgid,first_name,employee_dob,gender_id,blood_group_id,physically_challenged,appointment_date
26,15,60,12,8,KGID000026,Amara Oak,1990-09-08,1,4,False,2018-09-08
27,2,8,1,1,KGID000027,Nakul Setty,1971-05-08,2,3,False,1998-05-08
28,17,67,2,2,KGID000028,Xiti Gokhale,1967-09-01,1,7,False,1991-09-01
29,19,73,10,2,KGID000029,Chanchal Tripathi,1984-10-25,2,6,False,2006-10-25
30,7,27,5,7,KGID000030,Kashvi Edwin,1988-04-05,1,5,False,2013-04-05
31,3,11,10,2,KGID000031,Ekiya Suresh,1985-11-23,1,4,False,2014-11-23
32,5,20,4,6,KGID000032,Damyanti Khatri,1968-03-20,2,3,False,1991-03-20
33,18,71,1,5,KGID000033,Frederick Sunder,1969-07-11,1,3,False,1999-07-11
34,4,15,5,4,KGID000034,Kabir Soman,1995-04-21,2,4,False,2021-04-21
35,9,35,1,2,KGID000035,Alka Wable,1999-10-01,2,5,False,2024-10-01
36,11,41,3,8,KGID000036,Siddharth Zacharia,1997-03-21,2,1,False,2023-03-21
37,5,21,6,3,KGID000037,Devika Rastogi,1993-03-27,2,3,False,2015-03-27
38,12,45,4,4,KGID000038,Raksha Varughese,2001-05-23,1,6,False,2024-05-23
39,14,55,3,3,KGID000039,Umang Bhatt,1982-11-28,2,1,False,2007-11-28
40,11,43,5,3,KGID000040,Thomas Amble,1979-01-19,1,7,False,2004-01-19
41,16,63,8,6,KGID000041,Veer Bir,1969-12-20,2,4,False,1994-12-20
42,7,27,5,2,KGID000042,Ekavir Varkey,1998-05-05,2,6,False,2024-05-05
43,13,52,2,5,KGID000043,Tanish Zacharia,1975-08-25,1,5,False,1997-08-25
44,20,77,12,6,KGID000044,Xavier Solanki,1972-01-21,2,2,False,1999-01-21
45,19,73,1,7,KGID000045,Girindra Chatterjee,1995-01-05,1,4,False,2021-01-05
46,3,12,11,2,KGID000046,Pallavi Roy,1989-12-17,2,5,False,2016-12-17
47,11,43,9,3,KGID000047,Guneet Bhat,1983-06-08,1,7,False,2009-06-08
48,13,51,7,1,KGID000048,Ikbal Kothari,1981-03-31,2,5,False,2007-03-28
49,19,74,8,8,KGID000049,Logan Sami,1974-01-26,1,8,False,2003-01-26
50,6,23,9,6,KGID000050,Zaid Borra,1973-10-17,1,4,False,1999-10-17
51,8,29,1,1,KGID000051,Chandresh Zachariah,1982-08-16,1,8,False,2006-08-16
52,3,12,11,4,KGID000052,Warjas Ganesan,1995-12-25,2,8,False,2023-12-25
53,5,21,2,7,KGID000053,Tanay Rattan,1981-05-17,1,3,False,2003-05-17
54,17,68,9,4,KGID000054,Ladli Agate,1998-03-29,1,8,False,2020-03-28
55,15,60,10,7,KGID000055,Suhani Mangal,2001-01-21,2,3,False,2024-01-21
56,16,64,4,5,KGID000056,Mohammed Gupta,1981-12-09,2,4,False,2007-12-09
57,3,12,5,6,KGID000057,Darsh Murthy,1977-08-23,2,2,False,2002-08-23
58,8,30,12,4,KGID000058,Yadavi Wali,1969-07-01,1,7,False,1993-07-01
59,18,71,1,4,KGID000059,Quincy Biswas,1972-11-28,2,7,False,2000-11-28
60,19,73,8,1,KGID000060,Netra Dar,1987-10-15,2,5,False,2015-10-15
61,14,55,4,5,KGID000061,Balveer Bumb,1999-07-28,2,8,False,2024-07-28
62,11,43,8,3,KGID000062,Advika Jayaraman,1981-10-23,1,7,False,2005-10-23
63,1,3,3,8,KGID000063,William Lanka,1990-04-30,1,1,False,2018-04-28
64,11,41,6,6,KGID000064,Tanvi Mutti,1981-01-05,2,5,False,2010-01-05
65,14,56,8,1,KGID000065,Aditya Shanker,1999-02-22,1,6,False,2022-02-22
66,3,11,4,4,KGID000066,Ethan Yogi,1988-09-04,1,3,False,2010-09-04
67,16,65,10,4,KGID000067,Kevin Palla,1974-10-21,2,5,False,1997-10-21
68,6,23,5,2,KGID000068,Kala Mane,1997-07-04,1,5,False,2021-07-04
69,13,53,2,4,KGID000069,Abhiram Mistry,1972-12-02,1,5,False,1997-12-02
70,20,76,6,7,KGID000070,Krish Lalla,1999-03-28,2,2,False,2021-03-28
71,11,40,8,2,KGID000071,Nachiket Magar,1971-06-25,2,6,False,1999-06-25
72,15,59,3,5,KGID000072,Hemal Jani,1977-02-19,2,8,False,2005-02-19
73,19,74,4,2,KGID000073,Yashasvi Suresh,1990-12-07,2,8,False,2017-12-07
74,15,61,1,8,KGID000074,George Sampath,1976-02-04,2,3,False,2003-02-04
75,12,47,5,5,KGID000075,Aarush Nath,1995-10-03,1,4,False,2022-10-03
76,14,56,4,8,KGID000076,Neel Sathe,1993-10-10,2,8,False,2023-10-10
77,3,12,7,4,KGID000077,Aditya Choudhury,1986-04-25,2,6,False,2011-04-25
78,17,68,12,6,KGID000078,Balendra Pingle,1970-02-11,2,8,False,1998-02-11
79,9,33,12,4,KGID000079,Qushi Datta,1987-05-13,2,2,False,2010-05-13
80,6,23,12,8,KGID000080,Balveer Parmar,1968-12-23,2,5,False,1993-12-23
81,7,27,6,3,KGID000081,Harshil Pandya,1974-09-12,2,1,False,1999-09-12
82,5,20,1,5,KGID000082,Mohammed Khalsa,1994-01-30,1,8,False,2016-01-28
83,1,5,8,8,KGID000083,Nitara Bakshi,1996-12-14,2,3,False,2024-12-14
84,9,35,2,7,KGID000084,Nisha Kothari,1973-08-27,2,2,False,1996-08-27
85,2,8,10,5,KGID000085,Lavanya Barad,1976-08-17,1,4,False,2000-08-17
86,14,55,7,8,KGID000086,Ryan Sharma,1996-09-30,2,5,False,2024-09-28
87,14,56,10,2,KGID000087,Udant Bajwa,1979-06-12,1,4,False,2001-06-12
88,3,11,3,2,KGID000088,Falguni Mallick,1989-12-30,1,1,False,2014-12-28
89,20,77,1,4,KGID000089,Indali Upadhyay,1996-12-11,2,5,False,2022-12-11
90,15,58,5,4,KGID000090,Ayaan D’Alia,1981-02-22,2,2,False,2006-02-22
91,5,20,2,1,KGID000091,Pranav Lanka,1997-05-17,1,5,False,2021-05-17
92,19,74,2,8,KGID000092,Hemani Murthy,1968-11-09,2,7,False,1997-11-09
93,17,68,2,1,KGID000093,Lekha Gupta,1982-05-24,2,6,False,2011-05-24
94,1,3,11,1,KGID000094,Aarav Venkatesh,1976-03-20,2,1,False,2001-03-20
95,6,24,11,8,KGID000095,Januja Sankar,1999-01-10,2,3,False,2024-01-10
96,14,56,8,6,KGID000096,Dipta Dash,1969-12-08,2,6,False,1992-12-08
97,4,15,7,8,KGID000097,Yashica More,1992-01-11,2,7,False,2019-01-11
98,18,70,2,6,KGID000098,Neha Merchant,1990-03-26,2,6,False,2019-03-26
99,13,50,8,7,KGID000099,Osha Raghavan,1986-05-29,1,4,False,2016-05-28
100,20,77,1,4,KGID000100,Charvi Ravi,1990-08-02,2,3,False,2019-08-02
101,15,61,1,4,KGID000101,Daksha Mangat,1986-03-09,1,5,False,2009-03-09
102,18,71,4,2,KGID000102,Udyati Sathe,1974-09-14,2,2,False,1997-09-14
103,5,20,9,5,KGID000103,Yasti Solanki,1982-08-04,2,8,False,2008-08-04
104,8,30,3,7,KGID000104,Frado Mander,1994-07-18,1,3,False,2024-07-18
105,9,35,9,5,KGID000105,Girik Keer,1985-01-30,1,5,False,2012-01-28
106,19,74,8,8,KGID000106,Rushil Din,1990-06-07,2,6,False,2014-06-07
107,18,71,6,4,KGID000107,Vaishnavi Bora,1968-05-21,1,7,False,1997-05-21
108,14,55,12,8,KGID000108,Leena Talwar,1983-01-15,2,7,False,2010-01-15
109,5,20,3,6,KGID000109,Abdul Chhabra,1981-02-22,1,8,False,2003-02-22
110,15,58,7,3,KGID000110,Patrick Vasa,1994-01-09,1,8,False,2018-01-09
111,9,34,11,2,KGID000111,Jairaj Shan,1983-05-09,2,7,False,2011-05-09
112,16,65,10,2,KGID000112,Edhitha Savant,1972-02-02,1,5,False,1994-02-02
113,3,12,11,2,KGID000113,Sanaya Dutt,1988-05-21,2,3,False,2011-05-21
114,1,3,1,5,KGID000114,Shivani Lad,1992-11-03,2,6,False,2019-11-03
115,8,30,3,3,KGID000115,Vedhika Khare,1993-02-12,1,7,False,2017-02-12
116,8,30,4,8,KGID000116,Bhavika Keer,1976-11-22,2,8,False,2000-11-22
117,1,6,11,3,KGID000117,Faris Devi,1976-10-17,1,8,False,2002-10-17
118,19,74,12,5,KGID000118,Michael Kala,1972-09-07,2,5,False,2000-09-07
119,13,53,4,7,KGID000119,Ganga Shukla,1969-09-27,2,5,False,1992-09-27
120,10,37,5,1,KGID000120,Osha Ramachandran,1981-09-10,1,8,False,2009-09-10
121,10,37,4,4,KGID000121,Lajita Sood,1998-04-28,2,3,False,2024-04-28
122,2,9,1,6,KGID000122,Chanchal Ramakrishnan,1967-10-04,1,2,False,1996-10-04
123,11,43,4,3,KGID000123,Thomas Sura,1996-07-28,2,5,False,2020-07-28
124,9,35,12,6,KGID000124,Vedika Balakrishnan,1975-01-06,1,8,False,2001-01-06
125,5,19,9,6,KGID000125,Noah Sibal,1980-10-11,1,7,True,2008-10-11
126,18,70,6,5,KGID000126,Meera Bala,1998-10-27,2,6,False,2024-10-27
127,8,30,10,6,KGID000127,Krishna Shenoy,1970-05-30,1,2,False,1992-05-28
128,15,60,2,3,KGID000128,Ladli Narang,1973-09-25,1,1,False,2001-09-25
129,16,63,4,3,KGID000129,Geetika Raghavan,1974-10-02,2,8,False,1997-10-02
130,18,71,7,2,KGID000130,Zayyan Bumb,1977-01-06,2,7,False,2001-01-06
131,9,32,4,8,KGID000131,Inaya Kapur,1983-07-19,2,4,False,2010-07-19
132,4,16,11,6,KGID000132,Azaan Kota,1989-08-30,1,7,False,2019-08-28
133,4,17,11,4,KGID000133,Michael Khare,1974-05-02,1,1,False,1997-05-02
134,8,29,2,4,KGID000134,Tejas Shroff,1971-11-06,1,4,False,1996-11-06
135,5,21,5,3,KGID000135,Oliver Contractor,1991-05-04,1,5,False,2013-05-04
136,4,14,1,6,KGID000136,Deepa Chokshi,1994-01-01,1,6,True,2018-01-01
137,9,32,12,7,KGID000137,Keya Ranganathan,1987-03-26,1,2,False,2011-03-26
138,12,45,9,4,KGID000138,Faqid Kibe,1999-07-27,1,5,False,2024-07-27
139,1,3,7,7,KGID000139,Jai Barman,1971-01-08,1,8,False,2000-01-08
140,15,58,6,3,KGID000140,Kamala Biswas,1979-05-12,1,3,False,2002-05-12
141,19,74,10,5,KGID000141,Advik Salvi,1984-10-04,2,7,False,2012-10-04
142,4,15,8,4,KGID000142,Rachita Pathak,1995-07-08,2,6,False,2023-07-08
143,13,53,6,7,KGID000143,Michael Saran,1989-03-02,2,5,False,2012-03-02
144,5,21,2,2,KGID000144,Veda Shroff,1973-07-18,1,2,False,2002-07-18
145,12,46,1,6,KGID000145,Ekantika Korpal,1982-05-14,1,7,False,2012-05-14
146,14,55,10,5,KGID000146,Arya Seshadri,1995-10-20,2,2,False,2021-10-20
147,7,26,4,2,KGID000147,Ladli Nayar,1975-11-06,2,6,False,2004-11-06
148,9,33,9,1,KGID000148,Qabil Sura,1968-07-13,2,1,False,1996-07-13
149,10,38,1,3,KGID000149,Harini Mammen,1974-10-08,1,7,False,2001-10-08
150,1,3,4,7,KGID000150,Advaith Varughese,1997-06-27,2,8,False,2024-06-27
151,12,47,10,2,KGID000151,Wyatt Ray,1999-10-16,1,3,False,2024-10-16
152,20,76,5,8,KGID000152,Vamakshi Swaminathan,1984-03-02,2,8,False,2007-03-02
153,14,56,9,2,KGID000153,Girik Menon,1982-10-17,2,7,False,2007-10-17
154,19,74,11,5,KGID000154,Damini Pillay,1975-02-03,1,4,False,2005-02-03
155,20,76,4,5,KGID000155,Pavani Narayanan,1983-08-25,1,3,False,2005-08-25
156,10,38,1,8,KGID000156,Anika Mohan,1979-07-09,2,3,False,2002-07-09
157,18,70,9,6,KGID000157,Reyansh Mutti,1976-02-08,1,7,False,2006-02-08
158,2,9,8,2,KGID000158,Rehaan Kalita,1971-08-15,2,7,False,1993-08-15
159,14,56,7,1,KGID000159,Barkha Chaudhry,1992-09-01,2,3,False,2015-09-01
160,20,77,2,7,KGID000160,Utkarsh Patel,1995-11-13,1,4,False,2022-11-13
161,13,50,5,6,KGID000161,Jonathan Mahal,1973-08-28,1,6,False,2001-08-28
162,3,11,9,4,KGID000162,Brinda Date,1969-02-07,2,6,False,1999-02-07
163,5,19,3,5,KGID000163,Harshil Arora,1989-03-30,1,3,False,2012-03-28
164,3,11,8,8,KGID000164,Varenya Sastry,1987-01-28,2,6,False,2016-01-28
165,3,12,11,5,KGID000165,Zayyan Sridhar,1979-02-21,2,1,False,2008-02-21
166,3,12,8,1,KGID000166,Nandini Swamy,1971-06-08,1,6,False,2000-06-08
167,3,11,7,8,KGID000167,Max Dixit,1970-01-28,1,8,False,2000-01-28
168,19,73,10,8,KGID000168,Frederick Kothari,1995-02-19,1,1,False,2022-02-19
169,11,40,11,3,KGID000169,Upkaar Virk,1971-08-02,1,4,False,2001-08-02
170,15,59,6,5,KGID000170,Chameli Sanghvi,1980-06-27,2,7,False,2007-06-27
171,20,76,2,6,KGID000171,Hardik Johal,1977-12-09,1,7,False,2004-12-09
172,20,76,2,3,KGID000172,Finn Dugar,1988-10-28,2,5,False,2015-10-28
173,13,51,5,7,KGID000173,Naksh Agate,1975-09-17,2,3,False,1998-09-17
174,17,67,9,6,KGID000174,Bishakha Bali,1981-06-12,1,6,False,2009-06-12
175,7,27,4,4,KGID000175,Sudiksha Bobal,1975-06-05,1,3,False,2004-06-05
176,4,14,10,3,KGID000176,Rudra Sandal,1990-12-05,2,3,False,2017-12-05
177,20,76,1,7,KGID000177,Manthan Lata,1971-06-17,2,4,False,2000-06-17
178,20,77,4,4,KGID000178,Darpan Gandhi,1995-08-30,2,8,False,2024-08-28
179,7,27,8,5,KGID000179,Reva Dash,1994-07-04,2,7,False,2023-07-04
180,7,26,1,8,KGID000180,Neha Magar,1983-06-29,2,2,False,2009-06-28
181,17,67,2,3,KGID000181,Raksha Buch,1984-07-28,2,8,False,2010-07-28
182,5,20,4,8,KGID000182,Ekantika Krishna,1987-11-22,2,1,False,2010-11-22
183,13,52,7,2,KGID000183,Ansh Luthra,1968-06-08,2,4,False,1993-06-08
184,4,16,3,1,KGID000184,Upma Venkataraman,1987-02-24,2,8,False,2011-02-24
185,5,21,8,1,KGID000185,Pratyush Sarin,1989-09-16,1,1,False,2018-09-16
186,5,21,7,2,KGID000186,Gavin Singhal,1989-02-20,2,4,False,2019-02-20
187,2,8,11,8,KGID000187,Ekani Cheema,1979-05-22,1,2,False,2007-05-22
188,16,65,1,4,KGID000188,Nisha Tandon,1996-09-20,1,5,False,2024-09-20
189,20,77,10,7,KGID000189,Balhaar Sha,1977-05-10,1,2,False,2002-05-10
190,12,45,9,1,KGID000190,Ekiya D’Alia,1970-07-20,2,8,False,2000-07-20
191,13,52,12,1,KGID000191,Yoshita Agarwal,2000-07-17,2,2,False,2024-07-17
192,4,16,1,6,KGID000192,Odika Bhagat,1989-12-01,2,3,False,2013-12-01
193,15,61,3,2,KGID000193,Wishi Sathe,1973-12-07,2,1,False,1997-12-07
194,2,8,6,5,KGID000194,Amara Deep,1993-05-25,2,8,False,2015-05-25
195,7,27,1,6,KGID000195,Vedhika Dara,1999-02-05,2,2,False,2024-02-05
196,14,56,7,6,KGID000196,Nathan Mukhopadhyay,1968-07-15,1,8,False,1997-07-15
197,12,47,12,7,KGID000197,Girik Kar,1986-04-14,1,7,False,2009-04-14
198,6,24,2,2,KGID000198,Triya Dalal,2001-04-17,2,5,False,2024-04-17
199,20,77,12,8,KGID000199,Wishi Manne,1989-07-30,2,8,False,2013-07-28
200,12,48,11,1,KGID000200,Ojasvi Subramanian,1984-11-09,1,7,False,2010-11-09
201,6,23,10,8,KGID000201,Tanmayi Dhillon,2000-11-19,1,3,False,2024-11-19
202,12,47,10,1,KGID000202,Ekaraj Majumdar,1980-08-06,1,8,False,2008-08-06
203,12,48,10,3,KGID000203,Harini Tripathi,1993-10-29,2,7,False,2016-10-28
204,9,33,1,3,KGID000204,Barkha Misra,1976-08-22,2,7,False,1999-08-22
205,4,16,12,8,KGID000205,Manthan Sekhon,1996-01-12,1,5,False,2022-01-12
206,16,63,3,2,KGID000206,Gaurangi Purohit,1985-11-13,2,3,False,2008-11-13
207,15,58,11,6,KGID000207,Ranbir Khare,1983-01-14,1,5,False,2010-01-14
208,6,23,9,4,KGID000208,Nirja Bassi,1986-12-31,1,4,False,2013-12-28
209,8,30,6,6,KGID000209,Lakshmi Raju,1978-05-17,2,3,False,2000-05-17
210,3,11,7,8,KGID000210,Warhi Bansal,2001-03-01,2,7,False,2024-03-01
211,3,11,11,2,KGID000211,Harish Sarraf,1971-11-06,2,8,False,1998-11-06
212,12,46,11,3,KGID000212,Alexander Dhawan,1970-12-12,1,7,False,2000-12-12
213,2,8,3,5,KGID000213,Falan Singh,1981-06-30,1,3,False,2011-06-28
214,8,30,5,2,KGID000214,Hamsini Rao,1994-02-16,2,4,False,2024-02-16
215,18,71,11,5,KGID000215,Lajita Nadig,1989-08-26,1,3,False,2013-08-26
216,19,73,11,6,KGID000216,Balendra Biswas,1988-11-13,1,1,False,2012-11-13
217,19,74,10,7,KGID000217,Utkarsh Chana,1975-07-16,1,8,False,2000-07-16
218,18,71,8,4,KGID000218,Harish Sawhney,1982-04-24,2,5,False,2008-04-24
219,2,8,7,8,KGID000219,Ayush Batra,1973-03-19,2,4,False,2002-03-19
220,5,20,12,6,KGID000220,Chaaya Parmer,1978-08-02,2,3,False,2005-08-02
221,17,67,4,8,KGID000221,Yash Wali,1980-04-20,1,5,False,2007-04-20
222,5,19,5,7,KGID000222,Onkar Gill,1981-07-26,2,4,False,2003-07-26
223,6,24,4,3,KGID000223,Wridesh Tank,1970-03-29,2,8,False,1997-03-28
224,10,38,2,7,KGID000224,Vincent Shenoy,1998-08-05,2,4,False,2020-08-05
225,12,45,5,8,KGID000225,Aadhya Andra,1989-03-31,2,5,False,2011-03-28
226,4,17,5,6,KGID000226,Bhavna Dugar,1998-02-13,2,6,False,2022-02-13
227,2,8,9,5,KGID000227,Chandani Samra,1970-01-25,1,7,False,1997-01-25
228,18,71,3,2,KGID000228,Chasmum Issac,1991-01-11,2,6,False,2014-01-11
229,11,42,4,7,KGID000229,Hredhaan Khalsa,2001-07-15,1,1,False,2024-07-15
230,11,43,8,3,KGID000230,Chakrika Merchant,1980-07-10,1,6,False,2010-07-10
231,11,41,10,5,KGID000231,Anvi Anand,1968-04-20,2,8,False,1996-04-20
232,10,38,6,6,KGID000232,Watika Mangat,1986-10-19,1,7,False,2008-10-19
233,1,6,11,4,KGID000233,Indira Kanda,1993-12-06,1,8,False,2019-12-06
234,20,77,11,4,KGID000234,Laksh Chatterjee,1989-03-15,1,2,False,2013-03-15
235,15,60,3,7,KGID000235,Dayamai Sastry,1998-04-10,1,7,False,2024-04-10
236,20,77,12,3,KGID000236,Karan Chana,1968-09-09,1,6,False,1990-09-09
237,16,65,6,3,KGID000237,Ojasvi Gill,1998-06-26,2,6,False,2024-06-26
238,9,35,4,5,KGID000238,Yachana Mahajan,1974-05-20,2,4,False,1999-05-20
239,10,38,12,8,KGID000239,Vasatika Merchant,1995-10-17,2,8,False,2020-10-17
240,9,34,10,7,KGID000240,Ishwar Sidhu,1992-12-09,2,6,False,2015-12-09
241,5,20,5,2,KGID000241,Upkaar Ranganathan,2000-04-18,2,8,False,2022-04-18
242,16,63,9,5,KGID000242,Gautam Rana,2000-06-11,2,3,False,2024-06-11
243,19,73,1,4,KGID000243,Suhani Pillay,1968-01-11,1,1,False,1993-01-11
244,11,43,11,3,KGID000244,Lakshmi Prabhu,1990-06-07,1,3,False,2013-06-07
245,16,64,5,6,KGID000245,Urishilla Bakshi,1971-03-29,2,1,False,1996-03-28
246,3,11,12,1,KGID000246,Timothy Bhatnagar,1988-08-15,1,7,False,2018-08-15
247,6,23,8,3,KGID000247,Chasmum Rege,1989-02-28,2,1,True,2017-02-28
248,19,73,5,8,KGID000248,Baljiwan Modi,1971-07-10,2,3,False,1998-07-10
249,15,60,2,6,KGID000249,Gunbir Keer,2001-06-02,1,8,False,2024-06-02
250,6,23,5,4,KGID000250,Lipika Setty,1997-09-21,1,7,False,2024-09-21
251,17,68,7,2,KGID000251,Mohammed Sachdeva,1980-03-03,1,3,False,2003-03-03
252,8,29,7,4,KGID000252,Nikita Mammen,1989-10-28,2,5,False,2015-10-28
253,10,37,11,6,KGID000253,Teerth Sawhney,1968-09-01,1,1,False,1994-09-01
254,15,60,7,5,KGID000254,Janani Chaudhary,1982-09-04,1,5,False,2006-09-04
255,8,29,8,3,KGID000255,Jagrati Bhat,2000-11-28,2,6,False,2024-11-28
256,18,71,11,4,KGID000256,Jason Sha,1981-02-03,1,2,False,2011-02-03
257,17,68,10,2,KGID000257,Ansh Bedi,1970-09-03,1,4,False,1993-09-03
258,5,19,9,8,KGID000258,Jeremiah Jha,1994-04-23,1,4,False,2021-04-23
259,16,63,8,1,KGID000259,Tarak Kaul,1969-11-21,2,3,False,1999-11-21
260,15,58,8,5,KGID000260,Aarnav Malhotra,1978-09-23,1,7,False,2008-09-23
261,1,4,1,7,KGID000261,Kalpit Zachariah,1996-09-28,2,2,False,2019-09-28
262,2,8,1,5,KGID000262,Imaran Bal,1976-01-29,2,3,False,2005-01-28
263,14,56,8,7,KGID000263,Wazir Naik,1972-01-14,2,2,False,2000-01-14
264,18,70,2,3,KGID000264,Charles Date,1968-02-03,2,3,False,1995-02-03
265,8,29,5,8,KGID000265,Devansh Soni,1992-10-10,2,7,False,2014-10-10
266,8,30,3,5,KGID000266,Yochana Chopra,1982-10-19,1,2,False,2009-10-19
267,14,55,4,2,KGID000267,Caleb Verma,1982-12-04,1,1,False,2007-12-04
268,2,8,7,8,KGID000268,Darsh Srinivas,1977-10-23,1,4,False,1999-10-23
269,2,8,5,4,KGID000269,Hritik Swaminathan,1996-05-13,2,6,False,2024-05-13
270,5,21,4,7,KGID000270,Ethan Buch,1991-10-12,2,5,False,2021-10-12
271,19,73,9,8,KGID000271,Dominic Date,1978-07-05,1,6,False,2006-07-05
272,13,52,7,3,KGID000272,Lakshmi Wali,1976-11-27,2,7,False,2004-11-27
273,18,71,4,5,KGID000273,Hardik Contractor,1977-08-01,1,8,False,2002-08-01
274,18,71,9,3,KGID000274,Qushi Seth,1996-07-20,2,4,False,2024-07-20
275,11,40,6,2,KGID000275,Harinakshi Setty,1997-10-02,1,1,False,2024-10-02
276,20,76,4,4,KGID000276,Dhriti Sane,1981-02-10,2,4,False,2004-02-10
277,11,42,4,4,KGID000277,Kavya Dua,1978-03-08,1,8,False,2000-03-08
278,20,76,4,6,KGID000278,Ekalinga Chand,1990-11-28,2,7,False,2018-11-28
279,12,47,6,8,KGID000279,Rachana Char,1995-11-02,2,2,False,2021-11-02
280,16,64,6,6,KGID000280,Kalpit Bhasin,1992-11-15,2,1,False,2017-11-15
281,8,29,5,7,KGID000281,Jason Roy,1987-07-01,2,3,False,2009-07-01
282,8,30,8,6,KGID000282,Charan Mani,1979-07-31,2,8,False,2004-07-28
283,16,64,12,6,KGID000283,Hemang Tripathi,1987-12-21,1,3,False,2011-12-21
284,16,63,11,1,KGID000284,Udarsh Chokshi,1974-10-16,1,2,False,2004-10-16
285,2,8,3,4,KGID000285,Ishwar Mallick,1979-06-18,1,3,True,2007-06-18
286,17,68,1,8,KGID000286,Atharv Loke,1987-01-28,2,1,True,2014-01-28
287,18,71,1,5,KGID000287,Dayamai Nori,1968-07-16,2,1,False,1990-07-16
288,14,55,2,3,KGID000288,Luke Rattan,1979-06-29,1,4,False,2002-06-28
289,9,34,7,2,KGID000289,Gavin Wali,1969-12-03,2,7,False,1995-12-03
290,8,29,11,2,KGID000290,Sudiksha Om,1974-11-14,1,2,False,2000-11-14
291,13,53,11,1,KGID000291,Ekta Chad,1972-11-27,1,2,False,1994-11-27
292,14,56,9,1,KGID000292,Nakul Bawa,1997-08-04,1,4,False,2020-08-04
293,19,74,1,2,KGID000293,Saanvi Samra,1990-06-22,2,1,False,2016-06-22
294,11,40,10,3,KGID000294,Oeshi Mahajan,1984-01-26,2,2,False,2009-01-26
295,19,73,11,6,KGID000295,Hemani Sani,1974-11-20,2,3,False,2002-11-20
296,3,12,2,7,KGID000296,Darika Bath,1971-04-30,1,2,False,1993-04-28
297,20,77,1,5,KGID000297,Abhimanyu Jayaraman,1975-01-20,2,8,False,2002-01-20
298,18,71,3,7,KGID000298,Laksh Kumer,1977-10-21,1,5,False,2005-10-21
299,3,11,3,7,KGID000299,Abhimanyu Tank,1977-05-25,1,7,False,2003-05-25
300,4,14,5,8,KGID000300,Kai Rai,1992-12-15,2,5,False,2014-12-15
