complainant_id,case_master_id,complainant_name,age_year,occupation_id,religion_id,caste_id,gender_id
65,59,Ranveer Dalal,18,4,6,8,1
66,60,Lajita Shukla,54,6,6,8,2
67,61,Kamala Munshi,31,6,1,5,1
68,61,Chakradev Kant,24,1,4,6,1
69,62,Xalak Nazareth,56,1,6,7,1
70,63,Chanakya Ahuja,38,6,5,1,2
71,64,Aditya Kamdar,65,9,2,4,2
72,65,Bhavini Badal,52,2,2,4,2
73,66,Farhan Prakash,61,10,7,4,2
74,67,Aditya Garg,70,11,6,5,1
75,68,Bachittar Gola,20,10,6,7,2
76,69,Garima Rajagopalan,19,3,4,4,2
77,70,Eta Balan,26,4,1,5,1
78,71,Amrita Dube,38,6,4,2,2
79,72,Anamika Chaudry,47,11,7,2,1
80,73,Girik Nair,61,6,5,9,1
81,74,Lajita Gara,20,4,1,8,1
82,75,Chandani Sule,52,6,7,8,1
83,76,Meghana Natarajan,70,4,6,9,1
84,77,Bishakha Swaminathan,38,9,6,2,2
85,78,Triya Kadakia,42,6,4,1,1
86,79,Varenya Rattan,55,7,6,6,2
87,80,Garima Sani,35,7,5,6,1
88,81,Sanaya Prasad,40,5,3,3,1
89,82,Jack Dhar,27,8,7,7,2
90,82,Devika Oza,33,11,4,3,1
91,83,Nitesh Kohli,30,9,3,3,2
92,84,Pushti Ramachandran,35,1,4,7,2
93,85,Ishaan Lala,49,8,4,7,1
94,85,Dhriti Rama,52,4,1,7,2
95,86,Lakshit Rajagopal,39,12,1,7,1
96,87,Chatresh Parmer,65,11,4,6,1
97,88,Azaan Kannan,51,8,4,4,1
98,89,Ishaan Loyal,65,1,5,3,1
99,90,Noah Dewan,23,7,7,9,2
100,91,Ekiya Master,31,3,3,5,1
101,92,Maya Suri,20,6,3,3,1
102,93,Tejas Sanghvi,19,5,4,9,1
103,93,Warda Loyal,48,6,4,8,1
104,94,Tanmayi Acharya,31,9,6,1,2
105,95,Tanay Sood,67,5,2,1,1
106,96,Laksh Raja,66,3,2,3,2
107,97,Teerth Chadha,58,11,4,2,2
108,98,Manya Merchant,30,9,5,9,1
109,99,Ekansh Atwal,40,1,1,3,2
110,100,Arunima Chacko,20,2,3,8,1
111,101,Rajeshri Khare,64,8,3,5,2
112,102,Laksh Apte,49,9,3,9,2
113,103,Jhalak Dugar,33,4,6,5,1
114,104,Praneel Banik,68,2,7,9,1
115,105,Zaitra Batra,70,12,4,5,2
116,106,Abhiram Pillay,45,7,6,1,1
117,107,Hiral Andra,73,10,1,8,2
118,108,Girish Tiwari,70,8,4,7,2
119,109,Anita Kaur,74,10,2,1,1
120,109,Samaksh Deshpande,53,11,5,4,1
121,110,Sarthak Seth,36,12,6,4,2
122,110,Ubika Lanka,29,7,7,3,1
123,111,Chandani Lad,50,8,3,8,1
124,112,Logan Dara,47,7,1,8,1
125,113,Anthony Bhattacharyya,71,12,6,8,2
126,114,Anvi Mammen,66,7,7,6,1
127,115,Darsh Chahal,47,11,6,5,2
128,116,Vedhika Padmanabhan,18,4,1,1,1
129,117,Nathaniel Chaudhry,59,7,4,2,2
130,118,Jagrati Bala,53,1,1,6,2
131,119,Vanya Acharya,36,12,4,9,2
132,120,Janya Bora,22,2,3,6,2
133,121,Qabil Nadkarni,50,2,6,1,2
134,122,Alka Kadakia,26,8,2,8,1
135,123,Indali Prashad,19,3,2,7,1
136,124,Onkar Prashad,63,5,5,2,1
137,125,Ranveer Rout,23,3,3,7,1
138,126,Aarush Sane,61,2,2,9,1
139,126,Chaitaly Srinivasan,37,10,4,8,1
140,127,Urishilla Suresh,69,6,6,6,2
141,128,Matthew Chatterjee,35,11,6,6,1
142,129,Jai Sen,59,1,7,6,2
143,130,Aarna Nagarajan,33,6,7,1,2
144,131,Isaiah Sachdeva,56,11,5,1,2
145,132,Orinder Majumdar,39,5,3,1,1
146,133,Anmol Nazareth,48,12,7,6,2
147,134,Omaja Chakraborty,31,5,4,4,2
148,135,Krishna Viswanathan,38,12,3,9,2
149,136,Anusha Pillay,29,8,2,5,1
150,137,Urvi Palla,66,11,1,8,1
151,138,Nimrat Varghese,22,9,4,4,2
152,138,Aditya Som,24,6,5,8,2
153,139,Chasmum Verma,27,8,1,7,1
154,140,Chanchal Guha,41,2,7,2,2
155,141,Balendra Gupta,63,1,6,9,1
156,142,Pratyush Memon,50,2,7,6,2
157,143,Jacob Singhal,19,10,5,8,2
158,144,Nimrat Shankar,56,7,5,6,1
159,145,Nathan Suri,28,8,4,7,2
160,146,Kashvi Atwal,25,7,5,3,1
161,146,Rayaan Badami,66,7,3,6,2
162,147,Dhruv Bath,34,12,3,9,2
163,148,Netra Bahl,57,2,7,3,1
164,149,Yamini Gara,39,6,6,6,2
165,150,Urvi Dua,48,11,7,2,2
166,150,Aditya Mitra,36,10,2,3,1
167,151,Ryan Lall,32,10,7,2,2
168,152,Gautam Vaidya,69,12,1,6,2
169,153,Girish Bath,64,5,3,4,2
170,154,Vanya Sama,37,12,5,3,2
171,155,Ladli Parmer,53,9,7,9,2
172,156,Lekha Dixit,37,4,2,9,1
173,157,Vyanjana Nagi,44,2,3,2,2
174,158,Sachi Sem,63,3,6,3,1
175,159,Harita Patla,61,9,6,2,2
176,160,Harita Pant,34,4,1,7,1
177,161,Waida Dey,37,6,4,3,2
178,162,Hritik Sachdeva,45,10,6,1,2
179,163,Chanakya Sant,51,5,6,4,1
180,164,Yuvraj Mahal,61,9,7,3,2
181,165,Dipta Kalla,53,12,3,9,2
182,166,Jack Pandey,68,9,4,9,2
183,167,Aryan Raj,57,5,3,1,1
184,168,Lopa Khanna,64,1,5,2,2
185,169,Peter Borde,32,11,4,2,2
186,170,Mitesh Naidu,48,12,4,6,1
187,171,Ojasvi Yadav,21,12,2,2,1
188,172,Aditya Contractor,61,8,5,5,2
189,173,Vidhi Bassi,22,4,5,1,2
190,174,Gagan Borah,42,4,2,2,1
191,175,Jagat Warrior,50,8,3,1,1
192,176,Mahika Merchant,58,3,1,3,1
193,177,Dalaja Kade,64,11,5,3,2
194,178,Elijah Mannan,25,12,4,8,2
195,179,Ekaraj Hari,69,1,6,5,2
196,180,Turvi Sehgal,58,10,7,7,2
197,181,Yashica Balasubramanian,36,5,2,2,1
198,182,Ucchal Thaker,31,1,3,3,1
199,183,Theodore Sura,46,3,1,9,2
200,184,Lipika Singh,66,7,3,6,1
201,185,Kritika Pau,47,8,7,2,2
202,186,Zaitra Ravi,26,10,4,2,1
203,187,Mason Grover,27,9,1,3,1
204,188,Yauvani Baral,52,2,3,4,2
205,189,Onkar Kanda,73,4,4,2,1
206,190,Ekapad Karpe,64,11,1,3,2
207,191,Vamakshi Barad,69,5,1,8,1
208,192,Kamala Bassi,58,7,4,7,1
209,193,Aarini Gulati,55,9,3,3,2
210,194,Diya Rege,58,3,3,5,1
211,195,Jasmit Majumdar,60,2,5,8,2
212,196,Sanya Edwin,26,5,7,5,2
213,197,Urishilla Saran,34,2,1,2,2
214,198,Advaith Jaggi,75,9,7,3,1
215,199,Anya Ratta,30,6,7,1,1
216,200,Suhani Raval,61,11,6,1,2
217,201,Yochana Kurian,46,3,3,1,2
218,202,Ayaan Subramaniam,65,9,2,2,2
219,203,Ira Varty,66,6,1,6,2
220,204,Qadim Gupta,68,11,7,1,1
221,205,Zaid Parekh,27,10,6,1,1
222,206,Qadim Vaidya,36,10,1,3,2
223,207,Meera Ghosh,39,4,7,6,1
224,207,Jai Vasa,47,6,6,2,1
225,208,Adya Khalsa,19,12,2,2,1
226,209,Pranit Deep,50,12,5,5,1
227,210,Mason Solanki,36,5,5,2,1
228,211,Vamakshi Char,63,9,3,4,1
229,212,Rushil Yohannan,60,3,3,4,2
230,213,Vedant Murthy,57,10,3,3,1
231,213,Bishakha Loke,64,1,7,7,1
232,214,Zayan Buch,70,7,6,7,1
233,215,Hemang Lala,62,9,5,4,2
234,216,Eshana Soni,39,3,1,6,2
235,217,Aadi Virk,31,10,6,6,2
236,218,Kashvi Gulati,57,7,3,9,1
237,219,Wriddhish Varughese,45,11,4,6,2
238,220,Tamanna Sethi,65,1,2,8,2
239,221,Matthew Aurora,58,12,1,6,1
240,222,Lakshmi Arora,47,2,6,4,2
241,223,Urvashi Ramachandran,34,4,4,5,1
242,224,Radha Nair,67,5,5,7,1
243,225,Darpan Bhasin,60,7,7,8,1
244,225,Mitesh Yadav,66,2,4,3,2
245,226,Vrishti Gupta,47,2,3,2,2
246,227,Mohammed Sengupta,30,9,7,8,2
247,228,Anirudh Patla,26,12,2,8,2
248,229,Barkha Naidu,54,5,3,9,1
249,230,Vedika Handa,63,10,7,8,2
250,231,Banjeet Bobal,65,7,5,7,2
251,232,Ojas Gole,19,12,5,7,1
252,232,Yamini Nazareth,72,3,4,6,1
253,233,Kamya Sachar,51,8,7,7,1
254,234,Abeer Mital,35,10,1,3,1
255,235,Aahana Mital,50,6,5,6,2
256,236,Girish Mital,20,7,6,2,2
257,237,Jai Karan,31,4,2,8,2
258,238,Eta Thakkar,52,4,3,5,2
259,239,Manbir Deo,43,3,7,3,1
260,240,Vinaya Rana,45,7,3,9,1
261,241,Isaiah Sachdev,54,4,5,2,2
262,242,Chaitanya Kaur,65,2,5,2,1
263,243,Indrajit Mody,52,8,6,4,2
264,244,Krisha Vyas,23,3,5,9,1
265,245,Libni Kashyap,21,10,7,4,2
266,246,Yug Wagle,72,10,7,1,2
267,247,Aarini Ram,68,4,2,1,1
268,248,Karan Jhaveri,23,9,2,7,1
269,249,Qarin Nadkarni,43,5,4,9,2
270,249,Ayushman Nagar,75,8,4,6,1
271,250,Yadavi Singh,70,2,5,8,1
272,251,Alexander Madan,63,8,2,8,1
273,252,Ikbal Seth,44,1,6,8,2
274,253,Chatura Varughese,38,1,1,4,2
275,253,Ubika Seth,50,12,6,9,2
276,254,Gautam Krishna,19,10,4,8,2
277,255,Lajita Bassi,55,7,1,3,1
278,256,Darika More,55,6,7,1,1
279,256,Bhavya Golla,63,6,5,2,1
280,257,Wishi Ahluwalia,30,4,3,2,2
281,258,Arunima Johal,46,1,5,1,1
282,259,Chanchal Narula,48,11,6,2,1
283,260,Girik Mistry,52,1,7,7,1
284,261,Gagan Sule,28,8,1,3,2
285,262,Viraj Mannan,50,4,7,4,2
286,263,Saksham Manda,21,7,7,2,1
287,264,Rishi Narayanan,40,4,4,7,2
288,265,Sathvik Narula,46,1,6,4,2
289,266,Jackson Morar,55,8,4,6,1
290,266,Azad Magar,36,5,1,9,1
291,267,Saksham Chanda,39,2,3,2,1
292,268,Tripti Ram,61,5,6,7,2
293,269,Ekani Iyer,24,10,1,1,1
294,270,Samuel Palla,36,4,4,5,2
295,271,Chatura Chadha,72,7,4,8,2
296,271,Manya Gola,27,3,6,7,2
297,272,Karan Chander,28,8,6,1,2
298,272,Gunbir Shah,24,2,3,8,2
299,273,Isaiah Panchal,38,11,5,4,1
300,273,Triya Garde,70,4,4,8,1
301,274,Raagini Saran,19,11,6,7,1
302,275,Ikbal Raghavan,63,3,4,2,1
303,276,Hemangini Chakraborty,55,1,2,4,2
304,277,Lavanya Ravi,21,11,6,4,2
305,278,Laban Chad,37,3,3,8,1
306,279,Suhani Upadhyay,54,1,6,2,2
307,279,Shivani Rajagopalan,63,5,6,8,1
308,280,Udyati Varughese,73,11,2,6,1
309,281,Hemal Warrior,27,12,7,4,1
310,282,Garima Sama,40,11,4,1,2
311,283,Vedhika Butala,67,12,7,8,1
312,284,Bachittar Oza,62,7,1,9,2
313,285,Chatura Lalla,20,4,2,3,2
314,286,Madhavi Som,66,7,7,6,1
315,287,Diya Wagle,43,5,4,6,2
316,288,Pranit Munshi,31,8,5,9,1
317,289,Arjun Chanda,66,1,1,2,2
318,290,Sudiksha Malhotra,72,7,2,4,2
319,291,Aarna Lanka,38,6,4,5,1
320,292,Aashi Chauhan,72,7,3,3,1
321,293,Mahika Aggarwal,33,10,7,6,2
322,294,Gauri Mitter,38,8,2,1,1
323,295,Ranveer Dey,41,1,4,7,2
324,296,Amol Bansal,70,3,4,9,2
325,297,Vrinda Bahl,55,5,7,5,1
326,298,Devansh Cherian,39,3,5,6,2
327,299,Ekanta Kala,30,3,4,8,1
328,300,Nakul Babu,45,7,1,9,2
329,301,Vamakshi Date,44,2,4,6,1
330,301,Luke Madan,20,3,2,9,2
331,302,Aayush Keer,74,10,5,4,2
332,302,Jacob Wagle,71,10,2,8,2
333,303,Urvi Tank,39,11,2,8,1
334,304,Caleb Chawla,68,2,3,2,2
335,305,Nitara Iyengar,59,6,4,1,2
336,305,Thomas Borah,73,8,1,3,1
337,306,Tanvi Hari,36,6,2,2,1
338,307,Naksh Garde,74,5,5,4,2
339,308,Abdul Sahni,63,2,7,1,2
340,309,Wridesh Chacko,47,6,3,4,2
341,310,Neel Sharaf,18,3,1,6,2
342,310,Suhani Sheth,54,6,1,8,1
343,311,Chaman Sandhu,32,7,7,1,1
344,312,Udyati Baria,55,4,5,5,1
345,313,Aradhana Bhagat,70,3,3,9,2
346,314,Faraj Chopra,26,3,1,7,2
347,315,Urvi Palan,68,11,6,1,1
348,316,Vedika Wagle,33,7,3,6,1
349,317,Champak Divan,69,1,1,7,2
350,318,Samesh Banerjee,32,12,6,6,2
351,319,Xalak Dhillon,21,5,2,4,1
352,320,Darika Bakshi,67,9,6,9,1
353,321,Vritti Nadkarni,44,4,2,3,1
354,322,Advik Mane,67,1,1,4,1
355,323,Gabriel Dhawan,39,5,2,8,1
356,324,Abeer Rout,73,11,3,9,2
357,325,Avi Agate,66,7,1,8,1
358,326,Ekalinga Pathak,68,9,4,7,2
359,327,Aashi Gaba,18,1,6,9,2
360,328,Yoshita Hari,64,7,7,7,1
361,329,Yahvi Kant,64,3,7,6,1
362,330,Hema Gera,61,6,4,1,2
363,331,Upasna Dani,53,10,5,5,1
364,331,Caleb Bhatti,45,10,5,9,2
365,332,Naveen Tella,42,2,5,2,2
366,333,Hardik Kala,39,11,4,1,1
367,334,Banjeet Butala,43,6,3,1,2
368,335,Upkaar Reddy,38,5,4,2,2
369,336,Raksha Virk,51,2,6,9,2
370,337,Ishani Soni,57,2,1,7,2
371,338,Wishi Bala,63,8,2,8,1
372,339,Chaaya Tank,34,8,2,4,2
373,340,Vyanjana Sankar,27,10,5,4,2
374,341,Krishna Pandit,29,8,5,8,1
375,342,Ishanvi Sabharwal,54,8,3,4,2
376,343,Amara Bahri,23,4,6,8,1
377,343,Anthony Nadig,56,2,2,7,1
378,344,Rajata Jaggi,29,8,6,5,1
379,345,Alka Batta,68,2,7,1,1
380,346,Chasmum Thaman,23,7,4,1,2
381,347,Turvi Divan,65,7,5,4,1
382,348,Nitara Loke,36,6,5,5,2
383,349,Dayita Shetty,62,8,1,1,1
384,350,Dipta Misra,24,3,2,8,2
385,350,Niharika Patla,21,8,4,5,1
386,351,Jason Munshi,58,11,6,5,1
387,352,Nilima Kumar,25,8,3,9,1
388,353,Leena More,45,1,4,9,1
389,354,Nitara Natarajan,68,4,3,9,2
390,354,Harish Dyal,52,12,5,4,1
391,355,Ryan Mody,49,3,3,2,1
392,356,Kiaan Lad,43,11,4,5,2
393,357,Ansh Bajaj,23,7,6,1,1
394,358,Jacob Atwal,37,6,4,6,2
395,359,Kalpit Sankar,45,3,7,3,1
396,359,Tanveer Mandal,29,3,3,3,2
397,360,Warinder Seshadri,43,8,6,8,1
398,361,Gaurangi Keer,62,4,5,6,2
399,362,Benjamin Gola,59,11,6,3,2
400,363,Chaitanya Datta,73,12,7,2,1
401,364,Diya Swamy,27,9,4,9,2
402,365,Riya Parikh,27,2,6,9,2
403,366,Girindra Narasimhan,66,9,6,3,1
404,367,Abdul Narayan,63,2,6,4,2
405,368,George Rastogi,55,7,2,6,2
406,369,Lipika Rau,23,11,6,3,2
407,370,Yauvani Iyengar,41,8,7,1,2
408,371,Udarsh Dubey,52,6,1,8,1
409,372,Manthan Datta,48,5,6,2,2
410,373,Nitara Chandra,67,12,7,2,1
411,374,Maya Bath,52,9,2,9,2
412,375,Radha Warrior,64,1,6,2,1
413,376,Amol Guha,39,1,4,5,1
414,377,Gabriel Mitra,20,4,4,1,2
415,378,Harshil Sankaran,49,8,4,3,2
416,379,Darsh Wable,66,9,5,7,2
417,380,Hemangini Sarma,29,2,3,8,2
418,381,Gabriel Subramanian,63,1,7,6,1
419,382,Champak Badami,35,11,2,3,1
420,383,Geetika Sani,74,1,4,5,2
421,384,Hitesh Chaudry,73,4,1,7,2
422,385,Jason Jaggi,72,3,4,3,2
423,386,Vedant Devi,41,9,2,4,1
424,387,Divya Ratti,35,3,1,3,2
425,388,Netra Sehgal,74,5,2,1,2
426,389,Tanay Chander,51,7,7,6,1
427,390,Daksha Sami,29,6,4,4,1
428,391,Harinakshi Keer,62,8,2,4,1
429,392,Jalsa Sha,29,12,1,8,2
430,393,Sanaya Brahmbhatt,75,7,2,8,1
431,394,Maanas Tiwari,54,2,7,3,1
432,395,Nilima Choudhary,37,2,2,4,2
433,396,Dalaja Mander,20,3,1,2,2
434,397,Krishna Soman,47,8,1,2,2
435,398,Gaurav Rout,36,7,6,7,1
436,399,Noah Bakshi,39,9,4,3,2
437,400,Anvi Jha,72,5,4,2,1
438,401,Lavanya Kurian,53,6,1,4,2
439,401,Ishwar Chaudhary,74,3,2,7,1
440,402,Eshana Golla,20,5,2,6,1
441,403,Yashoda Thaman,45,3,7,8,2
442,404,Veda Balakrishnan,28,11,7,3,2
443,405,Bimala Ganesh,30,8,5,2,1
444,406,Lajita Panchal,32,10,2,6,1
445,407,Logan Mammen,62,9,7,4,1
446,408,Vamakshi Agrawal,23,3,7,3,1
447,409,Peter Anand,32,12,7,3,1
448,410,Vivaan Tak,31,5,6,3,1
449,411,Indrajit Mall,19,12,6,3,1
450,412,Sudiksha Agate,33,4,2,9,1
451,413,Warhi Pathak,50,12,2,6,1
452,414,Gaurika Bumb,60,8,2,1,1
453,415,Arjun Natt,37,2,7,8,2
454,415,Yug Chokshi,49,1,5,1,2
455,416,Reva Chandran,28,11,6,9,2
456,417,Dominic Chaudry,18,1,1,4,1
457,418,Harinakshi Bal,36,5,3,3,1
458,419,Darpan Datta,38,1,4,2,1
459,420,Jyoti Anand,72,6,1,7,1
460,421,Chandani Sahota,22,12,2,4,1
461,422,Vasana Narula,46,12,4,3,2
462,423,Robert Parsa,36,3,6,5,2
463,424,Ansh Devan,28,9,4,9,1
464,425,Kalpit Gupta,18,11,3,4,1
465,425,Kritika Prasad,61,7,1,2,1
466,426,Yashoda Rama,64,10,4,4,1
467,427,Damini Sandal,70,12,6,7,1
468,428,Shravya Sibal,69,1,4,8,2
469,429,Alka Borra,51,2,5,8,1
470,430,Ronith Narayan,73,4,1,1,2
471,431,Yauvani Dixit,23,8,7,5,1
472,432,Liam Dave,47,2,2,1,2
473,433,Netra Yogi,22,8,7,1,2
474,434,Siya Modi,61,3,3,6,2
475,435,Rachit Issac,70,11,5,2,1
476,436,Indrajit Dayal,64,8,6,3,1
477,437,Abhimanyu Dhar,67,10,6,8,1
478,438,Tanvi Rajagopalan,36,10,6,5,2
479,439,Nisha Dara,36,2,2,2,1
480,440,Triya Raj,19,11,3,9,2
481,441,Vedhika Shenoy,27,5,2,6,2
482,442,Peter Menon,20,7,1,9,2
483,443,Aayush Bava,69,7,5,1,2
484,444,Oliver Basu,33,2,7,8,1
485,445,Neelima Mutti,53,12,5,2,2
486,446,Nirja Mitra,25,7,5,1,2
487,446,Harsh Yadav,56,11,7,7,2
488,447,Lavanya Vaidya,62,12,6,2,1
489,448,Ansh Dash,68,4,2,6,1
490,449,Max Prashad,58,1,7,8,1
491,450,Chatura Kothari,42,1,2,3,2
492,451,Jeremiah Chand,60,12,1,5,2
493,452,Patrick Kothari,34,3,4,2,1
494,453,Urishilla Sastry,36,5,7,9,2
495,454,Fiyaz Mital,23,7,2,8,1
496,455,Aayush Arya,21,5,7,7,1
497,456,Balvan Dash,54,3,5,1,1
498,456,Nicholas Hari,29,2,3,5,1
499,457,Manan Kumar,52,11,2,2,1
500,458,Gaurav Chopra,58,7,3,7,1
501,459,Bhavya Sankar,50,9,2,5,2
502,459,Patrick Prasad,62,9,7,2,1
503,460,Simon Grewal,48,3,4,3,1
504,461,Frederick Purohit,66,5,2,1,1
505,462,Amaira Amble,54,4,2,6,1
506,463,Divya Khatri,32,8,2,4,2
507,464,Raghav Aggarwal,29,5,6,3,1
508,465,Priya Soni,64,12,3,2,1
509,466,Yagnesh Kakar,34,7,7,8,1
510,467,Gaurangi Kapur,68,2,5,3,1
511,468,Raghav D’Alia,21,5,6,9,2
512,469,Hredhaan Rana,65,1,5,7,2
513,470,Yadavi Dasgupta,35,4,5,9,2
514,471,Manya Mistry,46,1,2,1,1
515,472,Tanvi Gade,29,7,2,5,2
516,473,Om Bhalla,70,12,1,4,2
517,474,Mekhala Suresh,32,7,1,7,2
518,474,Orinder Prashad,69,8,5,9,2
519,475,Girindra Golla,51,5,5,4,1
520,476,Devansh Venkataraman,71,9,4,3,1
521,476,Sarthak Dalal,55,10,5,7,2
522,477,Frado Dash,39,8,2,5,1
523,478,Logan Swaminathan,30,4,4,1,1
524,479,Balhaar Guha,62,9,7,6,1
525,480,Mugdha Shan,18,1,3,1,1
526,481,Kashish Vaidya,39,2,4,5,2
527,482,Madhav Kara,59,7,1,5,2
528,483,Vrishti Chandran,29,4,3,7,1
529,484,Pratyush Pai,55,2,1,4,1
530,485,Omya Shankar,34,5,6,3,1
531,486,Dhriti Chana,19,8,1,5,2
532,487,Bhavika Tailor,42,5,6,6,1
533,488,Abhimanyu Sandal,62,8,7,8,1
534,488,Yash Wable,52,5,2,1,1
535,489,Pahal Tandon,33,10,6,3,1
536,490,Alka Kala,57,2,2,9,1
537,491,Triveni Narasimhan,20,6,5,6,1
538,492,Yoshita Dube,63,5,7,2,2
539,493,Amruta Chopra,51,12,3,8,2
540,494,Azad Dyal,52,1,5,3,2
541,495,Ekta Ratta,51,7,7,9,1
542,496,Charles Oommen,50,11,4,1,1
543,496,Abhiram Saraf,20,12,3,1,1
544,497,Avni Contractor,18,10,3,8,1
545,497,Yug Sanghvi,54,5,6,1,2
546,498,Pooja Badami,50,7,6,5,1
547,499,Charan Modi,23,6,1,9,1
548,499,Amruta Patla,47,9,5,3,2
549,500,Qasim Krishnan,20,8,6,4,2
550,501,Wazir Majumdar,53,9,1,3,2
551,502,Falan Oza,47,9,5,7,1
552,503,Zayyan Palan,52,4,1,2,2
553,503,Saumya Dalal,22,5,4,1,1
554,504,Noah Sarma,45,5,7,1,1
555,505,Yochana Shah,65,6,1,9,2
556,506,Aarav Palan,63,10,3,9,1
557,507,Lavanya Kurian,35,3,7,1,1
558,507,Riya Kannan,68,3,2,4,2
559,508,Tripti Goyal,33,8,7,3,2
560,509,Ekaraj Dhar,52,4,5,1,2
561,510,Fiyaz Loyal,47,2,1,7,2
562,511,Mohammed Kohli,24,5,7,3,1
563,512,Chaitanya Chauhan,41,7,2,1,1
564,513,Upkaar Rajagopalan,65,1,6,6,1
565,514,Jalsa Chad,41,4,2,7,2
566,515,Aarnav Dixit,60,5,4,9,2
567,516,Maanav Chana,21,8,6,3,1
568,517,Victor Rajagopalan,42,12,3,8,1
569,518,Urvi Deol,60,4,6,5,1
570,519,Chaitaly Sharma,71,7,7,7,1
571,520,Nakul Balan,60,1,2,9,1
572,520,Jasmit Dhaliwal,36,2,1,3,2
573,521,Advay Randhawa,59,8,6,5,1
574,522,Jeremiah Kakar,26,11,3,7,2
575,523,Faras Sidhu,56,1,6,5,1
576,524,Robert Madan,32,6,7,2,1
577,525,Wridesh Luthra,34,5,4,9,2
578,525,Chaitanya Sule,69,8,3,3,1
579,526,Mitali Tella,55,10,3,1,2
580,527,Neel Doshi,29,6,7,1,2
581,528,Jagvi Sankar,57,6,6,5,2
582,529,Gagan Tara,55,3,4,7,1
583,530,Vinaya Baral,46,10,5,3,1
584,531,Adya Basak,54,3,5,2,2
585,532,Udant Rama,23,2,3,3,2
586,532,Girik Palla,30,1,1,1,1
587,533,Simon Soni,45,7,3,3,2
588,534,Ekaja Balay,55,3,5,7,2
589,534,David Pathak,42,9,3,2,1
590,535,Nidhi Bumb,59,10,5,3,1
591,536,Oni Subramaniam,66,4,4,8,2
592,537,Maanav Naik,66,2,5,4,2
593,538,Krishna Kalita,40,9,1,4,1
594,539,Xalak Shah,63,9,2,4,1
595,540,Rajata Raj,70,5,4,7,2
596,541,Watika Chaudhry,48,8,4,8,1
597,542,Rohan Singh,58,8,1,7,2
598,543,Wyatt Agrawal,47,1,3,5,2
599,544,Madhavi Ghose,63,9,4,7,2
600,544,Eesha Varughese,61,4,7,3,1
601,545,Samar Chander,49,2,4,4,1
602,546,Ishita Grover,56,3,5,1,1
603,547,Arin Chauhan,40,11,5,4,1
604,548,Janaki Johal,60,11,3,1,1
