AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
165,87020,Ross Snyder,26,M,A9
166,30543,Amanda Kirby,37,M,A6
167,69355,Jonathan Carter,19,M,A2
168,31475,Sarah Brock,32,M,A6
169,99932,Alan Gonzales,48,M,A7
170,67197,Brandon Schultz,60,M,A3
171,96051,Tammy Gilbert,63,M,A6
172,97540,Christine Wilson,67,M,A9
173,42599,William Johnston,61,M,A3
174,81832,Samantha Terry,48,M,A8
175,70550,Stacy Morris,34,M,A8
176,78263,Melinda Davis,74,M,A3
177,50822,Bryan Arnold,62,M,A4
178,71187,Rodney Ayala,23,M,A9
179,45996,Colin Morgan,66,M,A9
180,43059,Brent Smith,21,M,A1
181,70112,Martin Ramos,56,M,A8
182,89362,Vincent Fisher,56,M,A4
183,97282,Robert Torres,24,M,A5
184,37528,Andrea Wilson,28,M,A2
185,82252,Kevin Garrett,51,M,A5
186,57986,Jennifer Clay,30,M,A8
187,60716,Daniel Santos,72,M,A9
188,48090,Julie Williams,50,M,A6
189,13600,Johnny Palmer,75,F,A2
190,2725,Craig Chapman,18,M,A8
191,98206,Tammy Lutz,36,M,A7
192,97299,Alyssa Sherman,32,M,A8
193,32362,Joseph Ellis,14,M,A2
194,89051,Angel Ellis,44,M,A9
195,82367,Cameron Matthews,65,M,A4
196,68472,David Ayers,43,M,A2
197,6484,Scott Galloway,39,M,A5
198,80936,Christine Taylor,21,M,A4
199,15995,Chelsea Newman,28,M,A1
200,49948,Michael Becker,60,M,A4
201,65214,Ebony Alvarado,19,M,A7
202,39029,James Nguyen,50,M,A8
203,13579,John Romero,70,M,A3
204,66419,Felicia Taylor,58,M,A2
205,14829,Craig Nguyen,34,M,A8
206,59698,Christopher Huff,33,M,A8
207,2587,Sheila Walls,21,M,A6
208,36949,Madeline Watson,22,M,A7
209,45014,William Watts,71,M,A2
210,42017,Michelle Wood,32,M,A3
211,97633,Allison Pierce,69,M,A9
212,43567,James Turner,23,M,A8
213,91650,Meredith Chen,66,T,A8
214,10701,Edward Holland,18,M,A5
215,47935,Heather Davis,19,M,A9
216,30443,John Williams,15,M,A7
217,4036,Rebecca Rodriguez,35,M,A8
218,97150,Linda Johnson,76,M,A2
219,34081,Michelle Andrews,79,F,A6
220,75290,William Kelly,29,M,A8
221,89963,Victoria Burton,66,M,A1
222,8740,David Hill,79,M,A7
223,41229,Hannah Roberts,79,M,A7
224,57246,Felicia Salazar,26,M,A9
225,17341,Nicole Martin,25,M,A9
226,83602,Edward Taylor,75,M,A5
227,55829,Scott Liu,68,F,A8
228,83577,Wendy Cunningham,41,M,A9
229,26287,Tracey Johnston,27,M,A3
230,67648,Jeanne Glover,36,M,A1
231,5158,Regina Sanders,20,M,A7
232,57586,Christopher Rodriguez,21,M,A4
233,25021,Emily Hall,72,M,A7
234,79440,Mark Rivera,52,M,A4
235,78335,Alexandra Zamora,14,M,A5
236,1555,Amy Garcia,75,M,A4
237,16229,James Sosa,49,M,A7
238,21440,Nicholas Smith,54,F,A3
239,9095,Kyle Oconnell,79,M,A2
240,18837,Marie Anderson,57,M,A9
241,44352,Elizabeth Williams,37,M,A8
242,11041,Ricky Galvan,14,M,A5
243,4188,Dylan Snow,37,M,A7
244,90954,Natalie Larsen,17,T,A2
245,81714,Michael Hernandez,27,M,A6
246,6446,David Beard,25,T,A5
247,95039,Erica Chang,26,F,A2
248,90739,Julia Mcclain,49,F,A9
249,68624,Kathleen Olson,33,M,A7
250,23323,Erika Rogers,65,M,A5
251,59792,Desiree Ayers,59,M,A9
252,68889,Corey Preston,42,M,A2
253,85513,Ronald Herrera,78,F,A8
254,44080,Samuel Middleton,14,M,A7
255,38036,Erica Newton,44,M,A6
256,35687,Kevin James,19,M,A3
257,21354,Maria Thomas,48,T,A4
258,35301,Kathryn Cruz,38,T,A7
259,2626,Catherine Gutierrez,49,M,A7
260,52179,Cesar Smith,22,M,A9
261,98013,Jeffrey Lee,40,M,A5
262,42181,Melissa Bates,55,M,A6
263,25596,Gary Todd,59,M,A5
264,55170,Meghan Smith,28,M,A1
265,81216,Jose Mccoy,25,M,A7
266,81552,Debra Carlson,38,M,A3
267,8475,Michael Davenport,60,M,A4
268,65892,Leonard Rowe,38,M,A3
269,15741,Martin Leonard,47,M,A3
270,11955,Kayla Kennedy,56,F,A1
271,34891,Tanya Sandoval,64,M,A4
272,18743,Travis Shepard,67,M,A3
273,85365,John Johnson,16,M,A2
274,77916,Kevin Davis,38,M,A5
275,23830,Robert Nixon,53,M,A3
276,81417,Alyssa Weeks,49,M,A3
277,64172,Micheal Todd,57,M,A8
278,88953,Sydney Moreno,15,M,A5
279,44522,Laura Copeland,19,M,A6
280,30757,Cynthia Taylor,21,M,A6
281,86269,Kenneth Clark,55,M,A5
282,82981,Dominic Thompson,79,M,A5
283,54577,Adam King,79,M,A3
284,25404,Michelle Davis,74,M,A3
285,39818,Isaac Fuller,36,M,A5
286,27936,Brent Stewart,19,M,A3
287,39196,Vanessa Garrison,21,M,A4
288,5510,Maria Collins,26,M,A6
289,66118,Joseph Dickson,37,M,A5
290,12224,Jennifer Williams,17,F,A3
291,75645,Jeffrey Randall,55,M,A1
292,63780,Douglas Maxwell,14,M,A5
293,47173,Joy Watkins,42,M,A6
294,23159,Teresa Fernandez,78,M,A7
295,75184,Susan Lyons,63,M,A6
296,60365,Jennifer Fields,28,F,A9
297,85535,John Allen,52,M,A6
298,20648,Lindsey Hopkins,33,M,A7
299,60072,Brian Medina,20,M,A4
300,72140,Carrie Cole,70,M,A5
301,66570,Cynthia Johnson,32,M,A5
302,40182,Paul White,46,M,A3
303,98412,Beth Perry,69,M,A4
304,67759,Anthony Lopez,38,M,A8
305,51982,Donna Adams,60,M,A6
306,47325,Kellie Rivera,44,M,A2
307,87936,Rebecca Duncan,28,M,A9
308,80889,David Harding,57,M,A8
309,54353,Carol Lester,65,M,A8
310,59084,Jason Williams,64,F,A9
311,25265,Kimberly Wells,30,M,A1
312,7776,Jeffery Turner,58,M,A1
313,48044,Gary Todd,25,M,A3
314,35818,Brian Blackburn,61,M,A3
315,27151,Stephanie Marquez,26,M,A9
316,67964,William Carr,74,M,A3
317,3445,Joseph Romero,18,F,A1
318,65265,Colleen Hill,27,M,A9
319,92892,Christine Nelson,53,M,A7
320,71860,Donna Cruz,78,F,A3
321,23312,Jason Carlson,53,M,A9
322,77644,Linda Perry,18,M,A2
323,60513,Kimberly Green,16,F,A9
324,44925,Janice Lynch,52,M,A2
325,92198,Anthony Charles,41,M,A4
326,65414,Deborah Mcguire,21,F,A2
327,83649,Gary Berg,18,M,A5
328,71372,Judith Rodriguez,75,M,A3
329,20244,Leslie Bailey,76,M,A5
330,80682,Kristina Crawford,47,F,A1
331,25056,Darrell Harris,66,M,A6
332,88849,John Washington,34,M,A1
333,19871,Karen Larson,29,M,A7
334,29670,Robert Griffin,72,M,A9
335,58417,Kimberly Bush,60,M,A1
336,92661,Melissa Gonzalez,49,M,A8
337,66100,Cynthia Sanders,28,M,A6
338,81161,Jennifer Thompson,49,M,A4
339,94347,Laura Anderson,32,T,A7
340,77690,Colleen Berry,20,M,A8
341,59066,Andrea Fleming,57,M,A7
342,5728,Martin Long,26,M,A2
343,43947,Mark Aguilar,67,M,A7
344,47964,John Stewart,65,M,A4
345,8227,Patricia Jones,22,M,A3
346,67018,Phillip Watts,34,F,A3
347,69720,Wayne Ingram,75,M,A5
348,91223,Jasmine Gallegos,46,F,A8
349,92647,Frederick Ortiz,52,M,A2
350,82576,Gavin Gomez,27,M,A8
351,4493,Kelsey Gutierrez,54,M,A1
352,28842,Emily Phillips,69,M,A6
353,8997,Tyrone Mills,70,M,A7
354,45497,Xavier Fuller,36,M,A5
355,28673,Anthony Wallace,49,M,A2
356,76541,Shelia Thornton,36,M,A5
357,76296,Jacob Rhodes,47,M,A6
358,36563,Terri Scott,28,M,A5
359,25322,Marc Garcia,55,M,A9
360,90493,David Smith,35,M,A4
361,19107,Stacy Preston,69,M,A7
362,4116,Kelly Gibson,63,M,A2
363,64091,Elizabeth Valdez,66,M,A2
364,41873,Karen Stanley,66,M,A3
365,21829,Jack Knapp,71,F,A3
366,22839,Andrea Simmons,74,M,A1
367,7801,Justin Duran,65,M,A9
368,22326,Sarah Watkins,36,M,A3
369,5283,Erica Hardy,36,M,A6
370,15291,Lorraine Stewart,43,M,A8
371,75926,Kenneth Flowers,48,M,A6
372,2082,Joseph Black,28,M,A2
373,40351,Holly Jones,24,F,A9
374,63937,David Armstrong,20,M,A3
375,99663,Jeffrey Wagner,67,F,A3
376,17755,Michael Charles,15,M,A6
377,83798,Crystal Bush,31,M,A3
378,76878,Christopher Anderson,22,M,A5
379,27002,Ashley Hurley,45,M,A9
380,3297,Amanda Norris,77,M,A2
381,31439,Glenda Vaughan,57,M,A5
382,50636,Brandon Moon,47,M,A4
383,90107,Devin Cole,22,M,A6
384,56665,Danielle Ward,74,M,A6
385,2535,Kayla Barajas,66,M,A2
386,87850,Cameron Luna,78,M,A8
387,94515,Donald Wallace,75,M,A9
388,66371,Tony Garrett,43,T,A2
389,38950,Maria Rogers,58,M,A8
390,67766,John Reed,49,M,A9
391,54781,Nicole Floyd,27,M,A1
392,35707,Lori Powell,32,M,A7
393,69303,Veronica Little,43,F,A2
394,83835,Danny Evans,75,M,A2
395,31532,Laurie Daugherty,45,F,A7
396,77145,Kevin Wallace,68,F,A8
397,12902,Dawn Miller,76,M,A5
398,28440,Nicholas James,71,M,A6
399,2677,Jose Hart,40,M,A6
400,57640,Randall Davis,62,M,A9
401,53526,Marilyn Campbell,34,M,A3
402,96104,Gregory West,41,M,A5
403,26156,Kelsey Byrd,48,M,A7
404,25779,Alexis Lopez,61,M,A3
405,23397,Noah Myers,60,M,A2
406,80044,Luis Rodriguez,50,M,A6
407,50956,Randy Cooper,40,F,A9
408,33411,Alvin Taylor,47,M,A3
409,75018,Claudia Erickson,21,M,A4
410,30714,Courtney Kelley,31,M,A4
411,22412,Megan Montgomery,35,M,A9
412,86488,Nicholas Mcbride,22,M,A5
413,33400,Cody Jenkins,55,M,A2
414,63702,Jessica Thornton,32,M,A9
415,10442,Jessica Evans,66,M,A9
416,73568,Nichole Johnson,16,M,A6
417,84016,Suzanne Shah,16,M,A4
418,45490,Debbie Williams,68,M,A1
419,30010,Christopher Strickland,48,M,A6
420,78751,Katie Gomez,20,M,A3
421,36612,Amanda Wells,20,M,A9
422,58368,Paul Torres,28,M,A2
423,18006,Kimberly Lynn,37,M,A2
424,29458,Allen Larson,65,M,A1
425,83567,Angela Waller,31,F,A4
426,88606,Jessica Walker,56,M,A9
427,57275,Melissa Grant,25,F,A7
428,20614,Andrew Beck,74,M,A4
429,81504,John Blackburn,17,M,A7
430,42047,Lacey Valenzuela,14,M,A2
431,95535,David Lee,71,M,A4
432,90315,Alyssa Larsen,56,M,A6
433,27123,Gregory Jackson,17,M,A4
434,25146,Bryan Kelly,15,F,A3
435,58668,Jessica Patterson,68,M,A4
436,85165,Nicole Tucker,57,M,A4
437,51609,Kim Wu,64,M,A9
438,13969,Kaitlyn Bush,49,M,A4
439,54363,Darlene Pruitt,60,M,A6
440,88447,Jennifer Dougherty,25,M,A7
441,37153,Joseph Chavez,64,M,A9
442,90461,Johnathan Lloyd,32,M,A1
443,30600,Nicole Nelson,34,M,A8
444,73684,Daniel Marshall,57,M,A3
445,35859,William Evans,42,M,A9
446,59470,Dylan Gomez,75,M,A4
447,95318,Cody Charles,31,M,A9
448,21943,Danny Smith,39,M,A5
449,39838,Kathy Finley,70,M,A6
450,92719,Bailey Williams,24,M,A2
451,40873,Amanda Roberts,19,M,A4
452,41799,Amber Burton,76,M,A2
453,37727,Joseph Perez,24,M,A4
454,81467,Keith Zavala,73,M,A7
455,79703,Benjamin Thomas,70,M,A4
456,55261,Colleen Sanchez,50,M,A8
457,37549,Amy Walker,30,M,A4
458,72150,Christopher Glover,69,F,A4
459,11235,Jennifer Ellis,45,M,A1
460,10261,Jessica Barry,18,M,A5
461,44468,Nicholas Allison,41,M,A9
462,14980,Wayne Haynes,21,M,A1
463,4222,Noah Phillips,60,F,A3
464,34754,Lindsey Dillon,55,M,A3
465,6421,Michael Williams,48,M,A1
466,65354,Kathleen Shaffer,57,F,A6
467,40307,Trevor Delgado,23,M,A2
468,24425,Bryan Garrett,25,M,A9
469,98332,Nicole Gallegos,65,M,A4
470,34012,Jeffrey Castillo,50,M,A1
471,22579,Cynthia Rocha,19,M,A6
472,71292,Lisa Wise,44,M,A9
473,98908,Jodi Lee,51,M,A3
474,40989,George Oconnor,23,M,A3
475,84269,Frank Rogers,69,M,A3
476,19044,Anne Hancock,34,F,A6
477,47256,Edward Lewis,14,M,A6
478,10973,Joshua Hernandez,71,M,A1
479,38814,Terri Hernandez,31,M,A2
480,56264,Gary Wilson,70,M,A9
481,53033,Christian Black,59,M,A6
482,18624,Stacy Turner,58,M,A3
483,56780,Theresa Rivers,47,M,A9
484,17734,Cathy Meyer,18,F,A8
485,95860,Ricky Jackson,48,M,A6
486,25053,Trevor Montoya,79,M,A7
487,89675,Tonya Larsen,23,M,A6
488,21050,Bradley Cole,66,M,A6
489,93541,Christopher Parker,29,M,A2
490,44518,Lynn Stephens,37,M,A2
491,55489,Marie Forbes,18,M,A8
492,71800,Diane Martinez,55,M,A1
493,53759,Victoria Hall,67,M,A7
494,91534,Jennifer Parsons,78,M,A7
495,35331,Victoria Ramsey,68,M,A4
496,83542,Larry Hernandez,73,M,A2
497,88066,Mary Carey,63,M,A2
498,65774,Amber Bailey,30,M,A5
499,30301,Michael Smith,41,F,A6
500,9410,Maria Flores,48,M,A2
501,15878,Stacey Marshall,22,F,A2
502,7908,Christine Shaffer,50,M,A6
503,36290,James Williams,44,F,A5
504,11546,Lisa Johnston,33,F,A6
505,80958,Bailey Goodwin,74,M,A8
506,17577,Latoya Martin,31,M,A9
507,80271,Joseph Nichols,76,M,A2
508,41771,Donna Mercado,67,M,A8
509,18625,Erik French,21,M,A6
510,78195,Jane Todd,17,M,A5
511,71021,Laura Bowen,41,M,A1
512,41825,Marvin Baker,64,M,A7
513,78870,Natasha Stanley,62,M,A4
514,95006,Lisa Green,30,M,A5
515,33437,Adam Turner,72,T,A7
516,31803,Anthony Sanchez,31,F,A8
517,4024,Christopher Dean,38,M,A2
518,63794,Travis Randolph,22,F,A8
519,79688,Michael Martin,62,F,A5
520,74532,Omar Patel,58,M,A3
521,96385,David House,19,F,A7
522,84835,Anne Smith,53,M,A6
523,11016,Dana Washington,19,M,A1
524,45795,Gabriel James,42,M,A9
525,59448,Sara Gregory,27,M,A9
526,27748,Brian Nguyen,77,M,A8
527,39532,Jodi Moore,43,M,A1
528,69280,Tracey Walsh,48,M,A7
529,81448,David Moore,24,M,A7
530,52354,Kevin Ramos,43,M,A5
531,86634,Julia Garrett,43,M,A1
532,72747,Madison Phillips,23,M,A3
533,12492,Terri Gordon,36,F,A8
534,31819,Elizabeth Huynh,35,F,A3
535,52689,Brian Caldwell,73,M,A7
536,74019,Denise Harrison,18,M,A8
537,90719,Carrie Rodriguez,75,F,A6
538,10739,Tracy Lane,63,M,A4
539,79422,Amber Evans,44,M,A8
540,55514,Thomas Estrada,57,M,A8
541,45047,Christopher Horton,61,M,A9
542,15601,Erin Colon,69,M,A8
543,76272,Elizabeth Hoover,47,M,A3
544,10577,William Maxwell,65,M,A7
545,94602,Tiffany Powers,67,M,A1
546,83486,Michelle Salinas,78,M,A9
547,9297,Brian Mason,20,M,A9
548,90741,Martin Strickland,33,M,A9
549,82990,Antonio Valencia,65,M,A2
550,49842,Gary Ryan,70,F,A1
551,44468,Daniel Rodriguez,73,M,A6
552,98226,Kelsey Richardson,56,M,A2
553,21048,Danielle Oneill,58,M,A4
554,88921,Christopher Jones,66,M,A5
555,56554,Jeremy Malone,51,M,A5
556,82095,David Figueroa,16,M,A8
557,63465,Bryan Walker,37,M,A7
558,27645,Jennifer Griffin,51,M,A1
559,16848,John Brown,27,F,A2
560,16434,Derrick Pratt,77,M,A2
561,55333,Benjamin Sims,29,F,A4
562,51312,Isaac Thomas,66,T,A1
563,43944,Linda Murray,74,M,A9
564,20665,Nathaniel Dennis,72,M,A7
565,10824,Christopher Wolfe,70,M,A1
566,62180,John Young,79,M,A3
567,45878,Jason Lopez,49,M,A4
568,27139,Manuel Warren,43,M,A2
569,43142,Edward Solis,73,F,A2
570,38304,Miranda Reese,46,M,A5
571,86065,Elizabeth Hill,50,M,A1
572,57376,Richard Morales,66,M,A2
573,90562,Matthew Levine,16,M,A8
574,63814,David Bridges,41,M,A5
575,84163,Laurie Griffin,75,M,A6
576,13125,David Cross,49,M,A6
577,34697,Bruce Williams,27,F,A3
578,94137,Erin Anderson,74,M,A2
579,43514,Alexander Moore,14,M,A2
580,77061,Shannon Townsend,34,M,A6
581,9328,John Gutierrez,68,M,A6
582,61401,Larry Chapman,63,M,A7
583,22911,Chelsea Perez,72,M,A3
584,98984,Brittany Evans,32,T,A3
585,19550,Stephanie Martinez,54,M,A2
586,27494,Rebecca Harvey,69,M,A5
587,56111,Sara Wright,30,M,A3
588,51881,Michael Thomas,53,M,A3
589,94229,Jeremy Taylor,35,M,A4
590,14194,Mary Dillon,47,M,A5
591,41934,Thomas Terrell,56,M,A7
592,50285,George Johnson,53,M,A3
593,38549,Brandy Berry,59,M,A7
594,98625,Christina Jones,73,M,A6
595,95125,Matthew Briggs,18,M,A6
596,66303,Marcus Rowe,72,M,A3
597,51712,Charles Haynes,67,M,A4
598,92703,Robert Caldwell,23,F,A6
599,37845,John Garcia,20,M,A1
600,37258,Leonard Cruz,16,M,A8
601,74563,Felicia Gutierrez,46,M,A6
602,10395,Kaitlin Hill,79,F,A9
603,13985,Rebecca Jackson,72,M,A1
604,18886,Jorge Keller,57,M,A5
605,26876,Amy Dalton,47,M,A8
606,60081,Troy Raymond,38,M,A7
607,41978,Michael Frazier,60,M,A3
608,72559,Amanda Curry,48,M,A5
609,85143,Brandy Clark,71,M,A3
610,94900,Adrienne Meadows,33,M,A5
611,7232,Charles Stafford,56,M,A2
612,15949,Donald James,27,M,A9
613,96643,Anthony Andrews,62,M,A1
614,54972,Anthony Smith,18,M,A5
615,44332,Austin Preston,23,M,A9
616,45542,Jennifer Thomas,55,M,A6
617,57640,James Phillips,24,M,A7
618,84186,Antonio Brown,66,M,A9
619,89934,Dominic Gray,35,M,A4
620,771,Dana Marks,55,M,A1
621,6585,Lauren Boyd,35,M,A1
622,52695,Matthew Pena,22,M,A2
623,62054,Mark Davis,16,M,A3
624,14946,Alexandria Lopez,52,M,A1
625,52676,Richard Beck,75,M,A7
626,91562,Andrew West,69,M,A6
627,82808,Pamela Baldwin,34,T,A2
628,24269,Alexander Miles,48,M,A6
629,85059,Craig Frey,52,M,A2
630,15999,Sharon Love,38,M,A7
631,58636,Gerald Newton,72,M,A2
632,3256,Jonathan Price,50,M,A7
633,31150,Joshua Baldwin,63,M,A7
634,70593,Heather Davis,72,M,A4
635,17871,Tina Mcbride,54,M,A1
636,21828,Wayne Hernandez,71,M,A8
637,30323,Laurie Bowman,44,M,A5
638,76065,Caitlin Snyder,79,M,A8
639,93084,Dale Brandt,53,M,A4
640,62705,Catherine Brandt,64,F,A3
641,19553,Daniel Hoover,49,M,A1
642,3229,Chad Dennis,62,T,A3
643,54708,Joseph Mills,46,F,A7
644,87125,Gene Adams,55,F,A9
645,38694,Erin Jackson,15,M,A3
646,99910,Karen Myers,56,F,A4
647,82787,Marvin Burton,21,M,A1
648,21416,Laura Williams,63,M,A8
649,32783,Jason Jackson,55,M,A6
650,74448,Christopher Hall,79,M,A2
651,70766,Dalton Miller,31,M,A5
652,40319,Diane Rowe,38,M,A5
653,98636,Justin Newman,79,M,A8
654,54490,Kristy Joyce,76,M,A8
655,20788,Stacey James,37,M,A9
656,33948,Carl Chen,53,F,A5
657,60968,Brian Meyers,29,M,A3
658,76591,Michelle Mccoy,41,M,A1
659,28178,David Salazar,29,M,A8
660,11336,Debra Preston,67,M,A4
661,64621,Brian Juarez,14,M,A2
662,11136,Rebecca Mendez,32,M,A3
663,86314,Mark Shields,22,M,A2
664,53896,Mitchell Mclaughlin,67,M,A3
665,44126,Elizabeth Howard,27,M,A4
666,81555,Christopher Maldonado,15,M,A1
667,56820,Robert Brown,17,M,A3
668,6523,Lauren Wise,44,F,A9
669,21306,Kathy Cunningham,42,M,A7
670,59325,Crystal Guerrero,76,F,A6
671,78273,Brittney Ramirez,54,M,A7
672,64770,Cameron Moore,59,F,A4
673,5673,David Ramirez,16,M,A2
674,288,Bryan Skinner,77,M,A4
675,82815,David Waters,79,M,A3
676,45660,Dana Fernandez,58,M,A4
677,7106,Tracy Cox,65,M,A1
678,41299,Rachel Ochoa,19,M,A9
679,29568,Courtney Rojas,50,M,A3
680,46095,Amanda Spencer,48,M,A1
681,54803,Jennifer Davis,15,M,A1
682,27754,Scott Watkins,67,M,A1
683,48582,Victoria Christian,46,M,A4
684,74146,Patrick Barron,35,M,A1
685,28375,Christopher Rodriguez,68,M,A9
